"State","Year","Propulsion","Fraction"
"Newfoundland and Labrador",2039,"BEV",0.558564013949359
"Newfoundland and Labrador",2039,"PHEV",0.0854061586110192
"Newfoundland and Labrador",2040,"BEV",0.571932595972004
"Newfoundland and Labrador",2040,"PHEV",0.0837355266469162
"Newfoundland and Labrador",2041,"BEV",0.58343490185924
"Newfoundland and Labrador",2041,"PHEV",0.0821257811430541
"Newfoundland and Labrador",2042,"BEV",0.593731773950947
"Newfoundland and Labrador",2042,"PHEV",0.0805991957516039
"Newfoundland and Labrador",2043,"BEV",0.602848825939263
"Newfoundland and Labrador",2043,"PHEV",0.0791837228988273
"Newfoundland and Labrador",2044,"BEV",0.610669839145174
"Newfoundland and Labrador",2044,"PHEV",0.0777963215547404
"Newfoundland and Labrador",2045,"BEV",0.618004515540184
"Newfoundland and Labrador",2045,"PHEV",0.0765011769227074
"Newfoundland and Labrador",2046,"BEV",0.630496195018212
"Newfoundland and Labrador",2046,"PHEV",0.0752291321149985
"Newfoundland and Labrador",2047,"BEV",0.637325762095548
"Newfoundland and Labrador",2047,"PHEV",0.0740671742980373
"Newfoundland and Labrador",2048,"BEV",0.643879179479195
"Newfoundland and Labrador",2048,"PHEV",0.0729594021252579
"Newfoundland and Labrador",2049,"BEV",0.650136575053832
"Newfoundland and Labrador",2049,"PHEV",0.0719476458438858
"Newfoundland and Labrador",2050,"BEV",0.655642591077365
"Newfoundland and Labrador",2050,"PHEV",0.0708615372291425
"Northwest Territories",2021,"BEV",0.0890310370579968
"Northwest Territories",2021,"PHEV",0.0309544904235531
"Northwest Territories",2022,"BEV",0.116307993075832
"Northwest Territories",2022,"PHEV",0.028682619296118
"Northwest Territories",2023,"BEV",0.134473805653468
"Northwest Territories",2023,"PHEV",0.0355167208284428
"Northwest Territories",2024,"BEV",0.165982876468299
"Northwest Territories",2024,"PHEV",0.0290096963916706
"Northwest Territories",2025,"BEV",0.0917027586781245
"Northwest Territories",2025,"PHEV",0.0182534485183124
"Northwest Territories",2026,"BEV",0.120280067870594
"Northwest Territories",2026,"PHEV",0.0241582261464459
"Northwest Territories",2027,"BEV",0.158748044238814
"Northwest Territories",2027,"PHEV",0.0352151169427675
"Northwest Territories",2028,"BEV",0.197954977003811
"Northwest Territories",2028,"PHEV",0.0369363803172861
"Northwest Territories",2029,"BEV",0.236018162433674
"Northwest Territories",2029,"PHEV",0.0477478176596069
"Northwest Territories",2030,"BEV",0.274984195478569
"Northwest Territories",2030,"PHEV",0.0535875276551706
"Northwest Territories",2031,"BEV",0.317077688445899
"Northwest Territories",2031,"PHEV",0.0662974664189993
"Northwest Territories",2032,"BEV",0.355770402744163
"Northwest Territories",2032,"PHEV",0.0782047152234856
"Northwest Territories",2033,"BEV",0.416707160211519
"Northwest Territories",2033,"PHEV",0.0861239232398301
"Northwest Territories",2034,"BEV",0.449648413666214
"Northwest Territories",2034,"PHEV",0.0887309071538417
"Northwest Territories",2035,"BEV",0.477789683736389
"Northwest Territories",2035,"PHEV",0.0893289103053558
"Northwest Territories",2036,"BEV",0.502299998084222
"Northwest Territories",2036,"PHEV",0.0891909668932252
"Northwest Territories",2037,"BEV",0.523929183082014
"Northwest Territories",2037,"PHEV",0.088319611832175
"Northwest Territories",2038,"BEV",0.54264345490167
"Northwest Territories",2038,"PHEV",0.0869730056351873
"Northwest Territories",2039,"BEV",0.558564013949359
"Northwest Territories",2039,"PHEV",0.0854061586110192
"Northwest Territories",2040,"BEV",0.571932595972004
"Northwest Territories",2040,"PHEV",0.0837355266469162
"Northwest Territories",2041,"BEV",0.58343490185924
"Northwest Territories",2041,"PHEV",0.0821257811430541
"Northwest Territories",2042,"BEV",0.593731773950947
"Northwest Territories",2042,"PHEV",0.0805991957516039
"Northwest Territories",2043,"BEV",0.602848825939263
"Northwest Territories",2043,"PHEV",0.0791837228988273
"Northwest Territories",2044,"BEV",0.610669839145174
"Northwest Territories",2044,"PHEV",0.0777963215547404
"Northwest Territories",2045,"BEV",0.618004515540184
"Northwest Territories",2045,"PHEV",0.0765011769227074
"Northwest Territories",2046,"BEV",0.630496195018212
"Northwest Territories",2046,"PHEV",0.0752291321149985
"Northwest Territories",2047,"BEV",0.637325762095548
"Northwest Territories",2047,"PHEV",0.0740671742980373
"Northwest Territories",2048,"BEV",0.643879179479195
"Northwest Territories",2048,"PHEV",0.0729594021252579
"Northwest Territories",2049,"BEV",0.650136575053832
"Northwest Territories",2049,"PHEV",0.0719476458438858
"Northwest Territories",2050,"BEV",0.655642591077365
"Northwest Territories",2050,"PHEV",0.0708615372291425
"Nova Scotia",2021,"BEV",0.0890310370579968
"Nova Scotia",2021,"PHEV",0.0309544904235531
"Nova Scotia",2022,"BEV",0.116307993075832
"Nova Scotia",2022,"PHEV",0.028682619296118
"Nova Scotia",2023,"BEV",0.134473805653468
"Nova Scotia",2023,"PHEV",0.0355167208284428
"Nova Scotia",2024,"BEV",0.165982876468299
"Nova Scotia",2024,"PHEV",0.0290096963916706
"Nova Scotia",2025,"BEV",0.0917027586781245
"Nova Scotia",2025,"PHEV",0.0182534485183124
"Nova Scotia",2026,"BEV",0.120280067870594
"Nova Scotia",2026,"PHEV",0.0241582261464459
"Nova Scotia",2027,"BEV",0.158748044238814
"Nova Scotia",2027,"PHEV",0.0352151169427675
"Nova Scotia",2028,"BEV",0.197954977003811
"Nova Scotia",2028,"PHEV",0.0369363803172861
"Nova Scotia",2029,"BEV",0.236018162433674
"Nova Scotia",2029,"PHEV",0.0477478176596069
"Nova Scotia",2030,"BEV",0.274984195478569
"Nova Scotia",2030,"PHEV",0.0535875276551706
"Nova Scotia",2031,"BEV",0.317077688445899
"Nova Scotia",2031,"PHEV",0.0662974664189993
"Nova Scotia",2032,"BEV",0.355770402744163
"Nova Scotia",2032,"PHEV",0.0782047152234856
"Nova Scotia",2033,"BEV",0.416707160211519
"Nova Scotia",2033,"PHEV",0.0861239232398301
"Nova Scotia",2034,"BEV",0.449648413666214
"Nova Scotia",2034,"PHEV",0.0887309071538417
"Nova Scotia",2035,"BEV",0.477789683736389
