"State","Year","Propulsion","Fraction"
"Manitoba",2048,"BEV",0.898504309267709
"Manitoba",2048,"PHEV",0.101434969409688
"Manitoba",2049,"BEV",0.900652770400135
"Manitoba",2049,"PHEV",0.0992859384143084
"Manitoba",2050,"BEV",0.902740373978654
"Manitoba",2050,"PHEV",0.0971978302829634
"New Brunswick",2021,"BEV",0.0890310370579968
"New Brunswick",2021,"PHEV",0.0309544904235531
"New Brunswick",2022,"BEV",0.116307993075832
"New Brunswick",2022,"PHEV",0.028682619296118
"New Brunswick",2023,"BEV",0.134473805653468
"New Brunswick",2023,"PHEV",0.0355167208284428
"New Brunswick",2024,"BEV",0.165982876468299
"New Brunswick",2024,"PHEV",0.0290096963916706
"New Brunswick",2025,"BEV",0.18744120874145
"New Brunswick",2025,"PHEV",0.0325517556486254
"New Brunswick",2026,"BEV",0.297563569996471
"New Brunswick",2026,"PHEV",0.0524266922364013
"New Brunswick",2027,"BEV",0.357239298408975
"New Brunswick",2027,"PHEV",0.0727497784025284
"New Brunswick",2028,"BEV",0.435924556708746
"New Brunswick",2028,"PHEV",0.0740633393061713
"New Brunswick",2029,"BEV",0.498864183508438
"New Brunswick",2029,"PHEV",0.091122818094756
"New Brunswick",2030,"BEV",0.57750419845118
"New Brunswick",2030,"PHEV",0.102480376518155
"New Brunswick",2031,"BEV",0.637320065824968
"New Brunswick",2031,"PHEV",0.122661691205412
"New Brunswick",2032,"BEV",0.680976264622944
"New Brunswick",2032,"PHEV",0.139005139197108
"New Brunswick",2033,"BEV",0.729988176751075
"New Brunswick",2033,"PHEV",0.149990255564073
"New Brunswick",2034,"BEV",0.785960286329472
"New Brunswick",2034,"PHEV",0.154013535074328
"New Brunswick",2035,"BEV",0.843431627819833
"New Brunswick",2035,"PHEV",0.156536290338104
"New Brunswick",2036,"BEV",0.850152048536328
"New Brunswick",2036,"PHEV",0.14981219036315
"New Brunswick",2037,"BEV",0.856651965107472
"New Brunswick",2037,"PHEV",0.143309929670462
"New Brunswick",2038,"BEV",0.862703992816305
"New Brunswick",2038,"PHEV",0.137254349160717
"New Brunswick",2039,"BEV",0.868126808431982
"New Brunswick",2039,"PHEV",0.13182928109353
"New Brunswick",2040,"BEV",0.872944090217096
"New Brunswick",2040,"PHEV",0.127008568730487
"New Brunswick",2041,"BEV",0.877175766246993
"New Brunswick",2041,"PHEV",0.122774755235961
"New Brunswick",2042,"BEV",0.880966666966809
"New Brunswick",2042,"PHEV",0.118981763054776
"New Brunswick",2043,"BEV",0.884343374617646
"New Brunswick",2043,"PHEV",0.1156029830039
"New Brunswick",2044,"BEV",0.887445826322306
"New Brunswick",2044,"PHEV",0.112498502319438
"New Brunswick",2045,"BEV",0.89028971374495
