"State","Sale Year","Vehicle","Propulsion","Sales"
"Northwest Territories",2019,"Car","BEV",1.46299835949611
"Northwest Territories",2019,"Car","PHEV",2.17768131002464
"Northwest Territories",2019,"SUV","BEV",0
"Northwest Territories",2019,"SUV","PHEV",0.62219466000704
"Northwest Territories",2020,"Car","BEV",1.6874490943645
"Northwest Territories",2020,"Car","PHEV",1.56719226526507
"Northwest Territories",2020,"SUV","BEV",0.337489818872901
"Northwest Territories",2020,"SUV","PHEV",0.156719226526507
"Northwest Territories",2021,"Car","BEV",3.07560571641801
"Northwest Territories",2021,"Car","PHEV",3.13207507820647
"Northwest Territories",2021,"SUV","BEV",1.15335214365675
"Northwest Territories",2021,"SUV","PHEV",1.70840458811262
"Northwest Territories",2022,"Car","BEV",5.78616516909739
"Northwest Territories",2022,"Car","PHEV",2.39540072365068
"Northwest Territories",2022,"SUV","BEV",5.34107554070529
"Northwest Territories",2022,"SUV","PHEV",3.70198293655104
"Northwest Territories",2023,"Car","BEV",7.42838965207892
"Northwest Territories",2023,"Car","PHEV",2.96431920997462
"Northwest Territories",2023,"SUV","BEV",9.17624604080337
"Northwest Territories",2023,"SUV","PHEV",7.70722994593402
"Northwest Territories",2024,"Car","BEV",6.57062700720646
"Northwest Territories",2024,"Car","PHEV",3.15328903082786
"Northwest Territories",2024,"SUV","BEV",13.5277614854251
"Northwest Territories",2024,"SUV","PHEV",12.9284850263942
"Nova Scotia",2014,"Car","BEV",6.35055219095119
"Nova Scotia",2014,"Car","PHEV",16.6281949049398
"Nova Scotia",2014,"SUV","BEV",1.51203623594076
"Nova Scotia",2014,"SUV","PHEV",0.760146052797247
"Nova Scotia",2015,"Car","BEV",9.73209832561454
"Nova Scotia",2015,"Car","PHEV",17.7151970453687
"Nova Scotia",2015,"SUV","BEV",2.31716626800346
"Nova Scotia",2015,"SUV","PHEV",0.809837579216855
"Nova Scotia",2016,"Car","BEV",11.0765942287139
"Nova Scotia",2016,"Car","PHEV",41.5704872623494
"Nova Scotia",2016,"SUV","BEV",2.63728434016998
"Nova Scotia",2016,"SUV","PHEV",1.90036513199312
"Nova Scotia",2017,"Car","BEV",20.6612041325258
"Nova Scotia",2017,"Car","PHEV",69.1862173164897
"Nova Scotia",2017,"SUV","BEV",4.91933431726805
"Nova Scotia",2017,"SUV","PHEV",3.16279850589667
"Nova Scotia",2018,"Car","BEV",36.8725821307952
"Nova Scotia",2018,"Car","PHEV",108.926223593521
"Nova Scotia",2018,"SUV","BEV",7.73134786613448
"Nova Scotia",2018,"SUV","PHEV",9.07718529946005
"Nova Scotia",2019,"Car","BEV",52.6679409418599
"Nova Scotia",2019,"Car","PHEV",72.4856778908201
"Nova Scotia",2019,"SUV","BEV",10.7286546363048
"Nova Scotia",2019,"SUV","PHEV",13.0660878601478
"Nova Scotia",2020,"Car","BEV",83.0224954427336
"Nova Scotia",2020,"Car","PHEV",47.1724871844786
"Nova Scotia",2020,"SUV","BEV",19.5744094946282
"Nova Scotia",2020,"SUV","PHEV",15.0450457465447
"Nova Scotia",2021,"Car","BEV",163.007102970154
"Nova Scotia",2021,"Car","PHEV",107.629489051095
"Nova Scotia",2021,"SUV","BEV",78.8123964832115
"Nova Scotia",2021,"SUV","PHEV",62.0720333680918
"Nova Scotia",2022,"Car","BEV",338.268117578001
"Nova Scotia",2022,"Car","PHEV",104.96210443633
"Nova Scotia",2022,"SUV","BEV",230.111337878719
"Nova Scotia",2022,"SUV","PHEV",100.389066691178
"Nova Scotia",2023,"Car","BEV",521.735132034249
"Nova Scotia",2023,"Car","PHEV",158.591077733642
"Nova Scotia",2023,"SUV","BEV",510.811029604721
"Nova Scotia",2023,"SUV","PHEV",259.674362793777
"Nova Scotia",2024,"Car","BEV",606.816729489067
"Nova Scotia",2024,"Car","PHEV",197.080564426741
"Nova Scotia",2024,"SUV","BEV",853.021988523804
"Nova Scotia",2024,"SUV","PHEV",572.63728799834
"Nunavut",2014,"Car","BEV",0
"Nunavut",2014,"Car","PHEV",0
"Nunavut",2014,"SUV","BEV",0
"Nunavut",2014,"SUV","PHEV",0
"Nunavut",2015,"Car","BEV",0
"Nunavut",2015,"Car","PHEV",0
"Nunavut",2015,"SUV","BEV",0
"Nunavut",2015,"SUV","PHEV",0
"Nunavut",2016,"Car","BEV",0
"Nunavut",2016,"Car","PHEV",0
"Nunavut",2016,"SUV","BEV",0
"Nunavut",2016,"SUV","PHEV",0
"Nunavut",2017,"Car","BEV",0
"Nunavut",2017,"Car","PHEV",0
"Nunavut",2017,"SUV","BEV",0
"Nunavut",2017,"SUV","PHEV",0
"Nunavut",2018,"Car","BEV",0
"Nunavut",2018,"Car","PHEV",0
"Nunavut",2018,"SUV","BEV",0
"Nunavut",2018,"SUV","PHEV",0
"Nunavut",2019,"Car","BEV",0
"Nunavut",2019,"Car","PHEV",0
"Nunavut",2019,"SUV","BEV",0
"Nunavut",2019,"SUV","PHEV",0
"Nunavut",2020,"Car","BEV",0
"Nunavut",2020,"Car","PHEV",0
"Nunavut",2020,"SUV","BEV",0
"Nunavut",2020,"SUV","PHEV",0
"Nunavut",2021,"Car","BEV",0
"Nunavut",2021,"Car","PHEV",0
"Nunavut",2021,"SUV","BEV",0
"Nunavut",2021,"SUV","PHEV",0.28473409801877
"Nunavut",2022,"Car","BEV",0
"Nunavut",2022,"Car","PHEV",0
"Nunavut",2022,"SUV","BEV",0.445089628392107
"Nunavut",2022,"SUV","PHEV",0.435527404300123
"Nunavut",2023,"Car","BEV",0
"Nunavut",2023,"Car","PHEV",0
"Nunavut",2023,"SUV","BEV",0
"Nunavut",2023,"SUV","PHEV",0.592863841994924
"Nunavut",2024,"Car","BEV",0
"Nunavut",2024,"Car","PHEV",0
"Nunavut",2024,"SUV","BEV",0
"Nunavut",2024,"SUV","PHEV",0.945986709248359
"Ontario",2014,"Car","BEV",717.461193953891
"Ontario",2014,"Car","PHEV",648.499601292651
"Ontario",2014,"SUV","BEV",161.031859127691
"Ontario",2014,"SUV","PHEV",84.756284886893
"Ontario",2015,"Car","BEV",1099.49539416764
"Ontario",2015,"Car","PHEV",690.892684769379
"Ontario",2015,"SUV","BEV",246.778207542369
"Ontario",2015,"SUV","PHEV",90.2968900826793
"Ontario",2016,"Car","BEV",1251.39141941066
"Ontario",2016,"Car","PHEV",1621.24900323163
"Ontario",2016,"SUV","BEV",280.870782228103
"Ontario",2016,"SUV","PHEV",211.890712217233
"Ontario",2017,"Car","BEV",2334.22413354369
"Ontario",2017,"Car","PHEV",2698.2624753431
"Ontario",2017,"SUV","BEV",523.909104789048
"Ontario",2017,"SUV","PHEV",352.652033407479
"Ontario",2018,"Car","BEV",5661.13079521032
"Ontario",2018,"Car","PHEV",6241.89977356988
"Ontario",2018,"SUV","BEV",1215.60577218299
"Ontario",2018,"SUV","PHEV",1589.04137948195
"Ontario",2019,"Car","BEV",7328.15878271601
"Ontario",2019,"Car","PHEV",4514.02225835107
"Ontario",2019,"SUV","BEV",1476.65301085141
"Ontario",2019,"SUV","PHEV",1463.71293766656
"Ontario",2020,"Car","BEV",6700.86035372144
"Ontario",2020,"Car","PHEV",2487.9177211083
"Ontario",2020,"SUV","BEV",1592.61445526122
"Ontario",2020,"SUV","PHEV",902.232587113101
"Ontario",2021,"Car","BEV",9751.9768253324
"Ontario",2021,"Car","PHEV",4657.110907195
"Ontario",2021,"SUV","BEV",4067.10410924826
"Ontario",2021,"SUV","PHEV",2287.83847758081
"Ontario",2022,"Car","BEV",14743.1488508602
"Ontario",2022,"Car","PHEV",3529.73184815035
"Ontario",2022,"SUV","BEV",9652.65877093963
"Ontario",2022,"SUV","PHEV",2537.38265745252
"Ontario",2023,"Car","BEV",17846.0506929738
"Ontario",2023,"Car","PHEV",4626.1165590864
"Ontario",2023,"SUV","BEV",18737.4574512233
"Ontario",2023,"SUV","PHEV",5079.36096629152
"Ontario",2024,"Car","BEV",20137.4257472037
"Ontario",2024,"Car","PHEV",5674.34361097474
"Ontario",2024,"SUV","BEV",28006.33134954
"Ontario",2024,"SUV","PHEV",9325.53697977032
"Prince Edward Island",2014,"Car","BEV",1.96564710672299
"Prince Edward Island",2014,"Car","PHEV",2.85054769798968
"Prince Edward Island",2014,"SUV","BEV",0.151203623594076
"Prince Edward Island",2014,"SUV","PHEV",0
"Prince Edward Island",2015,"Car","BEV",3.0123161484045
"Prince Edward Island",2015,"Car","PHEV",3.03689092206321
"Prince Edward Island",2015,"SUV","BEV",0.231716626800346
"Prince Edward Island",2015,"SUV","PHEV",0
"Prince Edward Island",2016,"Car","BEV",3.42846964222098
"Prince Edward Island",2016,"Car","PHEV",7.12636924497419
"Prince Edward Island",2016,"SUV","BEV",0.263728434016998
"Prince Edward Island",2016,"SUV","PHEV",0
"Prince Edward Island",2017,"Car","BEV",6.39513461244847
"Prince Edward Island",2017,"Car","PHEV",11.8604943971125
"Prince Edward Island",2017,"SUV","BEV",0.491933431726805
"Prince Edward Island",2017,"SUV","PHEV",0
"Prince Edward Island",2018,"Car","BEV",11.8943813325146
"Prince Edward Island",2018,"Car","PHEV",18.1543705989201
"Prince Edward Island",2018,"SUV","BEV",0.594719066625729
"Prince Edward Island",2018,"SUV","PHEV",1.60185622931648
"Prince Edward Island",2019,"Car","BEV",18.5313125536174
"Prince Edward Island",2019,"Car","PHEV",13.3771851901513
"Prince Edward Island",2019,"SUV","BEV",0.975332239664073
"Prince Edward Island",2019,"SUV","PHEV",3.1109733000352
"Prince Edward Island",2020,"Car","BEV",21.2618585889927
"Prince Edward Island",2020,"Car","PHEV",8.7762766854844
"Prince Edward Island",2020,"SUV","BEV",3.03740836985611
"Prince Edward Island",2020,"SUV","PHEV",2.97766530400363
"Prince Edward Island",2021,"Car","BEV",61.1276636138079
"Prince Edward Island",2021,"Car","PHEV",24.7718665276329
"Prince Edward Island",2021,"SUV","BEV",25.3737471604486
"Prince Edward Island",2021,"SUV","PHEV",12.5283003128259
"Prince Edward Island",2022,"Car","BEV",138.867964058337
"Prince Edward Island",2022,"Car","PHEV",21.5586065128561
"Prince Edward Island",2022,"SUV","BEV",81.4514019957556
"Prince Edward Island",2022,"SUV","PHEV",18.5099146827552
"Prince Edward Island",2023,"Car","BEV",173.474746580902
"Prince Edward Island",2023,"Car","PHEV",33.4968070727132
"Prince Edward Island",2023,"SUV","BEV",145.509044361311
"Prince Edward Island",2023,"SUV","PHEV",58.6935203574975
"Prince Edward Island",2024,"Car","BEV",176.247406781538
"Prince Edward Island",2024,"Car","PHEV",43.2000597223417
"Prince Edward Island",2024,"SUV","BEV",224.947348129068
"Prince Edward Island",2024,"SUV","PHEV",135.591428325598
"Quebec",2014,"Car","BEV",964.527914906611
"Quebec",2014,"Car","PHEV",1030.37797456667
"Quebec",2014,"SUV","BEV",162.241488116444
"Quebec",2014,"SUV","PHEV",41.2379233642506
"Quebec",2015,"Car","BEV",1478.12036235941
"Quebec",2015,"Car","PHEV",1097.73483862845
"Quebec",2015,"SUV","BEV",248.631940556771
"Quebec",2015,"SUV","PHEV",43.9336886725144
"Quebec",2016,"Car","BEV",1682.32368059443
"Quebec",2016,"Car","PHEV",2575.94493641667
"Quebec",2016,"SUV","BEV",282.980609700239
"Quebec",2016,"SUV","PHEV",103.094808410627
"Quebec",2017,"Car","BEV",3138.04336098529
"Quebec",2017,"Car","PHEV",4287.17337474294
"Quebec",2017,"SUV","BEV",527.844572242862
"Quebec",2017,"SUV","PHEV",171.581818944894
"Quebec",2018,"Car","BEV",6992.70678538532
"Quebec",2018,"Car","PHEV",8562.98944984946
"Quebec",2018,"SUV","BEV",1002.69634633098
"Quebec",2018,"SUV","PHEV",1119.16355221578
"Quebec",2019,"Car","BEV",11017.8406453652
"Quebec",2019,"Car","PHEV",7182.92625245127
"Quebec",2019,"SUV","BEV",1828.74794937014
"Quebec",2019,"SUV","PHEV",1624.55025727838
"Quebec",2020,"Car","BEV",11787.8443935927
"Quebec",2020,"Car","PHEV",4747.33880994095
"Quebec",2020,"SUV","BEV",2563.57266415855
"Quebec",2020,"SUV","PHEV",1322.24011420414
"Quebec",2021,"Car","BEV",17434.45545423
"Quebec",2021,"Car","PHEV",9852.9387278415
"Quebec",2021,"SUV","BEV",6311.14293008975
"Quebec",2021,"SUV","PHEV",4055.46775808133
"Quebec",2022,"Car","BEV",24576.0689212986
"Quebec",2022,"Car","PHEV",8115.61765172849
"Quebec",2022,"SUV","BEV",13546.3028401138
"Quebec",2022,"SUV","PHEV",5220.23146794127
"Quebec",2023,"Car","BEV",29597.3261584655
"Quebec",2023,"Car","PHEV",11043.5712167605
"Quebec",2023,"SUV","BEV",25474.1329374645
"Quebec",2023,"SUV","PHEV",10470.2718815514
"Quebec",2024,"Car","BEV",30379.1007140836
"Quebec",2024,"Car","PHEV",11730.5505235827
"Quebec",2024,"SUV","BEV",46750.011156274
"Quebec",2024,"SUV","PHEV",17770.6756621335
"Saskatchewan",2014,"Car","BEV",6.19934856735712
"Saskatchewan",2014,"Car","PHEV",11.307172535359
"Saskatchewan",2014,"SUV","BEV",1.05842536515853
"Saskatchewan",2014,"SUV","PHEV",0.855164309396903
"Saskatchewan",2015,"Car","BEV",9.50038169881419
"Saskatchewan",2015,"Car","PHEV",12.0463339908507
"Saskatchewan",2015,"SUV","BEV",1.62201638760242
"Saskatchewan",2015,"SUV","PHEV",0.911067276618962
"Saskatchewan",2016,"Car","BEV",10.8128657946969
"Saskatchewan",2016,"Car","PHEV",28.2679313383976
"Saskatchewan",2016,"SUV","BEV",1.84609903811899
"Saskatchewan",2016,"SUV","PHEV",2.13791077349226
"Saskatchewan",2017,"Car","BEV",20.169270700799
"Saskatchewan",2017,"Car","PHEV",47.046627775213
"Saskatchewan",2017,"SUV","BEV",3.44353402208764
"Saskatchewan",2017,"SUV","PHEV",3.55814831913376
"Saskatchewan",2018,"Car","BEV",41.0356155971753
"Saskatchewan",2018,"Car","PHEV",68.3458657841698
"Saskatchewan",2018,"SUV","BEV",7.73134786613448
"Saskatchewan",2018,"SUV","PHEV",13.3488019109707
"Saskatchewan",2019,"Car","BEV",62.9089294583327
"Saskatchewan",2019,"Car","PHEV",47.5978914905385
"Saskatchewan",2019,"SUV","BEV",11.7039868759689
"Saskatchewan",2019,"SUV","PHEV",15.2437691701725
"Saskatchewan",2020,"Car","BEV",82.3475158049878
"Saskatchewan",2020,"Car","PHEV",31.1871260787749
