"Province","Segment","ageID","ageFraction"
"Newfoundland and Labrador","Car",25,0.00568078972632631
"Newfoundland and Labrador","Car",26,0.00419759471623464
"Newfoundland and Labrador","Car",27,0.00335148703576888
"Newfoundland and Labrador","Car",28,0.00281172971101737
"Newfoundland and Labrador","Car",29,0.00260423469509167
"Newfoundland and Labrador","Car",30,0.0244475470578464
"Newfoundland and Labrador","SUV",0,0.0353883393121763
"Newfoundland and Labrador","SUV",1,0.0732878022875403
"Newfoundland and Labrador","SUV",2,0.0709852649399985
"Newfoundland and Labrador","SUV",3,0.0688271743840638
"Newfoundland and Labrador","SUV",4,0.0629267327103806
"Newfoundland and Labrador","SUV",5,0.0604951604852795
"Newfoundland and Labrador","SUV",6,0.051685687897779
"Newfoundland and Labrador","SUV",7,0.0455612660402467
"Newfoundland and Labrador","SUV",8,0.040373485550071
"Newfoundland and Labrador","SUV",9,0.040179157253915
"Newfoundland and Labrador","SUV",10,0.0303032573056669
"Newfoundland and Labrador","SUV",11,0.0232881484989922
"Newfoundland and Labrador","SUV",12,0.0383570579423809
"Newfoundland and Labrador","SUV",13,0.0392541171464062
"Newfoundland and Labrador","SUV",14,0.0381101545836058
"Newfoundland and Labrador","SUV",15,0.0373585926608049
"Newfoundland and Labrador","SUV",16,0.0367165170272045
"Newfoundland and Labrador","SUV",17,0.0315064648108437
"Newfoundland and Labrador","SUV",18,0.0277242497897665
"Newfoundland and Labrador","SUV",19,0.0237415640465509
"Newfoundland and Labrador","SUV",20,0.0210574359189778
"Newfoundland and Labrador","SUV",21,0.0177214883725271
"Newfoundland and Labrador","SUV",22,0.0133063662833976
"Newfoundland and Labrador","SUV",23,0.0125792961548219
"Newfoundland and Labrador","SUV",24,0.00871184593708024
"Newfoundland and Labrador","SUV",25,0.0084563006143226
"Newfoundland and Labrador","SUV",26,0.00701374464174648
"Newfoundland and Labrador","SUV",27,0.00488130847203016
"Newfoundland and Labrador","SUV",28,0.00370685099246828
"Newfoundland and Labrador","SUV",29,0.00314800574244997
"Newfoundland and Labrador","SUV",30,0.023347162196505
"Northwest Territories","Car",0,0.0242388433769591
"Northwest Territories","Car",1,0.0470772953192002
"Northwest Territories","Car",2,0.0526232556777999
"Northwest Territories","Car",3,0.0600288582081655
"Northwest Territories","Car",4,0.0620108340977333
"Northwest Territories","Car",5,0.0669906035521271
"Northwest Territories","Car",6,0.0633281456896829
"Northwest Territories","Car",7,0.0652395562849377
"Northwest Territories","Car",8,0.0574536693866818
"Northwest Territories","Car",9,0.044971755547827
"Northwest Territories","Car",10,0.0423200306230946
"Northwest Territories","Car",11,0.0371514148699414
"Northwest Territories","Car",12,0.0459506602048986
"Northwest Territories","Car",13,0.0471076164746703
"Northwest Territories","Car",14,0.0414955072940522
"Northwest Territories","Car",15,0.0373843443342616
"Northwest Territories","Car",16,0.0315622002811396
"Northwest Territories","Car",17,0.0287399493634131
"Northwest Territories","Car",18,0.0240679550432331
"Northwest Territories","Car",19,0.0200172167647296
"Northwest Territories","Car",20,0.0180308587880783
"Northwest Territories","Car",21,0.0136188583164787
"Northwest Territories","Car",22,0.010630679309029
"Northwest Territories","Car",23,0.00864006131192991
"Northwest Territories","Car",24,0.00622644693765033
"Northwest Territories","Car",25,0.00568078972632631
"Northwest Territories","Car",26,0.00419759471623464
"Northwest Territories","Car",27,0.00335148703576888
"Northwest Territories","Car",28,0.00281172971101737
"Northwest Territories","Car",29,0.00260423469509167
"Northwest Territories","Car",30,0.0244475470578464
"Northwest Territories","SUV",0,0.0353883393121763
"Northwest Territories","SUV",1,0.0732878022875403
"Northwest Territories","SUV",2,0.0709852649399985
"Northwest Territories","SUV",3,0.0688271743840638
"Northwest Territories","SUV",4,0.0629267327103806
"Northwest Territories","SUV",5,0.0604951604852795
"Northwest Territories","SUV",6,0.051685687897779
"Northwest Territories","SUV",7,0.0455612660402467
"Northwest Territories","SUV",8,0.040373485550071
"Northwest Territories","SUV",9,0.040179157253915
"Northwest Territories","SUV",10,0.0303032573056669
"Northwest Territories","SUV",11,0.0232881484989922
"Northwest Territories","SUV",12,0.0383570579423809
"Northwest Territories","SUV",13,0.0392541171464062
"Northwest Territories","SUV",14,0.0381101545836058
"Northwest Territories","SUV",15,0.0373585926608049
"Northwest Territories","SUV",16,0.0367165170272045
"Northwest Territories","SUV",17,0.0315064648108437
"Northwest Territories","SUV",18,0.0277242497897665
"Northwest Territories","SUV",19,0.0237415640465509
"Northwest Territories","SUV",20,0.0210574359189778
"Northwest Territories","SUV",21,0.0177214883725271
"Northwest Territories","SUV",22,0.0133063662833976
"Northwest Territories","SUV",23,0.0125792961548219
"Northwest Territories","SUV",24,0.00871184593708024
"Northwest Territories","SUV",25,0.0084563006143226
"Northwest Territories","SUV",26,0.00701374464174648
"Northwest Territories","SUV",27,0.00488130847203016
