Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,MN,169050.01049322684,92112.07074509191,179286.58444712113,97594.27244155532,0,0,0,0,0,0,0,0,0,0,51428.082218069736,53723.40696078882,86610.8463208545,90610.47768254626,US
2050,MO,152203.12396400693,83383.49084223858,161334.1260078632,88299.67954668972,0,0,0,0,66.35133488285594,52.65410620524562,1238.8912330581722,678.7189239273154,0,206085.3314,49571.687300726044,51758.91341965414,82933.6205199239,86720.30732160814,US
2050,MS,65940.9916940622,36238.43791024944,69880.09612547368,38366.169140552105,0,0,0,0,6966.890162699873,5528.681151550789,130083.57947110811,71265.48701236812,0,0,22204.40548414631,23171.554675231608,36929.46944109237,38594.33541789622,US
2050,MT,29860.31446625479,16154.729239111692,31629.872731852804,17091.709339045996,0,0,0,0,0,0,0,0,0,0,8620.72203499483,8990.887766737205,14597.377888706698,15249.389316194458,US
2050,MX,20397.441652218353,12281.041721207084,20397.441652218353,12281.041721207084,0,0,0,0,0,0,0,0,0,0,329004.5456851686,346562.12885044713,547754.4793648995,578112.6565150812,MX
2050,NB,22235.152701736057,11936.46443148331,23754.413460465632,12748.99607899466,0,0,0,0,0,0,0,0,0,0,6536.797921456906,6887.783090544736,11172.563293099109,11784.197299485673,CA
2050,NC,303620.8003152454,167735.51720505705,321801.9106713629,177620.70970589144,21573.461632562092,15267.359020731692,530577.8628322523,290673.81099487667,10284.45690684267,8161.386461813069,192028.1411240167,105201.43320873387,38000,28504.625929,91487.06738563145,95514.11974993644,151855.88401315184,158755.88668934314,US
2050,ND,29599.033152028485,15958.062459195546,31405.01048750512,16914.1984354962,0,0,0,0,0,0,0,0,0,0,8061.10294662902,8425.210689708532,13740.997018453163,14383.352629636494,US
2050,NE,57108.69143812658,31104.266218457113,60559.70777932133,32951.05978382519,0,0,0,0,0,0,0,0,0,0,17239.39857625212,18004.228361051715,29016.591850541023,30349.422904581705,US
2050,NH,41822.84559724568,22875.818442021613,44394.89716438749,24262.064872343235,3.142071312636483,2.223617684347756,77.27612333705977,42.33524774175309,0,0,0,0,0,0,13302.409610201099,13911.126258367494,22292.55352381056,23344.81077320208,US
