Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2039,Decreasing Batt Cap - High LFP Chemistry,Refining,0,Decreasing Batt Cap - High LFP Chemistry - Refining
2040,Decreasing Batt Cap - High LFP Chemistry,Black Mass,1.5186433305647984,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2040,Decreasing Batt Cap - High LFP Chemistry,Refining,0.1891266232976266,Decreasing Batt Cap - High LFP Chemistry - Refining
2041,Decreasing Batt Cap - High LFP Chemistry,Black Mass,2.385286670475548,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2041,Decreasing Batt Cap - High LFP Chemistry,Refining,0.5712764436553766,Decreasing Batt Cap - High LFP Chemistry - Refining
2042,Decreasing Batt Cap - High LFP Chemistry,Black Mass,3.456189625348823,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2042,Decreasing Batt Cap - High LFP Chemistry,Refining,1.1576858789756515,Decreasing Batt Cap - High LFP Chemistry - Refining
2043,Decreasing Batt Cap - High LFP Chemistry,Black Mass,4.748794686639037,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2043,Decreasing Batt Cap - High LFP Chemistry,Refining,1.9657974207128648,Decreasing Batt Cap - High LFP Chemistry - Refining
2044,Decreasing Batt Cap - High LFP Chemistry,Black Mass,6.2863797727870905,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2044,Decreasing Batt Cap - High LFP Chemistry,Refining,3.018888987307918,Decreasing Batt Cap - High LFP Chemistry - Refining
2045,Decreasing Batt Cap - High LFP Chemistry,Black Mass,8.092174938752041,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2045,Decreasing Batt Cap - High LFP Chemistry,Refining,4.34019063371987,Decreasing Batt Cap - High LFP Chemistry - Refining
2046,Decreasing Batt Cap - High LFP Chemistry,Black Mass,10.192006550476252,Decreasing Batt Cap - High LFP Chemistry - Black Mass
2046,Decreasing Batt Cap - High LFP Chemistry,Refining,5.95552872589108,Decreasing Batt Cap - High LFP Chemistry - Refining
2047,Decreasing Batt Cap - High LFP Chemistry,Black Mass,12.592395054743617,Decreasing Batt Cap - High LFP Chemistry - Black Mass
