Year,Scenario,Mineral,Recycling Scenario,Tonne
2028,Increasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,252.01915125142904
2028,Increasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2267.619032851076
2028,Increasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,2267.619032851076
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,532.9129546083342
2028,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,532.9129546083342
2028,Increasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,2141.5563743165926
2028,Increasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,2260.531728445292
2028,Increasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,4629.253888780183
2028,Increasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,449.39624907609743
2028,Increasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2028,Increasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,251.2101075298584
2028,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,2260.0649364850365
2028,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,2260.0649364850365
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,797.541949310983
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,797.541949310983
2029,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3324.674100105091
2029,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,3509.378216777597
2029,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,7169.659950879242
2029,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,693.362546331258
2029,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,367.23154791564986
2029,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3469.666472292333
2029,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,3469.666472292333
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,794.2315987431305
