"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Montana",2042,24122.3700517934,3394.90717692862,13849.7138300233,30405.7627597158,6203,1381,3377.22829902953,2392.41109275332,488.069519111368,108.660971448138,7584,41366.9910587453,2989.14158331283
"Montana",2043,25110.3393942203,3415.92687538664,13884.2961345851,29993.3341051624,7418,1622,3377.22829902953,2359.96004405179,583.669142796732,127.623530549515,9040,42410.562404192,3071.25271739803
"Montana",2044,26052.3676710597,3429.82260990338,13901.0888931436,29453.050875077,8667,1886,3377.22829902969,2317.44903707263,681.943982288929,148.395794461396,10553,43383.2791741067,3147.78881382295
"Montana",2045,26953.0132042062,3442.94517158399,13908.3141069004,28787.044183661,9980,2160,3377.22829902969,2265.04575388637,785.254522123401,169.954886551758,12140,44304.2724826907,3220.25516256153
"Montana",2046,27802.165736407,3445.38305679913,13874.5160590908,28004.8365532674,11315,2425,3377.22829902953,2203.49945338477,890.296083950529,190.805833281488,13740,45122.064852297,3284.60137061678
"Montana",2047,28583.3828985568,3443.90180769102,13793.979160873,27119.0355680912,12656,2669,3377.22829902953,2133.80213581854,995.809742684745,210.004440836408,15325,45821.2638671208,3339.61631933969
"Montana",2048,29256.0780277317,3430.76196868438,13696.2581277883,26154.8698251747,13977,2874,3377.22829902969,2057.93885829332,1099.749745062,226.134418495256,16851,46383.0981242044,3383.82302185057
"Montana",2049,29835.1601147123,3412.84103640384,13571.0226204818,25134.7954725683,15268,3039,3377.22829902969,1977.67653381573,1201.32926290382,239.117083440182,18307,46819.023771598,3418.12288015973
"Montana",2050,30301.5740895483,3380.36822672066,13456.4337550118,24087.1477722512,16506,3168,3377.22829902953,1895.24466064277,1298.73859139968,249.267166942578,19674,47138.3760712807,3443.25041898504
"Nebraska",2020,505.62230458221,178.071146245059,67807,97300.9714423345,0,0,0,6408.81677092176,0,0,0,68490.6934508273,6408.81677092176
"Nebraska",2021,979.764052507574,533.348886532343,71939,93629.9314754194,0,0,0,7158.24012938108,0,0,0,73452.1129390399,7158.24012938108
"Nebraska",2022,1579.42301943199,650.458467680024,68285,90445.4900645754,0,1,0,6967.788732001,0,0.0770385425191041,1,70514.881487112,6967.86577054352
"Nebraska",2023,2354.05145044144,954.509983268266,73501,87643.1397776163,2,1,0,7337.77362580567,0.167446616915468,0.083723308457734,3,76809.5614337097,7338.02479573104
"Nebraska",2024,2656.39646849041,1098.8209704406,72174,85198.8022079902,4,5,0,7706.52204023492,0.361813633080029,0.452267041350036,9,75929.217438931,7707.33612090935
"Nebraska",2025,7503.17391783451,1630.14547783346,82095.7029156234,83047.9592507469,9,6,8166.06306054452,6534.44745037765,0.708145360632325,0.472096907088217,15,91229.0223112914,6535.62769264537
"Nebraska",2026,9774.55626872766,2118.23156594519,77533.303915722,81211.0286898503,26,23,8166.06306054452,6389.91257765513,2.04575326404894,1.80970481050483,49,89426.0917503949,6393.76803572968
"Nebraska",2027,12729.8423542344,3035.10592900037,72087.7663927513,79605.6516154414,44,37,8166.0630605447,6263.596985732,3.46204398531359,2.91126426037734,81,87852.7146759861,6269.97029397769
"Nebraska",2028,15744.22130312,3147.80280394776,67611.3674217663,78202.3284682895,72,63,8166.06306054452,6153.17956616272,5.6651628850586,4.95701752442628,135,86503.391528834,6163.8017465722
"Nebraska",2029,18623.3168418341,4027.3528815149,62704.7103586437,76979.317021448,115,95,8166.0630605447,6056.94957926482,9.04852405252416,7.47486769556343,210,85355.3800819927,6073.47297101291
"Nebraska",2030,21591.3601239004,4484.4946134767,58321.0282123311,75910.8198891637,188,132,8166.06306054452,5972.87721403415,14.7923697554308,10.3861319559408,320,84396.8829497083,5998.05571574552
"Nebraska",2031,23929.1027008828,5324.47605497591,51344.1852404494,74976.1389374807,277,169,5175.62505882737,5899.33388296684,21.795140543906,13.2973962163181,446,80597.763996308,5934.42641972707
