"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Florida","Car",2023,390803.514270704,87,49,136,0,23043.4359796395,863.62041003672,348526,372433.056389676,32685.0333521758,7.27628539099977,4.09813774895389
"Florida","Car",2024,397121.498501636,143,74,217,0,18695.3189628505,1020.85350367197,342232,361948.172466522,35874.7731444014,12.9181940010943,6.68493955301382
"Florida","Car",2025,403366.383543441,225,118,343,74616.4743448953,40310.2012776834,8476.3043851389,429539.352225514,478325.857888336,31724.4001999903,17.696045918088,9.28059297037503
"Florida","Car",2026,409757.018854046,358,180,538,74616.4743448953,54596.7477709548,11433.8799432914,418880.865484695,484911.493198941,32227.0178706668,28.1563752830022,14.1568367344704
"Florida","Car",2027,415576.243362946,549,269,818,74616.4743448953,73245.0201141279,16864.2612110535,400901.43638266,491010.717707842,32684.6946000765,43.1783520401347,21.1566060087363
"Florida","Car",2028,420404.075945587,819,383,1202,74616.4743448941,92942.3952958878,17925.0372767613,385355.117717832,496222.550290481,33064.3992537087,64.4136071418403,30.1226026072342
"Florida","Car",2029,423859.439461845,1193,524,1717,74616.4743448953,112404.080975497,23427.5241481344,364361.308683109,500192.91380674,33336.1604601415,93.828367912351,41.2121247159027
"Florida","Car",2030,425592.085546662,1695,678,2373,74616.4743448953,132281.064813474,26484.4201172956,343816.074960788,502581.559891557,33472.4315031492,133.31021258293,53.3240850331718
"Florida","Car",2031,425409.200942795,2335,833,3168,79937.2851104644,155343.673709806,33294.1373854453,319876.674958009,508514.48605326,33458.047794937,183.645632083269,65.5146944434102
"Florida","Car",2032,423276.958086799,3152,981,4133,79937.2851104656,174654.76539514,39251.4102059841,293441.06759614,507347.243197264,33290.3488283226,247.90194103917,77.1547602028636
"Florida","Car",2033,419349.154473963,4193,1115,5308,79937.2851104644,204060.249654576,43018.1191731485,257516.070756703,504594.439584428,32981.4306368117,329.775646820191,87.6937386607471
"Florida","Car",2034,413897.626714599,5510,1252,6762,79937.2851104656,218303.596581054,43864.5444931036,238428.770750908,500596.911825065,32552.6729232408,433.356502260733,98.4686643975385
"Florida","Car",2035,407407.754858157,7161,1413,8574,79937.2851104644,229724.019468891,43753.5384115122,222441.482088218,495919.039968622,32042.2503882448,563.206154753014,111.131168365593
"Florida","Car",2036,400324.855356012,9233,1653,10886,79937.2851104644,239610.07089066,43323.6938621052,208214.37571371,491148.140466476,31485.1867668085,726.167075385362,130.00695067822
"Florida","Car",2037,393021.320696679,11875,2042,13917,79937.2851104656,248088.807388052,42582.6268124499,196204.171606642,486875.605807144,30910.7703903823,933.9579790102,160.60144784327
"Florida","Car",2038,385743.000005662,15215,2634,17849,79937.2851104644,255355.796443138,41698.4689630073,186475.019709982,483529.285116126,30338.3370696943,1196.64594952759,207.161710881083
"Florida","Car",2039,378579.276886311,19392,3478,22870,79937.2851104656,262338.616711495,40867.4239991649,178180.521286117,481386.561996777,29774.9167440743,1525.16321086028,273.541545347156
"Florida","Car",2040,371342.175579103,24527,4591,29118,79937.2851104644,268614.94616011,40070.2970885831,171712.217440874,480397.460689567,29205.7252905355,1929.02630325753,361.077985821964
"Florida","Car",2041,364119.998960172,30668,5963,36631,76837.8089974037,273082.332070751,39132.2202627698,165374.255624055,477588.807957576,28637.7076501927,2412.01038318188,468.984541375816
"Florida","Car",2042,356531.238929116,37758,7528,45286,76837.8089974037,278120.332502176,38474.3465853494,162060.368838995,478655.04792652,28040.8585569886,2969.63245233407,592.070371872739
"Florida","Car",2043,348348.859196335,45662,9236,54898,76837.8089974037,282745.038382932,37865.5947531277,159474.035057679,480084.668193738,27397.3218126751,3591.27488316326,726.40302266427
"Florida","Car",2044,339392.016384752,54157,11020,65177,76837.8089974037,287113.143527788,37279.1146105319,157014.567243836,481406.825382156,26692.8742496757,4259.39892793729,866.713004521465
"Florida","Car",2045,329560.531947367,63026,12816,75842,76837.8089974037,291367.295159824,36737.9127603124,154135.133024634,482240.34094477,25919.6369161338,4956.93773348184,1007.96677549429
"Florida","Car",2046,318856.041754383,72021,14561,86582,76837.8089974037,294626.797187871,36128.6082233934,151520.445340522,482275.850751787,25077.7384717571,5664.38632474051,1145.20944272569
"Florida","Car",2047,307372.941857019,80878,16171,97049,76837.8089974037,297039.688859994,35502.7357217832,148717.326272645,481259.750854422,24174.6030803537,6360.98134116942,1271.83448240623
"Florida","Car",2048,295286.423318883,89351,17554,106905,76837.8089974037,298597.818926692,34808.6321978035,145622.781191791,479029.232316286,23224.009360173,7027.37510589813,1380.60617798274
"Florida","Car",2049,282820.698458938,97198,18638,115836,76837.8089974037,299362.534423796,34083.2140538239,142048.758978722,475494.507456341,22243.5914067337,7644.53453842807,1465.86179476144
"Florida","Car",2050,270223.404718289,104222,19379,123601,76837.8089974037,298967.186309827,33244.3075529583,138450.719852908,470662.213715693,21252.8256801641,8196.9657674443,1524.14077265168
"Florida","SUV",2020,290013.872073701,6,4,10,0,7376.76003533222,1415.3001345895,364369,373161.060169922,19120.1159515981,0.395569683923377,0.263713122615585
"Florida","SUV",2021,301411.12036562,11,5,16,0,19236.2791529153,5524.58362989324,380360,405120.862782809,23041.6463945978,0.840904974020613,0.382229533645733
"Florida","SUV",2022,312403.811060514,23,11,34,0,34751.0920034394,7370.02706440142,366624,408745.119067841,24050.843429586,1.77068710206396,0.846850353161025
"Florida","SUV",2023,322951.680017904,47,19,66,0,60025.7636603954,11759.0365667075,396435,468219.800227103,27010.2136932541,3.93086682042516,1.58907382102294
"Florida","SUV",2024,333314.384698661,84,34,118,0,71920.4518406029,13141.9163096695,389276,474338.368150272,30110.628565683,7.58830976288056,3.07145871354689
"Florida","SUV",2025,343543.108481591,153,55,208,84873.3242272534,36121.6874858141,7595.55666630049,384907.18855673,428624.432708845,27019.3538779241,12.0333112242998,4.3257001133104
"Florida","SUV",2026,353821.079446145,245,86,331,84873.3242272534,49430.3796993412,10351.9174696015,379243.106504456,439025.403673399,27827.7069718509,19.2690277774736,6.76382199535808
"Florida","SUV",2027,364293.588036408,392,134,526,84873.3242272534,67081.5630210563,15445.159267758,367166.189974847,449692.912263662,28651.360273588,30.8304444439577,10.5389784578835
"Florida","SUV",2028,375016.366750549,616,201,817,84873.324227252,86290.2811717314,16642.0985999048,357774.311206165,460706.690977801,29494.6970935655,48.4478412690764,15.8084676868253
"Florida","SUV",2029,385962.658546245,957,297,1254,84873.3242272534,106088.749333814,22111.2678053487,343889.965634336,472089.982773499,30355.6130146741,75.2671819716009,23.3587806118761
"Florida","SUV",2030,396947.499172121,1458,425,1883,84873.3242272534,127312.384536002,25489.6245576844,330901.814305688,483703.823399374,31219.5607663113,114.67037754921,33.425864511944
"Florida","SUV",2031,407665.641499341,2190,599,2789,90925.5385837054,153164.248483625,32827.0306074936,315388.900991928,501380.180083047,32062.5329386628,172.241513602723,47.1108066885987
"Florida","SUV",2032,417687.978791142,3241,829,4070,90925.5385837068,176491.782797061,39664.2562192904,296527.478358497,512683.517374849,32850.7806760951,254.901710313436,65.2000980715331
"Florida","SUV",2033,426515.584570255,4733,1144,5877,90925.5385837054,211632.191086984,44614.3667493561,267071.56531762,523318.12315396,33545.0638637128,372.246157023602,89.9745623568563
"Florida","SUV",2034,433619.084292948,6778,1559,8337,90925.5385837068,232382.525896553,46693.4755370576,253805.621443045,532881.622876655,34103.7476738101,533.08355214578,122.613935939107
"Florida","SUV",2035,438622.024258832,9472,2095,11567,90925.5385837054,250659.890729755,47741.0119439205,242713.660168862,541114.562842537,34497.2243643066,744.96420860502,164.769849770641
"Florida","SUV",2036,441235.110478029,12783,2748,15531,90925.5385837054,267195.218805603,48311.3410797933,232185.089176339,547691.649061735,34702.741225297,1005.37135542631,216.127707479581
"Florida","SUV",2037,441330.034317,16570,3491,20061,90925.5385837068,281434.432609196,48306.1591618911,222575.981129619,552316.572900707,34710.2068991332,1303.21547050097,274.563983555756
"Florida","SUV",2038,438955.208828654,20711,4300,25011,90925.5385837054,293042.900320251,47852.6058700792,213996.241222029,554891.74741236,34523.4290285145,1628.90136448676,338.191099767904
"Florida","SUV",2039,434314.68056021,25052,5164,30216,90925.5385837068,302703.95494544,47155.5847478756,205596.679450602,555456.219143917,34158.4556893031,1970.3170770664,406.143916093362
"Florida","SUV",2040,427552.522758837,29585,6072,35657,90925.5385837054,309845.433933596,46220.8032975935,198068.824111354,554135.061342543,33626.61811171,2326.83341549615,477.557292509468
"Florida","SUV",2041,419386.611943975,34533,7085,41618,87400.0056047217,313574.374824691,44934.6591240512,189895.583599955,548404.617548697,32984.376632853,2715.98912750814,557.228823687348
"Florida","SUV",2042,409995.796510446,40261,8266,48527,87400.0056047217,317205.95427231,43881.3362324521,184835.511610406,545922.802115167,32245.797516764,3166.49113203618,650.113402484068
"Florida","SUV",2043,399712.718517263,47067,9654,56721,87400.0056047217,320289.935063602,42893.6576711864,180650.131387197,543833.724121985,31437.0427596679,3701.7768587851,759.278343525429
"Florida","SUV",2044,388809.496366935,55021,11261,66282,87400.0056047217,323544.31274328,42009.3812778554,176937.807950521,542491.501971656,30579.514227102,4327.35174426275,885.667435927062
"Florida","SUV",2045,377490.291103374,63999,13030,77029,87400.0056047217,327425.033267459,41284.3600072687,173209.903433368,541919.296708096,29689.2689999898,5033.46330094095,1024.79768138972
"Florida","SUV",2046,365905.325609453,73712,14883,88595,87400.0056047217,331051.946166905,40595.2417730331,170253.143274237,541900.331214175,28778.1219718125,5797.38194095156,1170.53445066179
"Florida","SUV",2047,354139.729301051,83835,16702,100537,87400.0056047217,334576.711201763,39989.2304023328,167510.793301677,542076.734905773,27852.768493914,6593.54670907958,1313.59715077291
"Florida","SUV",2048,342281.277768913,93995,18368,112363,87400.0056047217,337877.586289313,39387.6173352549,164779.079749067,542044.283373635,26920.1120368912,7392.62149364747,1444.62653965973
"Florida","SUV",2049,330383.725918273,103829,19784,123613,87400.0056047217,340853.35400507,38807.0532870101,161736.324230914,541396.731522995,25984.3803752834,8166.05667390737,1555.99365530423
"Florida","SUV",2050,318514.334841462,113021,20875,133896,87400.0056047217,342890.450775875,38128.4506278642,158791.439042444,539810.340446183,25050.8635329945,8888.99913648099,1641.79981573372
"Georgia","Car",2020,238727.179293479,23,6,29,0,2929.11620374914,539.899057873486,151924,155393.015261623,15738.8724761735,1.51635045503961,0.395569683923377
"Georgia","Car",2021,230985.417058356,37,7,44,0,4467.29235423542,749.313675648195,160814,166030.606029884,17657.8896482361,2.82849854897843,0.535121347104027
"Georgia","Car",2022,224189.524873125,57,12,69,0,7032.73107316873,471.468885815883,153962,161466.199958985,17259.5434830735,4.38822455728895,0.923836748902937
"Georgia","Car",2023,218153.328224778,92,19,111,0,8353.13254028516,342.132343941248,164361,173056.264884226,18245.3548868957,7.69446271232159,1.58907382102294
"Georgia","Car",2024,212849.614127505,144,30,174,0,6776.96144436008,404.421894124847,161393,168574.383338485,19228.2000584417,13.008531022081,2.7101106296002
"Georgia","Car",2025,208113.957347688,223,47,270,25956.2407360473,19920.1178778164,4222.11999543726,210197.960210481,234340.198083735,16367.973979643,17.5387477321494,3.69650736955616
"Georgia","Car",2026,204084.672567392,346,71,417,25956.2407360473,26278.4682231395,5549.53821328291,198629.906867017,230457.913303439,16051.0743863579,27.2125861673709,5.58408560081888
"Georgia","Car",2027,200385.534800662,511,106,617,25956.2407360473,34258.7113117204,7954.50936898304,184745.554856006,226958.77553671,15760.1405562362,40.1896865073021,8.33680385474367
"Georgia","Car",2028,196865.307353606,727,154,881,25956.2407360467,42273.2490872105,8224.61138166623,173204.687620776,223702.548089653,15483.2778604797,57.1778905886665,12.1119603172691
"Georgia","Car",2029,193408.885572125,981,211,1192,25956.2407360473,49992.3709338139,10498.4219667692,160066.333407589,220557.126308172,15211.4334224469,77.1547602028636,16.5949586165181
"Georgia","Car",2030,189922.493490608,1267,274,1541,25956.2407360473,57410.5577872926,11589.7696335,148419.406805862,217419.734226655,14937.2318475003,99.6484007920777,21.5498514735827
"Georgia","Car",2031,186382.553858375,1569,338,1907,22972.8451794399,64454.425942902,13949.458702498,132858.514392415,211262.399037815,14658.8188062592,123.4004268688,26.5833934236166
"Georgia","Car",2032,182801.079683801,1886,402,2288,22972.8451794399,71494.8756907963,16245.0651164353,120321.98405601,208061.924863241,14377.139110936,148.332189340062,31.6169353736505
"Georgia","Car",2033,179269.850475182,2243,464,2707,22972.8451794399,83345.089100285,17748.3999972757,103856.206557061,204949.695654622,14099.4111366115,176.409915530095,36.4931791377459
"Georgia","Car",2034,175871.883963984,2685,528,3213,22972.8451794399,89006.8450192408,18021.7314494175,95029.1526747659,202057.729143424,13832.1641525658,211.172814622517,41.5267210877798
"Georgia","Car",2035,172732.978999844,3267,610,3877,22972.8451794399,93538.0388139856,17905.8742760069,88138.9110892912,199582.824179284,13585.2921242194,256.946586730638,47.9759467112608
"Georgia","Car",2036,169915.937447954,4052,725,4777,22972.8451794405,97357.6647237526,17662.102180635,82646.0157230067,197665.782627394,13363.7343613065,318.686124711522,57.020592402728
"Georgia","Car",2037,167418.865477196,5137,908,6045,22972.8451794399,101008.801570223,17367.4656730598,78060.4434133531,196436.710656636,13167.3419157274,404.020390583191,71.4133764161062
