"State","Year","add_BEV","add_PHEV","add_ICE","ret_ICE","ret_BEV","ret_PHEV","Growth_from_pop","exp_ICE","exp_BEV","exp_PHEV","ret_EV","Demand_total","Export_All"
"Utah",2027,24295.5895766441,5365.00974314653,130798.601173665,128686.013859393,182,76,31515.1866340629,10182.612352566,14.4012188472317,6.01369578236049,258,160459.200493456,10203.0272671956
"Utah",2028,30185.9746165756,5613.60200996693,123924.165010092,127810.555002571,282,116,31515.1866340632,10113.3394152647,22.3139764556008,9.17879882570811,398,159723.741636635,10144.832190546
"Utah",2029,36061.2906971649,7281.22782109422,115727.841557013,126966.173441209,424,165,31515.1866340632,10046.5255490243,33.5500922594848,13.056050053809,589,159070.360075272,10093.1316913376
"Utah",2030,42155.7842284003,8196.05352254624,108157.297477701,126132.948594584,626,235,31515.1866340632,9980.5944865782,49.5338626283903,18.5949803796673,861,158509.135228647,10048.7233295863
"Utah",2031,50705.4536482129,10575.6705218057,102898.688192317,125302.619362017,899,322,37656.1930003183,9914.89254705371,71.1356908992379,25.4790794989484,1221,164179.812362335,10011.5073174519
"Utah",2032,56824.0165310596,12456.8663920572,94558.6367358462,124482.326658644,1271,430,37656.1930003187,9849.9847737567,100.571149202371,34.024857715987,1701,163839.519658963,9984.58078067506
"Utah",2033,66224.1525771177,13678.2059890204,83728.4069662692,123666.572532089,1755,553,37656.1930003183,9785.43612704211,138.868896026877,43.7575495742809,2308,163630.765532407,9968.06257264327
"Utah",2034,71462.8717164343,14102.0418470827,78039.2096044497,122852.930167648,2396,699,37656.1930003187,9721.0545789449,189.589672296523,55.3101756824997,3095,163604.123167967,9965.95442692392
"Utah",2035,76388.5999597649,14277.5376272579,73156.3833284505,122065.327915155,3224,877,37656.1930003183,9658.73352178707,255.107305293818,69.3948842253967,4101,163822.520915473,9983.23571130628
"Utah",2036,81104.8935981507,14370.821447356,68846.9465144931,121304.468559681,4282,1080,37656.1930003183,9598.52856524785,338.824280790363,85.4577821703859,5362,164322.66156,10022.8106282086
"Utah",2037,84983.5051280173,14303.6032785387,65847.6476862552,120556.563092492,5600,1322,37656.1930003187,9539.34861848945,443.114426068667,104.606655582639,6922,165134.756092811,10087.0697001408
"Utah",2038,88575.7266281283,14182.2066269618,63510.3390321742,119795.079286946,7193,1624,37656.1930003183,9479.09425072957,569.164654769987,128.503183559914,8817,166268.272287264,10176.7620890595
"Utah",2039,91960.2324190793,14050.9849855826,61674.5968682431,118976.621272586,9077,1976,37656.1930003187,9414.33165192702,718.24100811166,156.356090341373,11053,167685.814272905,10288.92875038
"Utah",2040,95068.5249931969,13914.9549093632,60226.8466921218,117936.133594364,11239,2379,37656.1930003183,9332.0003840043,889.314827604599,188.2445035031,13618,169210.326594682,10409.559715112
"Utah",2041,98644.5488558034,13884.1928418848,59553.5191889891,116840.2348946,13682,2844,38716.0259920776,9245.28457625872,1082.62349597705,225.038826382016,16526,172082.260886677,10552.9468986178
"Utah",2042,101567.499718086,13792.0466104327,58677.0698840947,115512.590220535,16438,3370,38716.0259920783,9140.23127129955,1300.69909566371,266.659931402037,19808,174036.616212613,10707.5902983653
"Utah",2043,104320.319700137,13713.8312305032,58130.419791776,113899.544730338,19578,3971,38716.0259920776,9012.59489154755,1549.15968456649,314.215604628335,23549,176164.570722416,10875.9701807424
"Utah",2044,107175.324587389,13653.5517781424,57631.4734931715,111966.323866625,23130,4648,38716.0259920776,8859.62381056755,1830.22083481576,367.784973636994,27778,178460.349858703,11057.6296190203
"Utah",2045,109978.724832774,13615.5092412687,57317.394071214,109700.602153178,27084,5411,38716.0259920783,8680.34274330227,2143.09127065068,428.15931418885,32495,180911.628145256,11251.5933281418
"Utah",2046,112863.386682695,13577.012055487,57035.040349588,107113.413095693,31407,6239,38716.0259920776,8475.62474431321,2485.15978206047,493.676947186146,37646,183475.43908777,11454.4614735598
"Utah",2047,115632.129895719,13552.8332718678,56830.1553792063,104229.092554716,35967,7103,38716.0259920776,8247.39545125729,2845.9815290021,562.043172922454,43070,186015.118546793,11655.4201531818
"Utah",2048,118327.172381197,13523.6941269199,56567.3665969083,101103.207112947,40643,7956,38716.0259920776,8000.05171313487,3215.98207476944,629.538995321842,48599,188418.233105025,11845.5727832262
"Utah",2049,120856.337116982,13491.1478960226,56182.7385106605,97793.1975315872,45289,8732,38716.0259920783,7738.13867814805,3583.60879325426,690.941994362786,54021,190530.223523665,12012.6894657651
"Utah",2050,123048.798796411,13411.5190473193,55771.4551678461,94372.7470194986,49749,9394,38716.0259920776,7467.48672001226,3936.51778258752,743.32444973019,59143,192231.773011576,12147.32895233
"Vermont",2020,553.061733241731,277.423956931359,23234,20308.0730205588,0,1,0,1347.10552168718,0,0.0663334980292541,1,24064.4856901731,1347.17185518521
"Vermont",2021,1130.86468646865,725.33604473818,23747,21066.9447149165,0,1,0,1620.33876027457,0,0.0769137994237619,1,25603.2007312068,1620.41567407399
"Vermont",2022,1716.50513859886,785.255630185697,22105,21839.853586447,0,4,0,1691.60994031164,0,0.309820747399403,4,24606.7607687846,1691.91976105904
"Vermont",2023,2541.93706234708,1255.65697674419,23239,22607.2980678379,2,6,0,1902.21750054345,0.168283489237453,0.504850467712359,8,27036.5940390913,1902.8906345004
"Vermont",2024,2772.86391630811,1408.86191860465,22819,23370.0378560598,4,10,0,2123.86513746077,0.363519331982607,0.908798329956517,14,27000.7258349128,2125.13745512271
"Vermont",2025,2511.66869269131,501.33107638549,22201.4467177314,24114.9058237611,11,19,1069.54066304718,1908.15404532069,0.870403336920597,1.50342394559012,30,25214.4464868082,1910.5278726032
"Vermont",2026,3374.2449430402,678.948299093131,21900.5662665965,24836.2188456827,19,29,1069.54066304718,1965.22979634295,1.50342394559012,2.29469970642703,48,25953.7595087299,1969.02791999496
"Vermont",2027,3941.3082391298,876.425922136077,21850.6546123033,25523.848110522,29,46,1069.54066304718,2019.64023331389,2.29469970642703,3.63986849984977,75,26668.3887735692,2025.57480152017
"Vermont",2028,5056.63617638714,947.124404496438,21354.0737585205,26168.293676357,52,68,1069.54066304709,2070.6336488563,4.11463395635191,5.38067517369096,120,27357.8343394041,2080.12895798634
"Vermont",2029,6194.60513029228,1259.41688978951,20541.7097420271,26755.1910990617,77,94,1069.54066304718,2117.07341932469,6.09282335844418,7.43799215186692,171,27995.7317621089,2130.604234835
"Vermont",2030,7396.60763546978,1449.18719969019,19735.2449651571,27268.4991372699,110,133,1069.54066304718,2157.69024017238,8.70403336920597,10.5239676191309,243,28581.0398003171,2176.91824116071
"Vermont",2031,8224.89479673102,1731.2815120623,17443.5765641323,27692.3393635268,161,178,-631.586490601213,2191.22768992285,12.7395397494742,14.0847085428969,339,27399.7528729256,2218.05193821522
"Vermont",2032,9420.07153346383,2083.64145498483,16332.8896261772,28005.189105227,235,228,-631.586490601213,2215.982731662,18.5949803796673,18.0410873470815,463,27836.6026146258,2252.61879938875
"Vermont",2033,11239.1656588751,2340.0491933821,14589.3272033868,28197.1285462452,326,277,-631.586490601213,2231.17043438462,25.7955898032831,21.9183385751823,603,28168.542055644,2278.88436276308
"Vermont",2034,12282.6298888816,2439.97472689368,13676.1384309369,28255.3295373134,447,328,-631.586490601213,2235.77573773352,35.3700265094097,25.9538449554505,775,28398.7430467122,2297.09960919838
"Vermont",2035,13165.1356074572,2477.29612706659,12893.1396925371,28177.1579176621,607,383,-631.586490601213,2229.59020695198,48.0304386828002,30.3058616400535,990,28535.5714270609,2307.92650727483
"Vermont",2036,13907.8576185604,2482.78650912374,12187.9830239104,27963.2136421957,810,437,-631.586490601213,2212.66131501734,64.0933366277894,34.5787507485728,1247,28578.6271515945,2311.3334023937
"Vermont",2037,14480.5872187664,2456.52818889786,11588.6915205579,27619.3934188233,1044,494,-631.586490601213,2185.45565413333,82.609189431373,39.0890225853432,1538,28525.8069282221,2307.15386615004
"Vermont",2038,14944.5579733876,2410.66532845801,11055.6298324624,27156.4396249092,1331,555,-631.586490601213,2148.82324258215,105.318803767392,43.9158047264483,1886,28410.853134308,2298.05785107599
"Vermont",2039,15285.9641617525,2354.26539805668,10582.5905735209,26588.4066239313,1657,609,-631.586490601213,2103.87616807923,131.114393570675,48.1886938349676,2266,28222.8201333301,2283.17925548487
"Vermont",2040,15516.3811352399,2289.13571867621,10166.6049767371,25918.7083212544,2024,661,-631.586490601213,2050.88456468104,160.15421399339,52.3033277913195,2685,27972.1218306532,2263.34210646575
"Vermont",2041,15343.2300110348,2177.59127602912,9579.44861786803,25189.7780998244,2429,712,-1230.50819489249,1993.20608312514,192.200882307284,56.3388341715877,3141,27100.269904932,2241.74579960401
"Vermont",2042,15466.1988986082,2116.32630210306,9220.28005004583,24402.3134456496,2878,753,-1230.50819489249,1930.8959137887,227.729163968862,59.583064791019,3631,26802.8052507571,2218.20814254858
"Vermont",2043,15543.5656392464,2057.72135242371,8913.65336416037,23570.448550723,3377,798,-1230.50819489249,1865.07246102405,267.213824434623,63.1438057147851,4175,26514.9403558305,2195.43009117345
"Vermont",2044,15630.474041035,2006.52097828881,8651.67359460786,22706.1768088241,3949,864,-1230.50819489249,1796.68473300996,312.474797954494,68.3662257363087,4813,26288.6686139317,2177.52575670077
"Vermont",2045,15710.8693592063,1961.00173264461,8458.81982810921,21820.1991148527,4594,947,-1230.50819489249,1726.57946562178,363.512084528475,74.933814551255,5541,26130.6909199602,2165.02536470151
"Vermont",2046,15839.0348596994,1922.27876006905,8296.7448716024,20922.5666862633,5303,1063,-1230.5081948924,1655.55198733339,419.613535971811,84.1126133769631,6366,26058.0584913709,2159.27813668216
"Vermont",2047,15979.177903494,1891.4767743607,8165.09832147197,20021.2611942192,6055,1190,-1230.50819489249,1584.23386843702,479.117473186747,94.1618155395918,7245,26035.7529993267,2157.51315716336
"Vermont",2048,16156.3008742736,1864.10331119003,8039.36112923453,19125.2735095907,6835,1330,-1230.50819489249,1513.33653475153,540.836982532025,105.239676191308,8165,26059.7653146982,2159.41319347486
"Vermont",2049,16329.2712382394,1840.96990416314,7915.29184331717,18242.0411806122,7608,1466,-1230.50819489249,1443.44850144071,602.002598844718,116.00102653869,9074,26085.5329857197,2161.45212682412
"Vermont",2050,16485.0756808365,1814.77102089631,7778.52153747053,17378.8764340959,8352,1578,-1230.50819489249,1375.14836728798,660.873515450984,124.863315060064,9930,26078.3682392034,2160.88519779903
"Virginia",2020,5153.52978702522,1350.93405114401,307034,369028.972086258,5,6,0,24478.9825926215,0.33166749014627,0.398000988175525,11,313538.463838169,24479.7122610998
"Virginia",2021,10211.0429042904,3581.34672089476,307697,368189.562831496,13,10,0,28318.8581855443,0.999879392508905,0.769137994237619,23,321489.389625185,28320.627202931
"Virginia",2022,18330.9794046595,4057.15408929277,291225,367205.149176759,25,19,0,28441.9434417132,1.93637967124627,1.47164855014716,44,313613.133493952,28445.3514699346
"Virginia",2023,27668.0072555471,5903.79069767442,310542,366016.834494749,43,27,0,30797.2950142119,3.61809501860524,2.27182710470562,70,344113.797953222,30803.1849363352
"Virginia",2024,30181.5572428921,6624.12270501836,304934,364790.751763081,74,49,0,33152.1225985871,6.72510764167823,4.45311181678693,123,341739.67994791,33163.3008180456
"Virginia",2025,37476.5094473963,7954.23528269728,357651.889446705,363480.374865588,117,75,39410.2593112105,28761.3210171052,9.2579264017918,5.9345682062768,192,403082.634176798,28776.5135117132
"Virginia",2026,49653.6997774887,10520.5024218742,341940.142647592,362391.085535743,195,118,39410.259311212,28675.1281927807,15.4298773363197,9.33705397787549,313,402114.344846955,28699.8951240949
"Virginia",2027,64271.7039957182,15001.593920841,321913.790984435,361288.829589784,309,179,39410.2593112105,28587.9093515531,24.4504210098604,14.1638361189806,488,401187.088900994,28626.523608682
"Virginia",2028,80380.4240278734,15744.943424542,304185.168157172,360143.276298377,488,269,39410.2593112105,28497.2644963295,38.614257128841,21.2853179665128,757,400310.535609588,28557.1640714248
"Virginia",2029,95952.8293696997,20339.4505117732,283181.03471782,358918.055288081,750,395,39410.259311212,28400.3157276179,59.345682062768,31.2553925530578,1145,399473.314599293,28490.9168022337
"Virginia",2030,112138.643729499,22851.1313280608,263642.388831204,357531.904577553,1132,558,39410.2593112105,28290.6329818071,89.5724161267377,44.1531874546993,1690,398632.163888764,28424.3585853886
"Virginia",2031,125815.29509825,27471.7993697901,231949.235475055,355910.187183147,1672,760,26894.1427599474,28162.310415295,132.301307211931,60.1369578236049,2432,385236.329943095,28354.7486803306
"Virginia",2032,141585.402792412,32433.8425292052,210235.341174539,353924.443736209,2427,1009,26894.1427599474,28005.1833496148,192.042627155117,79.8397242684438,3436,384254.586496157,28277.0657010383
"Virginia",2033,166568.765967212,35812.638321112,180819.081176897,351540.342705272,3464,1302,26894.1427599489,27816.5352138981,274.097923553904,103.024104060965,4766,383200.485465221,28193.6572415129
"Virginia",2034,179752.763223901,36818.4916109698,165510.107800135,348673.219875058,4876,1638,26894.1427599474,27589.666734009,385.826060984075,129.610969625085,6514,382081.362635006,28105.1037646182
"Virginia",2035,191300.629584151,37054.972590841,152681.655806097,345337.115221141,6771,2035,26894.1427599474,27325.6888591831,535.772817662669,161.02461733031,8806,381037.257981089,28022.4862941761
"Virginia",2036,201339.377828374,36938.0494056313,141909.717086794,341516.001560852,9261,2516,26894.1427599474,27023.3333973041,732.800482111059,199.084981426566,11777,380187.1443208,27955.2188608418
"Virginia",2037,209963.230122827,36523.679799842,133156.82807519,337192.595237911,12445,3112,26894.1427599474,26681.2327345449,984.74268436153,246.245016772445,15557,379643.737997858,27912.2204356789
"Virginia",2038,217601.237665108,35947.0852922201,125995.244402668,332341.424600048,16439,3869,26894.1427599489,26297.3713608024,1300.77822323979,306.144591867799,20308,379543.567359997,27904.29417591
"Virginia",2039,224479.699825956,35337.0555079715,120100.638283498,326922.250857478,21297,4804,26894.1427599474,25868.5652781765,1685.17998785436,380.12887550605,26101,379917.393617425,27933.8741415369
"Virginia",2040,230361.611322216,34689.4036030788,115383.232135282,320538.10430063,27068,5934,26894.1427599474,25363.40323577,2141.82522943334,469.54303648062,33002,380434.247060577,27974.771501684
"Virginia",2041,230831.226379637,33394.0427566257,109432.750630873,313843.651269437,33755,7279,18780.3684976995,24833.6873942056,2670.95133070498,575.969626313184,41034,373658.019767136,28080.6083512238
"Virginia",2042,236230.355580579,32916.7833494778,106230.211499049,306387.981931406,41384,8825,18780.3684976995,24243.7383514057,3274.61560864745,698.30085893857,50209,375377.350429105,28216.6548189918
"Virginia",2043,241294.079819557,32500.150662374,103719.206879009,298128.06886324,50017,10588,18780.3684976995,23590.1514516598,3957.72397297795,837.802775574116,60605,377513.43736094,28385.6782002119
"Virginia",2044,246493.773509078,32138.0516791858,101282.663388511,289046.120079076,59554,12534,18780.3684976995,22871.5188582527,4712.36366608811,991.785038632978,72088,379914.488576775,28575.6675629737
"Virginia",2045,251251.236726697,31806.5093494916,99391.9478455778,279174.325424066,69871,14624,18780.3684976995,22090.3876756058,5528.72286854355,1157.16167264789,84495,382449.693921766,28776.2722167973
"Virginia",2046,255821.206701175,31459.6233622791,97692.1057712734,268590.56733703,80793,16809,18780.368497698,21252.9205523225,6392.95425452962,1330.05542639076,97602,384972.935834728,28975.9302332428
"Virginia",2047,260066.112082953,31136.8013644649,95986.8913632594,257397.436312978,92009,19003,18780.3684976995,20367.235225602,7280.44914788429,1503.66132831837,111012,387189.804810677,29151.3457018047
"Virginia",2048,263989.07620807,30793.3452216409,94113.7251165588,245763.778048571,103252,21100,18780.3684976995,19446.6920461535,8170.08048579322,1669.59185536587,124352,388896.14654627,29286.3643873126
"Virginia",2049,267367.744103889,30437.7269136487,92053.4519292722,233859.554449111,114237,22982,18780.3684976995,18504.73968757,9039.29690907256,1818.50995355538,137219,389858.92294681,29362.5465501979
"Virginia",2050,269883.997824366,29976.7725039897,89977.3155094445,221882.7173401,124652,24523,18780.3684976995,17557.0415979848,9863.4106139842,1940.44554830034,149175,389838.0858378,29360.8977602694
"Washington",2020,12695.280694867,2219.39165545087,266179,391330.381656511,31,10,0,25958.3131003994,2.05633843890688,0.663334980292541,41,281093.672350318,25961.0327738186
"Washington",2021,22218.1650165017,5508.02058973056,271448,378492.052835695,53,18,0,29111.2618352926,4.07643136945938,1.38444838962771,71,299174.185606232,29116.7227150517
"Washington",2022,33714.7518732342,5870.72066376926,252030,366076.712186008,89,26,0,28354.5401437463,6.89351162963672,2.01383485809612,115,291615.472537004,28363.447490234
"Washington",2023,49567.7727157682,9075.97674418605,265118,354180.456688289,142,48,0,29801.3615356099,11.9481277358592,4.03880374169887,190,323761.749459954,29817.3484670875
"Washington",2024,54070.8463680081,10183.3528151775,260330,343102.382945579,238,75,0,31181.0872625044,21.6294002529651,6.81598747467388,313,324584.199183186,31209.532650232
