"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Nebraska","SUV",2042,43442.2605620221,7769,1757,9526,2155.95034570063,31695.3885249212,4479.82707090988,18948.9953118917,55124.2109077228,3418.15947470851,611.286811861393,138.245710959
"Nebraska","SUV",2043,42540.3474524174,9470,2090,11560,2155.95034570086,32822.6335414199,4485.18628479183,18948.4779719066,56256.2977981183,3347.19440979073,745.126285020902,164.447089302396
"Nebraska","SUV",2044,41551.0841030998,11253,2465,13718,2155.95034570086,34001.9545223462,4496.10025147638,18926.9796749781,57425.0344488007,3269.35638187263,885.417749243951,193.953145995409
"Nebraska","SUV",2045,40478.0625965849,13175,2859,16034,2155.95034570063,35197.3039613571,4515.12926382114,18955.5797171073,58668.0129422855,3184.9280261285,1036.64612514788,224.954176227535
"Nebraska","SUV",2046,39324.5670703325,15128,3250,18378,2155.95034570086,36349.6310727224,4525.58543705582,18983.3009062551,59858.5174160334,3094.16774774785,1190.31366840509,255.719158006117
"Nebraska","SUV",2047,38093.5539605739,17093,3611,20704,2155.95034570086,37421.7476464562,4534.14793493637,18997.6087248821,60953.5043062747,2997.30816746417,1344.92540547648,284.123655249258
"Nebraska","SUV",2048,36800.4482868319,19019,3921,22940,2155.95034570086,38413.8346218322,4532.15282583202,18950.4111848686,61896.3986325328,2895.56296927887,1496.4685126518,308.51532878215
"Nebraska","SUV",2049,35457.2316929666,20861,4169,25030,2155.95034570063,39285.6510335816,4519.54469812368,18837.9863069619,62643.1820386672,2789.8749026933,1641.40226312788,328.028667608463
"Nebraska","SUV",2050,34085.2473465312,22587,4349,26936,2155.95034570086,39989.2916922041,4487.56007301972,18700.3459270082,63177.197692232,2681.92330827237,1777.20880673359,342.191574821109
"Nevada","Car",2020,57538.385695056,4,1,5,0,1532.01921855283,273.947967462905,41826,43631.9671860157,3789.81798175347,0.263463629434366,0.0658659073585916
"Nevada","Car",2021,56833.3285176128,6,1,7,0,2494.25423217611,408.373371545726,43952,46854.6276037218,4345.04870900048,0.45871485858731,0.0764524764312183
"Nevada","Car",2022,56260.5586465663,12,5,17,0,4081.47207991891,274.990024496071,42065,46421.462104415,4334.23143944205,0.924462510229249,0.38519271259552
"Nevada","Car",2023,55792.6482961895,18,6,24,0,4485.92917079809,182.169162151962,44924,49592.0983329501,4671.14510297574,1.50701955223921,0.502339850746404
