"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"OK",149730.325143441,100280.80917769,157268.472365325,104336.250579426,"US",0,0,0,0,0,0,0,0,45359,0,63243.9252663691,65114.567532591,87113.1806631506,90369.1772637851
2050,"ON",794256.009560969,534269.528091984,833687.217443037,555390.012107739,"CA",24517.7608203782,21684.7511938926,774702.128929961,512557.678351363,62880.8561759446,57602.7121050456,1551601.96187093,1026569.39951934,68000,32500,346808.092485105,357612.938353669,485723.576521294,504525.429598495
2050,"OR",216384.117025292,140453.4326151,227967.108070324,146688.661778979,"US",0,0,0,0,0,0,0,0,0,0,89739.51477621,92792.2098449381,128563.126317537,133845.605122945
2050,"PA",369907.410728118,259773.529219891,386877.585986107,268987.027741351,"US",0,0,0,0,24.938583185927,22.8452682569586,615.366217172606,407.138005475091,15000,20000,171954.324819638,176309.952790562,226223.476006036,233709.804797257
2050,"PE",9156.65233962564,6181.9924589447,9608.71895099492,6424.55519394475,"CA",0,0,0,0,0,0,0,0,0,0,3947.78778843462,4071.28262672205,5528.87086494149,5743.29473791816
2050,"QC",414893.669833403,278229.297585174,435874.190045358,289584.611253846,"CA",1735.37690017196,1534.85534766209,54833.7260041171,36279.0371246881,71.2530948169344,65.2721950198817,1758.18919192173,1163.25144421455,0,0,192307.758709291,198540.930830127,270269.964174438,280992.082920402
2050,"RI",48605.6688139042,31686.499413819,51222.9623392773,33112.1839094383,"US",0,0,0,0,0,0,0,0,0,0,21919.7894228911,22684.9921446508,31374.1578954236,32681.8531966021
2050,"SC",208654.664418797,141699.141253479,218926.534969505,147255.366248012,"US",2068.56926500498,1829.54757441321,65361.8013969075,43244.6122526283,2493.8583185927,2284.52682569586,61536.6217172606,40713.8005475091,21840,56445.69026,84263.9368036588,86634.7163186208,114203.789563349,118307.004706683
2050,"SD",34675.4449317304,23306.8641074518,36384.0222028305,24214.7576543481,"US",0,0,0,0,0,0,0,0,0,0,14004.7838120995,14394.432693314,19138.8793579586,19825.5296977975
2050,"SK",72145.671865547,46552.2008148618,75947.8932838242,48551.8862761089,"CA",0,0,0,0,0,0,0,0,0,0,29718.3972903359,30718.8336973046,43161.9093075016,44937.1094316809
2050,"TN",262878.586764745,179306.703667947,275675.802380353,186217.991424049,"US",63237.1342422663,55930.1288688065,1998140.97559003,1322008.11282364,34201.4855121285,31330.6536095432,843930.812122431,558360.693222982,0,0,108813.3197177,111816.215871107,146859.260198404,152062.944801243
2050,"TX",1325356.91266604,901005.410039774,1390131.58894626,935893.212422016,"US",36442.9149036112,32231.9623009039,1151508.24608646,761859.779618451,3562.65474084672,3263.60975099408,87909.4595960865,58162.5722107273,49000,363403.181704,519949.157682857,534623.453551639,707236.024699599,732749.64783378
2050,"UT",160219.401772401,108696.825798801,168108.407869313,112957.121448142,"US",0,0,0,0,0,0,0,0,0,0,60751.8261028885,62479.0165187907,82687.1907758485,85685.4824242641
2050,"VA",349091.643744748,234612.203292591,366718.461305463,244176.288473355,"US",694.150760068785,613.942139064836,21933.4904016468,14511.6148498753,0,0,0,0,0,0,143722.975974632,147973.048857648,196949.663557546,204279.616302665
2050,"VT",31681.3901203537,19931.3793738708,33458.6089820201,20881.0505838693,"US",0,0,0,0,0,0,0,0,0,0,13961.3857085236,14479.6868379431,20677.3637397271,21581.246070987
2050,"WA",471529.852161822,302583.491678614,497418.175660047,316573.003601916,"US",0,0,0,0,0,0,0,0,0,0,187564.79868692,194263.601310415,272136.374141042,283693.764448397
2050,"WI",192417.118482822,131245.379266967,201710.65144258,136230.615815023,"US",0,0,0,0,0,0,0,0,0,0,84416.6786420017,86714.0036979513,114039.775856155,118050.337075124
2050,"WV",44694.2009452826,30945.6858416296,46767.6687637257,32050.8522998927,"US",0,0,0,0,5343.98211127008,4895.41462649113,131864.18939413,87243.858316091,0,0,21724.7711279286,22280.7490331561,28985.1476761005,29960.0226747219
2050,"WY",18866.6380113841,12650.2373177741,19792.6759134116,13138.4570844128,"US",0,0,0,0,0,0,0,0,0,0,8186.05776135577,8413.25708001906,11229.5072824022,11632.4141542422
2050,"YT",2904.88713205513,1843.2710546667,3062.34964287855,1925.96445159134,"CA",0,0,0,0,0,0,0,0,0,0,1177.48026394271,1220.05868945352,1751.34254272521,1826.96353776594
