"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2038,"GA",40475.3073578916,34140.8129915596,1030233.11302119,698959.597364595,46028.8381873952,40914.8816572183,894114.139474202,606609.951695491
2039,"GA",41054.7092285254,34938.602240042,1076919.00088611,728460.36835262,46496.600223095,41558.9519335558,934631.680530055,632212.949825139
2040,"GA",41626.9351833745,35765.3659750111,1127374.19329502,761780.313528747,46958.5690069163,42226.4138581935,978420.508876288,661130.515890468
2041,"GA",41858.4771204768,36082.6836291186,1149159.58027815,775392.655421461,47145.4971708353,42482.5903729267,997327.513795219,672944.334727975
2042,"GA",42185.2382770713,36505.7929151907,1181376.67271021,794318.537216832,47409.2976028723,42824.1744633613,1025287.94091815,689369.644981918
2043,"GA",42498.43607623,36915.8153699884,1213998.81988065,813561.86184207,47662.1480811611,43155.193308587,1053599.9051488,706070.456109471
2044,"GA",42790.4626714767,37297.7448954044,1246081.77768097,832344.832839829,47897.9066480461,43463.5322031559,1081443.92010315,722371.737574965
2045,"GA",43044.2923829178,37627.5120279043,1275378.2406202,849274.400779848,48102.8281516907,43729.7594161201,1106869.60427062,737064.495824571
2046,"GA",43269.3967856387,37920.6144766194,1302536.3817242,864910.405311896,48284.559172936,43966.3865397599,1130439.49117875,750634.602007617
2047,"GA",43464.7516922571,38180.0765327661,1327060.42476025,879240.190978737,48442.2728660309,44175.8551412976,1151723.30875214,763071.07276207
2048,"GA",43645.9048671522,38437.2347009739,1350641.51763035,893919.082090899,48588.5212337998,44383.4637707384,1172188.76292258,775810.523600237
2049,"GA",43790.6103439741,38643.9025636559,1370088.89291519,906075.985373874,48705.3446888934,44550.3106261966,1189066.66463052,786361.202839864
2050,"GA",43918.224438792,38843.5051964931,1387710.00422179,918135.359936757,48808.3699496,44711.453588619,1204359.59646639,796827.239286964
2025,"IL",0,0,0,0,17943.2697502934,17464.1952752858,168570.246615936,160835.287310705
2026,"IL",2127.44646787412,2127.44646787412,40421.4828896083,40421.4828896083,18752.9119088004,18035.7039705179,215095.533633968,195996.085029235
2027,"IL",2127.44646787412,2127.44646787412,40421.4828896083,40421.4828896083,12160.4043101273,12160.4043101273,122145.365191364,122145.365191364
2028,"IL",2127.44646787412,2127.44646787412,40421.4828896083,40421.4828896083,13179.6397377624,11379.8881709072,148247.143744774,124315.857820312
2029,"IL",2127.44646787412,2127.44646787412,40421.4828896083,40421.4828896083,22247.1275391516,22247.1275391516,219503.257563533,219503.257563533
2030,"IL",2127.44646787412,2127.44646787412,40421.4828896083,40421.4828896083,23780.5144283463,21530.3279773067,245921.952939554,220220.057125378
2031,"IL",2127.44646787412,2127.44646787412,40421.4828896083,40421.4828896083,25789.3044497057,20813.5284154619,290348.998645519,220936.856687223
2032,"IL",2411.28827071805,2127.44646787412,46644.7837928005,40421.4828896083,26946.4777648721,22225.2604012435,336266.337567664,247910.981451947
2033,"IL",2690.46925563996,2127.44646787412,54968.8310738043,40421.4828896083,27888.2409774526,23602.3295069503,396401.332933186,284315.714548049
2034,"IL",2880.62113763946,2292.27262899748,62574.623970363,43816.1883396083,28103.505553888,24155.0919186705,451438.521570185,316107.617270573
2035,"IL",3037.70549609179,2477.74549412367,70650.2040671758,48389.0863445297,29157.7004973309,25399.8024582068,509699.006546546,349098.343920576
2036,"IL",3097.46420261894,2559.46070241765,74297.9144532131,50721.3082948173,29558.7418668746,25948.1941646417,536015.057356037,365923.931713321
2037,"IL",3150.41487409484,2631.81642678862,77859.8905540935,52982.4321435429,29914.0944345762,26433.7742663943,561712.58652715,382236.589186728
2038,"IL",3198.66817540119,2698.06801052329,81416.8955587405,55237.1301399259,30237.922896829,26878.3894098515,587374.25220933,398502.88797514
2039,"IL",3244.45694009115,2761.11541513553,85106.3712786763,57568.5065634529,30545.2118253909,27301.5012702191,613991.614946752,415322.375797537
2040,"IL",3289.67860906404,2826.45260514716,89093.7262557505,60201.703324594,30848.6949680472,27739.9799068425,642757.998531868,434319.317008337
2041,"IL",3307.97682281029,2851.52947170958,90815.37405982,61277.4546319256,30971.4944917896,27908.271047908,655178.658697589,442080.21989429
2042,"IL",3333.79998712413,2884.9668016873,93361.4149670624,62773.1224783727,31144.7940456826,28132.6693554928,673546.822500973,452870.569696151
2043,"IL",3358.55127125685,2917.36991022368,95939.4663959163,64293.8770837274,31310.9001993029,28350.1269910425,692145.923090453,463841.905473375
2044,"IL",3381.62944502653,2947.55290074162,98474.906959251,65778.2510265556,31465.7780899573,28552.6853889346,710437.611746593,474550.776509101
2045,"IL",3401.68900906588,2973.6136202488,100790.137399058,67116.1548925894,31600.3980558552,28727.579178473,727140.615944201,484202.953461397
