"Year","State_Province","Mineral","Available Recycled Minerals (w Scrap) (Tonne)","Available Recycled Minerals No R Restraint (Tonne)","Minerals Recoverable in Exported Scrap/Batts (Tonne)","Minerals Recoverable in Exported BM (Tonne)","Minerals Lost to Pyrometalurgy (Tonne)","Scrap_min","Batt_min","Battery_Scenario","Chemistry_Scenario","Scenario","Country"
2025,"IL","Lithium",0,1.6454623671489,0,0,1.6454623671489,0.00882404562559042,1.63663832152331,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IL","Manganese",0,1.19270412725377,0,0,1.19270412725377,0.0131201831018811,1.17958394415189,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IL","Nickel",11.3423777612732,11.3423777612732,0,0,0,0.0581428504646009,11.2842349108086,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IN","Cobalt",0.828492017722102,0.828492017722102,0,0,0,0.0141576444915308,0.814334373230571,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IN","Copper",1.95284789464483,2.06133944434732,0,0,0.108491549702491,0.0349744967488428,2.02636494759848,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IN","Graphite",0,4.59390928022778,0,0,4.59390928022778,0,4.59390928022778,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IN","Lithium",0,0.488154979795445,0,0,0.488154979795445,0.00882404562559042,0.479330934169855,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IN","Manganese",0,0.398513762420582,0,0,0.398513762420582,0.0131201831018811,0.3853935793187,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"IN","Nickel",3.29682416460346,3.29682416460346,0,0,0,0.0581428504646009,3.23868131413886,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
2025,"KS","Cobalt",0.501396861683193,0.501396861683193,0,0,0,0.0141576444915308,0.487239217191663,"15% Lower Capacity","Benchmark Chemistry","Decreasing Batt Cap - Benchmark Chemistry","US"
