"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2025,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2026,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2026,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2027,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2027,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2028,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2028,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2029,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2029,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2030,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2030,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2031,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2031,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2032,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2032,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2033,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2033,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2034,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2034,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2035,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0.174891350721682,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
