"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2029,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0136652067269525
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0183370807841609
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0183370807841609
2031,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0247898163536913
2031,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0247898163536913
2032,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0334603306427846
2032,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0334603306427846
2033,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0420915586125946
2033,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0420915586125946
2034,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0531315955830837
2034,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0531315955830837
2035,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.06794187473662
2035,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.06794187473662
2036,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0767072306615379
2036,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.0904676387882321
2037,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0738880567946776
2037,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.120237201468525
2038,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0715668553625129
2038,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.156280505774635
2039,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0709867937887072
2039,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.21033510563933
2040,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0664372642428191
2040,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.252006914906299
2041,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0627510493063965
2041,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.297499499440099
2042,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0593151744833537
2042,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.340481717912173
2043,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0560316496566558
2043,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.382438163200879
2044,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.053176014422284
2044,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.424090975153433
2045,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0507406994221983
2045,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.465282688312047
2046,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0486821623096315
2046,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.505828504751688
2047,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0469705764576304
2047,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.546341712253248
2048,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.045476852225642
2048,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.584975655511896
2049,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0441795850390879
2049,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.621744208091943
2050,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.0430239681082671
2050,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",0.654533959301783
2026,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",0.00541592101595985
