"Year","Scenario","Mineral","Recycling Scenario","Tonne"
2029,"Increasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",409.279818079403
2029,"Increasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3843.49811871494
2029,"Increasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",3843.49811871494
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",869.69240721444
2029,"Increasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",869.69240721444
2029,"Increasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",4095.85186495654
2029,"Increasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",4323.39919078746
2029,"Increasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",8675.71366639641
2029,"Increasing Batt Cap - High LFP Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - High LFP Chemistry","Lithium","All Material is Recycled in NA",826.921087634525
2029,"Increasing Batt Cap - High LFP Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2029,"Increasing Batt Cap - High LFP Chemistry","Manganese","All Material is Recycled in NA",406.814400734054
2029,"Increasing Batt Cap - High LFP Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",3820.54136970458
2029,"Increasing Batt Cap - High LFP Chemistry","Nickel","All Material is Recycled in NA",3820.54136970458
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",1272.54277067121
2030,"Decreasing Batt Cap - Benchmark Chemistry","Cobalt","All Material is Recycled in NA",1272.54277067121
2030,"Decreasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",6497.2464817228
2030,"Decreasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",6858.20461959629
2030,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - Benchmark Chemistry","Graphite","All Material is Recycled in NA",13664.4901782449
2030,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - Benchmark Chemistry","Lithium","All Material is Recycled in NA",1290.45636545564
2030,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - Benchmark Chemistry","Manganese","All Material is Recycled in NA",592.49471083989
2030,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","Recycling Limited to NA 2025 Online or Planned",5758.96170214689
2030,"Decreasing Batt Cap - Benchmark Chemistry","Nickel","All Material is Recycled in NA",5758.96170214689
2030,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","Recycling Limited to NA 2025 Online or Planned",1264.18530399435
2030,"Decreasing Batt Cap - High LFP Chemistry","Cobalt","All Material is Recycled in NA",1264.18530399435
2030,"Decreasing Batt Cap - High LFP Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",6507.75488506714
2030,"Decreasing Batt Cap - High LFP Chemistry","Copper","All Material is Recycled in NA",6869.29682312643
2030,"Decreasing Batt Cap - High LFP Chemistry","Graphite","Recycling Limited to NA 2025 Online or Planned",0
2030,"Decreasing Batt Cap - High LFP Chemistry","Graphite","All Material is Recycled in NA",13668.2424532921
