Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,ME,39854.03273843968,21876.36518148843,42056.52748778988,23053.202076420108,0,0,0,0,0,0,0,0,0,0,12907.302587401005,13438.077364153101,21705.71074807682,22631.81598191845,US
2050,MI,261036.91908112657,143750.1602889659,275022.200266528,151225.5776364828,68827.33317789894,54492.09563726066,2013733.7727911836,1110731.094470961,56540.435448354845,48043.24043942043,1283172.7428823824,707769.7580259275,22680,0,84505.15176520761,87845.77139018736,141800.65415040363,147632.69149577915,US
2050,MN,186322.77602081982,102511.78447889375,196559.3499747141,107993.98617535717,0,0,0,0,0,0,0,0,0,0,56429.22348173169,58724.54822445077,94778.16716162089,98777.79852331267,US
2050,MO,168638.43250067995,93278.98231029928,177769.43454453623,98195.17101475042,0,0,0,0,70.00611087519948,59.48522310334977,1588.7732840740207,876.3322701986351,0,206085.3314,54536.31851889943,56723.544637827545,91036.34024535303,94823.02704703725,US
2050,MS,73235.71935457278,40630.50120284528,77174.82378598425,42758.23243314794,0,0,0,0,7350.641641895945,6245.948425851725,166821.19482777218,92014.8883708567,0,0,24455.911259960765,25423.06045104606,40604.69032459322,42269.55630139708,US
2050,MT,33310.54207410775,18232.06765841754,35080.100339705765,19169.047758351848,0,0,0,0,0,0,0,0,0,0,9609.299054222694,9979.46478596507,16213.17148214611,16865.182909633866,US
2050,MX,110245.34538403671,66377.32855497551,110245.34538403671,66377.32855497551,0,0,0,0,0,0,0,0,0,0,393934.96353574994,415285.6387306287,665969.6282424172,703254.6648800516,MX
2050,NB,39456.134474687475,21572.212721400876,41708.50247389989,22774.529123392484,0,0,0,0,0,0,0,0,0,0,13433.88195641384,14026.755279435969,22650.275424425454,23679.608181299514,CA
2050,NC,336756.01250841597,187685.80951738343,354937.12286453345,197571.0020182178,23256.09342425046,18412.35463457209,680421.2598293454,375305.34614017664,10850.947185655918,9220.209581019213,246259.85903147317,135831.50188078845,38000,28504.625929,100931.36001480708,104958.41237911207,167284.06153337116,174184.0642095625,US
2050,ND,32482.09171173356,17693.91556568404,34288.06904721019,18650.051541984703,0,0,0,0,0,0,0,0,0,0,8847.429609135885,9211.537352215397,15027.49638944734,15669.852000630675,US
2050,NE,63017.42235785838,34661.83839745245,66468.43869905313,36508.63196282051,0,0,0,0,0,0,0,0,0,0,18956.33908457246,19721.168869372064,31822.713914331413,33155.544968372094,US
2050,NH,45687.13493756247,25202.458195202864,48259.18650470428,26588.704625524486,3.387138570383114,2.6816712255421042,99.10009610098246,54.66142530442422,0,0,0,0,0,0,14459.095723536542,15067.812371702941,24182.268918715035,25234.52616810656,US
2050,NJ,385148.719551878,212416.1743766676,407804.02717136254,224684.8928311579,0,0,0,0,0,0,0,0,500,500,136891.55794825216,143058.35321124824,227912.64928546935,238479.67732448175,US
2050,NL,22272.20669367713,12053.13629974337,23574.333085425256,12741.579969936005,0,0,0,0,0,0,0,0,0,0,7868.573153387735,8221.364485037397,13381.832240883497,14000.408051693916,CA
2050,NM,65110.79287832167,35859.97110154082,68750.18781596849,37815.800150986106,0,0,0,0,0,0,0,0,0,0,25345.311559072667,26423.204199432144,42046.60361099434,43895.64018300462,US
2050,NS,43952.74701305596,24194.193660667483,46386.52691097803,25499.72312050681,0,0,0,0,0,0,0,0,0,0,15110.647197343667,15757.366787141951,25335.56423157229,26452.61355577921,CA
2050,NT,1664.440143199383,892.7209234677587,1757.3514586258893,940.9554334927075,0,0,0,0,0,0,0,0,0,0,559.2151186782352,583.7668739665124,966.7933704969433,1010.8079216513626,CA
2050,NU,384.0117486399945,231.20861855577658,384.0117486399945,231.20861855577658,0,0,0,0,0,0,0,0,0,0,118.59308981398748,118.59308981398748,189.36757955584227,189.36757955584227,CA
2050,NV,116695.16455813572,64985.58974285937,123033.33779724337,68430.20140176662,55887.78641132139,44247.57522144473,1635151.5856662104,901913.5175229996,3622.816237791572,3078.3602955983497,82219.01745083056,45350.194982779365,216075,216075,34035.668207876006,35419.19639000263,56591.982188437316,58968.51634649204,US
2050,NY,634681.5229755684,349869.6566666311,670009.5235346743,368867.85651818116,11008.200353745122,8715.43148301184,322075.3123281929,177649.63223937867,192.51680490679854,163.58436353421183,4369.1265312035575,2409.913743046247,10120,120,226728.03632162823,236361.13500979153,378577.9872416067,395203.6168383586,US
2050,OH,316393.1231490852,175806.70860883253,333480.8848101557,185060.45300347565,31239.579034643455,24733.053713174824,914000.1863393612,504142.3255827046,28702.505458831783,24388.9414723734,651397.0464703484,359296.2307814404,17600,54005.69026,103488.86847140668,107622.091409208,171906.05708988477,179017.49060515306,US
2050,OK,134010.35124425366,73825.43826691726,141548.49846613687,77880.87966865282,0,0,0,0,0,0,0,0,45359,0,41620.416566855085,43377.33352453023,69826.63802181957,72874.10296216408,US
2050,ON,707964.580908167,389048.437645495,747395.7887902347,410168.92166124925,23927.094260014044,18943.600580432045,700053.2429697606,386133.9146504839,61780.39284736353,52495.70938870616,1402092.423195323,773363.2284502954,68000,32500,235488.99866306054,245677.754157099,396198.01601158065,413851.55071784067,CA
