Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2045,Increasing Batt Cap - Benchmark Chemistry,Black Mass,19.664805260009466,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2045,Increasing Batt Cap - Benchmark Chemistry,Refining,14.975209487128389,Increasing Batt Cap - Benchmark Chemistry - Refining
2046,Increasing Batt Cap - Benchmark Chemistry,Black Mass,24.56036257216517,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2046,Increasing Batt Cap - Benchmark Chemistry,Refining,19.386273279731096,Increasing Batt Cap - Benchmark Chemistry - Refining
2047,Increasing Batt Cap - Benchmark Chemistry,Black Mass,30.15924463135625,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2047,Increasing Batt Cap - Benchmark Chemistry,Refining,24.500661819369167,Increasing Batt Cap - Benchmark Chemistry - Refining
2048,Increasing Batt Cap - Benchmark Chemistry,Black Mass,36.47749910901189,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2048,Increasing Batt Cap - Benchmark Chemistry,Refining,30.334422777471808,Increasing Batt Cap - Benchmark Chemistry - Refining
2049,Increasing Batt Cap - Benchmark Chemistry,Black Mass,43.49484642986718,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2049,Increasing Batt Cap - Benchmark Chemistry,Refining,36.867276578774096,Increasing Batt Cap - Benchmark Chemistry - Refining
2050,Increasing Batt Cap - Benchmark Chemistry,Black Mass,51.17814752072332,Increasing Batt Cap - Benchmark Chemistry - Black Mass
2050,Increasing Batt Cap - Benchmark Chemistry,Refining,44.06608415007724,Increasing Batt Cap - Benchmark Chemistry - Refining
2025,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2025,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2026,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2026,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2027,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2027,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2028,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2028,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2029,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2029,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2030,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2030,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2031,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2031,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2032,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2032,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2033,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2033,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2034,Increasing Batt Cap - High LFP Chemistry,Black Mass,0,Increasing Batt Cap - High LFP Chemistry - Black Mass
2034,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2035,Increasing Batt Cap - High LFP Chemistry,Black Mass,0.07282292602617638,Increasing Batt Cap - High LFP Chemistry - Black Mass
2035,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2036,Increasing Batt Cap - High LFP Chemistry,Black Mass,0.33517310860896354,Increasing Batt Cap - High LFP Chemistry - Black Mass
2036,Increasing Batt Cap - High LFP Chemistry,Refining,0,Increasing Batt Cap - High LFP Chemistry - Refining
2037,Increasing Batt Cap - High LFP Chemistry,Black Mass,0.8270527357844601,Increasing Batt Cap - High LFP Chemistry - Black Mass
2037,Increasing Batt Cap - High LFP Chemistry,Refining,0.007386107622496435,Increasing Batt Cap - High LFP Chemistry - Refining
2038,Increasing Batt Cap - High LFP Chemistry,Black Mass,1.6664884326289855,Increasing Batt Cap - High LFP Chemistry - Black Mass
2038,Increasing Batt Cap - High LFP Chemistry,Refining,0.36232828491402175,Increasing Batt Cap - High LFP Chemistry - Refining
2039,Increasing Batt Cap - High LFP Chemistry,Black Mass,2.8544909947886765,Increasing Batt Cap - High LFP Chemistry - Black Mass
2039,Increasing Batt Cap - High LFP Chemistry,Refining,1.0658373275207127,Increasing Batt Cap - High LFP Chemistry - Refining
2040,Increasing Batt Cap - High LFP Chemistry,Black Mass,4.439723933802867,Increasing Batt Cap - High LFP Chemistry - Black Mass
2040,Increasing Batt Cap - High LFP Chemistry,Refining,2.166576746981903,Increasing Batt Cap - High LFP Chemistry - Refining
2041,Increasing Batt Cap - High LFP Chemistry,Black Mass,6.469882266837244,Increasing Batt Cap - High LFP Chemistry - Black Mass
2041,Increasing Batt Cap - High LFP Chemistry,Refining,3.7122415604632795,Increasing Batt Cap - High LFP Chemistry - Refining
2042,Increasing Batt Cap - High LFP Chemistry,Black Mass,8.996804691386066,Increasing Batt Cap - High LFP Chemistry - Black Mass
2042,Increasing Batt Cap - High LFP Chemistry,Refining,5.754670465459101,Increasing Batt Cap - High LFP Chemistry - Refining
2043,Increasing Batt Cap - High LFP Chemistry,Black Mass,12.078713922099322,Increasing Batt Cap - High LFP Chemistry - Black Mass
2043,Increasing Batt Cap - High LFP Chemistry,Refining,8.352086176619357,Increasing Batt Cap - High LFP Chemistry - Refining
2044,Increasing Batt Cap - High LFP Chemistry,Black Mass,15.770984492571593,Increasing Batt Cap - High LFP Chemistry - Black Mass
2044,Increasing Batt Cap - High LFP Chemistry,Refining,11.559863227538626,Increasing Batt Cap - High LFP Chemistry - Refining
2045,Increasing Batt Cap - High LFP Chemistry,Black Mass,20.125771481695285,Increasing Batt Cap - High LFP Chemistry - Black Mass
2045,Increasing Batt Cap - High LFP Chemistry,Refining,15.430156697109316,Increasing Batt Cap - High LFP Chemistry - Refining
2046,Increasing Batt Cap - High LFP Chemistry,Black Mass,25.194492525152135,Increasing Batt Cap - High LFP Chemistry - Black Mass
2046,Increasing Batt Cap - High LFP Chemistry,Refining,20.014384221013167,Increasing Batt Cap - High LFP Chemistry - Refining
2047,Increasing Batt Cap - High LFP Chemistry,Black Mass,31.009464499042025,Increasing Batt Cap - High LFP Chemistry - Black Mass
2047,Increasing Batt Cap - High LFP Chemistry,Refining,25.344862675350058,Increasing Batt Cap - High LFP Chemistry - Refining
2048,Increasing Batt Cap - High LFP Chemistry,Black Mass,37.59134122584158,Increasing Batt Cap - High LFP Chemistry - Black Mass
2048,Increasing Batt Cap - High LFP Chemistry,Refining,31.442245882596612,Increasing Batt Cap - High LFP Chemistry - Refining
2049,Increasing Batt Cap - High LFP Chemistry,Black Mass,44.921777133853595,Increasing Batt Cap - High LFP Chemistry - Black Mass
2049,Increasing Batt Cap - High LFP Chemistry,Refining,38.288188271055624,Increasing Batt Cap - High LFP Chemistry - Refining
2050,Increasing Batt Cap - High LFP Chemistry,Black Mass,52.96786748811714,Increasing Batt Cap - High LFP Chemistry - Black Mass
2050,Increasing Batt Cap - High LFP Chemistry,Refining,45.849785105766166,Increasing Batt Cap - High LFP Chemistry - Refining
