Year,State_Province,Origin,Metric Tonnes (millions)
2050,ND,Cell Manufacturing,0
2050,ND,End of Life Batteries,0.01502749638944734
2050,ND,Black Mass,0
2050,ND,Refining,0
2050,NE,LIB Demand,0.06301742235785837
2050,NE,Pack Manufacturing,0
2050,NE,Cell Manufacturing,0
2050,NE,End of Life Batteries,0.03182271391433141
2050,NE,Black Mass,0
2050,NE,Refining,0
2050,NH,LIB Demand,0.04568713493756247
2050,NH,Pack Manufacturing,9.910009610098246e-5
2050,NH,Cell Manufacturing,0
2050,NH,End of Life Batteries,0.024182268918715034
2050,NH,Black Mass,0
2050,NH,Refining,0
2050,NJ,LIB Demand,0.385148719551878
2050,NJ,Pack Manufacturing,0
2050,NJ,Cell Manufacturing,0
2050,NJ,End of Life Batteries,0.22791264928546934
2050,NJ,Black Mass,5e-4
2050,NJ,Refining,5e-4
2050,NL,LIB Demand,0.02227220669367713
2050,NL,Pack Manufacturing,0
2050,NL,Cell Manufacturing,0
2050,NL,End of Life Batteries,0.013381832240883497
2050,NL,Black Mass,0
2050,NL,Refining,0
2050,NM,LIB Demand,0.06511079287832167
2050,NM,Pack Manufacturing,0
2050,NM,Cell Manufacturing,0
2050,NM,End of Life Batteries,0.04204660361099434
2050,NM,Black Mass,0
2050,NM,Refining,0
2050,NS,LIB Demand,0.04395274701305596
2050,NS,Pack Manufacturing,0
2050,NS,Cell Manufacturing,0
2050,NS,End of Life Batteries,0.02533556423157229
2050,NS,Black Mass,0
2050,NS,Refining,0
2050,NT,LIB Demand,0.001664440143199383
2050,NT,Pack Manufacturing,0
2050,NT,Cell Manufacturing,0
2050,NT,End of Life Batteries,9.667933704969433e-4
2050,NT,Black Mass,0
2050,NT,Refining,0
2050,NU,LIB Demand,3.8401174863999447e-4
2050,NU,Pack Manufacturing,0
2050,NU,Cell Manufacturing,0
2050,NU,End of Life Batteries,1.8936757955584227e-4
2050,NU,Black Mass,0
2050,NU,Refining,0
2050,NV,LIB Demand,0.11669516455813571
2050,NV,Pack Manufacturing,1.6351515856662104
2050,NV,Cell Manufacturing,0.08221901745083056
2050,NV,End of Life Batteries,0.05659198218843731
2050,NV,Black Mass,0.216075
2050,NV,Refining,0.216075
2050,NY,LIB Demand,0.6346815229755685
2050,NY,Pack Manufacturing,0.32207531232819286
2050,NY,Cell Manufacturing,0.004369126531203558
2050,NY,End of Life Batteries,0.3785779872416067
2050,NY,Black Mass,0.01012
2050,NY,Refining,1.2e-4
2050,OH,LIB Demand,0.3163931231490852
2050,OH,Pack Manufacturing,0.9140001863393612
2050,OH,Cell Manufacturing,0.6513970464703484
2050,OH,End of Life Batteries,0.17190605708988477
2050,OH,Black Mass,0.0176
2050,OH,Refining,0.05400569026
2050,OK,LIB Demand,0.13401035124425367
2050,OK,Pack Manufacturing,0
2050,OK,Cell Manufacturing,0
2050,OK,End of Life Batteries,0.06982663802181957
2050,OK,Black Mass,0.045359
2050,OK,Refining,0
2050,ON,LIB Demand,0.7079645809081669
2050,ON,Pack Manufacturing,0.7000532429697606
2050,ON,Cell Manufacturing,1.402092423195323
2050,ON,End of Life Batteries,0.39619801601158067
2050,ON,Black Mass,0.068
2050,ON,Refining,0.0325
2050,OR,LIB Demand,0.1972687505488877
2050,OR,Pack Manufacturing,0
2050,OR,Cell Manufacturing,0
2050,OR,End of Life Batteries,0.1080608081408068
2050,OR,Black Mass,0
2050,OR,Refining,0
2050,PA,LIB Demand,0.3224319552093795
2050,PA,Pack Manufacturing,0
