Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand
2039,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10793006534108508
2039,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.21473320290504005
2040,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.10238906039169782
2040,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.2567470907716181
2041,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.09760637143411838
2041,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.30019309785924747
2042,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.09253337238591082
2042,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.339251647364685
2043,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08743576589486457
2043,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.37634899891860796
2044,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.08289122319145616
2044,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4133971556475576
2045,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0789620504689963
2045,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4510078279792687
2046,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.07562231579111119
2046,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.489206319938151
2047,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0728318702481398
2047,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5284241714396694
2048,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.07044928894812269
2048,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5665743228906601
2049,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0684214210574866
2049,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.6033579024863159
2050,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.06667800959234503
2050,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.6370108281883291
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.005266673412724786
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.005266673412724786
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.007179892944859966
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.007179892944859966
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.010705835475865646
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.010705835475865646
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.015449120631072864
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.015449120631072864
