Year,Scenario,Mineral,Recycling Scenario,Tonne
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,822.729706779998
2029,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3565.34033847726
2029,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,3763.4148017259954
2029,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,7649.396088763068
2029,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,736.2892694916038
2029,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,381.2651143463847
2029,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3606.276111184558
2029,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,3606.276111184558
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,818.3948567213273
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,818.3948567213273
2029,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3570.6863171683244
2029,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,3769.057779233229
2029,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,7651.307983636576
2029,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,735.8886990425589
2029,Decreasing Batt Cap - High LFP Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2029,Decreasing Batt Cap - High LFP Chemistry,Manganese,All Material is Recycled in NA,378.9898324861056
2029,Decreasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3585.065982728076
2029,Decreasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,3585.065982728076
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,839.3551843318849
2029,Increasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,839.3551843318849
2029,Increasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,3787.15417244734
2029,Increasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,3997.5516264721955
2029,Increasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2029,Increasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,8080.316612063144
2029,Increasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
