Year,Scenario,Mineral,Minerals Lost From Non-Recovery,Cum_Tonne
2036,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2036,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2036,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2036,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2037,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2037,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2037,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2037,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2038,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2038,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2038,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2038,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2039,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2039,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2039,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2039,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2040,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2040,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2040,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2040,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2041,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2041,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2041,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2041,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2042,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2042,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2042,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2042,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2043,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2043,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2043,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2043,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2044,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2044,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2044,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2044,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2045,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2045,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2045,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2045,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2046,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
2046,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,15009.108497232697
2046,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,16472.771378084308
2046,Increasing Batt Cap - High LFP Chemistry,Lithium,0,16448.772066725207
2047,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,15027.667918385909
