Year,State_Province,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid
2030,IN,7969.414468656465,7969.414468656465,151418.8749044728,151418.8749044728,28599.942192768925,27187.681901394182,266154.86226474284,252329.48558510994
2031,IN,7969.414468656465,7969.414468656465,151418.8749044728,151418.8749044728,30030.25935446912,25341.923029643654,311872.6821217914,254175.24445686047
2032,IN,8480.911596143433,7969.414468656465,161803.85451981428,151418.8749044728,31028.935578839744,24087.523796415146,358837.47963821347,255429.64369008897
2033,IN,9560.936484101001,7969.414468656465,189203.53100085285,151418.8749044728,31726.26229181178,23762.532661809226,420437.8953156179,267575.53837643255
2034,IN,10288.289736105638,7969.414468656465,213558.34010204935,151418.8749044728,31452.989700070208,23939.206668505212,475543.71059277,289619.73829767853
2035,IN,10893.056387447432,7969.414468656465,239154.6112247084,151418.8749044728,32705.696284060356,25241.13336457039,532540.5281424446,310665.56277049624
2036,IN,11131.112303794149,7969.414468656465,250996.44269345942,151418.8749044728,33198.80253107926,25899.96151048553,558909.4747926815,322525.6436285812
2037,IN,11342.666964016582,7969.414468656465,262549.4444065326,151418.8749044728,33637.01438543078,26479.585492863935,584635.2661642296,333734.72801118356
2038,IN,11537.557727629133,8146.166030343343,274175.2814133179,154853.32637860224,34040.708838811486,27015.81965444013,610523.244438979,344821.5854671139
2039,IN,11721.076477850314,8392.287863174895,286104.9300757536,159903.69106010866,34420.8474363642,27525.633546736848,637087.7391259666,356067.54832364566
2040,IN,11897.422017419658,8633.996063549966,298589.03011015215,165194.71332815956,34786.127529083744,28026.305092270093,664886.8653550445,367849.39847745164
2041,IN,11976.681935362014,8777.545296463964,304562.0901741441,168506.07139872105,34950.305598149906,28323.65129811515,678187.4517197207,375223.0065661064
2042,IN,12091.007772185805,8982.939842236001,313611.18947728456,173481.74417350208,35187.118802369405,28749.10316328237,698337.6470156832,386302.64828313846
2043,IN,12199.5446248541,9177.726685471245,322714.10025462596,178479.74006940742,35411.9407723664,29152.582357206276,718607.6676863031,397431.9982899353
2044,IN,12300.943723510756,9359.016375948351,331709.1391210152,183397.28696483248,35621.97768200095,29528.103706418133,738637.4832271289,408382.20747655345
2045,IN,12389.694417938488,9516.939825470918,340003.9547399519,187907.28887955853,35805.814834721976,29855.22449679972,757108.0678749916,418424.9107691735
2046,IN,12468.671576578849,9656.873781310309,347742.0897812306,192093.0255827005,35969.40719946979,30145.082059902557,774339.0570690413,427745.55243751255
2047,IN,12536.812370839825,9777.289792972697,354707.2005420609,195847.1323840956,36110.55324550201,30394.510381210657,789848.7047574066,436105.05681202625
2048,IN,12598.0975269233,9885.9295030545,361214.24450301717,199362.27019757684,36237.49860261835,30619.54540885365,804338.3464576782,443932.4339974317
2049,IN,12647.078516929834,9972.369648896247,366589.08434223,202250.566736309,36338.95725371197,30798.59651819769,816306.8384386506,450363.98451737216
2050,IN,12688.221084655146,10045.540410880725,371228.95999428025,204761.69919037313,36424.17948836628,30950.16158067288,826638.7397037128,455955.68018434977
2025,KS,0,0,0,0,0,0,0,0
2026,KS,0,0,0,0,0,0,0,0
2027,KS,0,0,0,0,8909.041600227327,8909.041600227327,71674.42010066757,71674.42010066757
2028,KS,0,0,0,0,9509.035001795619,8371.441928843678,83568.06205508109,72212.01977205121
2029,KS,0,0,0,0,7833.842257460032,7833.842257460032,72749.61944343486,72749.61944343486
2030,KS,0,0,0,0,7675.244875345652,7296.242586076384,77302.69676585746,73287.21911481852
2031,KS,0,0,0,0,8009.013340268279,6758.642914692735,90582.9530771467,73824.81878620217
2032,KS,0,0,0,0,8013.789697160245,6221.043243309087,104467.21231580233,74362.41845758582
2033,KS,0,0,0,0,8644.040333583771,6474.266929634298,121802.58013244231,77517.72929533584
2034,KS,0,0,0,0,9067.746405939903,6901.558716655356,137096.97595409479,83495.98451787773
2035,KS,0,0,0,0,9428.895719025664,7276.897952499631,153528.88568396444,89563.39499437717
2036,KS,0,0,0,0,9571.055890182373,7466.834954012742,161130.92680934508,92982.5995469675
2037,KS,0,0,0,0,9697.390270641201,7633.93777422562,168547.5493458283,96214.12493115038
2038,KS,0,0,0,0,9813.77344959009,7788.531516751911,176010.92959032647,99410.41287731519
2039,KS,0,0,0,0,9923.365588035038,7935.5084220844265,183669.34627886798,102652.57014904259
2040,KS,0,0,0,0,10028.67409064494,8079.849632597567,191683.70133241723,106049.22116397801
2041,KS,0,0,0,0,10076.005842249637,8165.5731207327935,195518.19672872982,108174.99708805683
2042,KS,0,0,0,0,10144.277955709034,8288.228857375274,201327.40159975496,111369.20477122965
2043,KS,0,0,0,0,10209.09305372854,8404.549978052934,207171.15155284546,114577.74311645264
2044,KS,0,0,0,0,10269.645689602425,8512.810985897982,212945.6515165661,117734.63602053245
2045,KS,0,0,0,0,10322.645060942334,8607.118344262844,218270.6326758577,120629.89931842407
2046,KS,0,0,0,0,10369.807956795057,8690.68289253389,223238.24439814765,123316.99570560618
2047,KS,0,0,0,0,10410.499686383435,8762.59188387776,227709.60160217376,125727.00081069375
2048,KS,0,0,0,0,10447.09742531761,8827.468405396978,231886.89596127573,127983.59619376277
2049,KS,0,0,0,0,10476.347468877175,8879.08798333587,235337.3549217713,129837.7814291867
2050,KS,0,0,0,0,10500.91663127992,8922.783465502464,238315.9926111031,131449.84052979527
2025,KY,5744.105463260132,5744.105463260132,109138.00380194248,109138.00380194248,0,0,0,0
2026,KY,12126.444866882497,12126.444866882497,230402.45247076746,230402.45247076746,0,0,0,0
