"VehicleType","FuelType","Year","Annual_Sales"
"Pickup trucks","Plug-in hybrid electric",2019,0
"Pickup trucks","Plug-in hybrid electric",2020,0
"Pickup trucks","Plug-in hybrid electric",2021,1
"Pickup trucks","Plug-in hybrid electric",2022,0
"Pickup trucks","Plug-in hybrid electric",2023,2
"Pickup trucks","Plug-in hybrid electric",2024,0
"Total, vehicle type","Battery electric",2017,9086
"Total, vehicle type","Battery electric",2018,22582
"Total, vehicle type","Battery electric",2019,35550
"Total, vehicle type","Battery electric",2020,39046
"Total, vehicle type","Battery electric",2021,59133
"Total, vehicle type","Battery electric",2022,98620
"Total, vehicle type","Battery electric",2023,143666
"Total, vehicle type","Battery electric",2024,202333
"Total, vehicle type","Diesel",2017,65784
"Total, vehicle type","Diesel",2018,70597
"Total, vehicle type","Diesel",2019,59131
"Total, vehicle type","Diesel",2020,64739
"Total, vehicle type","Diesel",2021,65843
"Total, vehicle type","Diesel",2022,75247
"Total, vehicle type","Diesel",2023,74028
"Total, vehicle type","Diesel",2024,79748
"Total, vehicle type","Gasoline",2017,1928450
"Total, vehicle type","Gasoline",2018,1834637
"Total, vehicle type","Gasoline",2019,1778052
"Total, vehicle type","Gasoline",2020,1384875
"Total, vehicle type","Gasoline",2021,1415193
"Total, vehicle type","Gasoline",2022,1233181
"Total, vehicle type","Gasoline",2023,1316512
"Total, vehicle type","Gasoline",2024,1333390
"Total, vehicle type","Hybrid electric",2017,23811
"Total, vehicle type","Hybrid electric",2018,25811
"Total, vehicle type","Hybrid electric",2019,38616
"Total, vehicle type","Hybrid electric",2020,41543
"Total, vehicle type","Hybrid electric",2021,79314
"Total, vehicle type","Hybrid electric",2022,81049
"Total, vehicle type","Hybrid electric",2023,135687
"Total, vehicle type","Hybrid electric",2024,169055
"Total, vehicle type","Other fuel types",2017,5
"Total, vehicle type","Other fuel types",2018,253
"Total, vehicle type","Other fuel types",2019,210
"Total, vehicle type","Other fuel types",2020,58
"Total, vehicle type","Other fuel types",2021,5
"Total, vehicle type","Other fuel types",2022,18
"Total, vehicle type","Other fuel types",2023,16
"Total, vehicle type","Other fuel types",2024,20
"Total, vehicle type","Plug-in hybrid electric",2017,10608
"Total, vehicle type","Plug-in hybrid electric",2018,21712
"Total, vehicle type","Plug-in hybrid electric",2019,20422
"Total, vehicle type","Plug-in hybrid electric",2020,15364
"Total, vehicle type","Plug-in hybrid electric",2021,27324
"Total, vehicle type","Plug-in hybrid electric",2022,24990
"Total, vehicle type","Plug-in hybrid electric",2023,45090
"Total, vehicle type","Plug-in hybrid electric",2024,68895
"Vans","Battery electric",2017,0
"Vans","Battery electric",2018,0
"Vans","Battery electric",2019,0
"Vans","Battery electric",2020,0
"Vans","Battery electric",2021,0
"Vans","Battery electric",2022,912
"Vans","Battery electric",2023,1914
"Vans","Battery electric",2024,1331
"Vans","Diesel",2017,6199
"Vans","Diesel",2018,6301
"Vans","Diesel",2019,5650
"Vans","Diesel",2020,4745
"Vans","Diesel",2021,4837
"Vans","Diesel",2022,4540
"Vans","Diesel",2023,5038
"Vans","Diesel",2024,4672
"Vans","Gasoline",2017,122749
"Vans","Gasoline",2018,109461
"Vans","Gasoline",2019,100098
"Vans","Gasoline",2020,73439
"Vans","Gasoline",2021,52081
"Vans","Gasoline",2022,34881
"Vans","Gasoline",2023,48711
"Vans","Gasoline",2024,49814
"Vans","Hybrid electric",2017,0
"Vans","Hybrid electric",2018,0
"Vans","Hybrid electric",2019,0
"Vans","Hybrid electric",2020,768
"Vans","Hybrid electric",2021,10503
"Vans","Hybrid electric",2022,5740
"Vans","Hybrid electric",2023,4456
"Vans","Hybrid electric",2024,11683
"Vans","Other fuel types",2017,4
"Vans","Other fuel types",2018,252
"Vans","Other fuel types",2019,126
"Vans","Other fuel types",2020,33
"Vans","Other fuel types",2021,4
"Vans","Other fuel types",2022,0
"Vans","Other fuel types",2023,0
"Vans","Other fuel types",2024,0
"Vans","Plug-in hybrid electric",2017,840
"Vans","Plug-in hybrid electric",2018,1414
"Vans","Plug-in hybrid electric",2019,589
"Vans","Plug-in hybrid electric",2020,773
"Vans","Plug-in hybrid electric",2021,1206
"Vans","Plug-in hybrid electric",2022,2210
"Vans","Plug-in hybrid electric",2023,1821
"Vans","Plug-in hybrid electric",2024,1097
