Sale Year,Global Segment,Cathode Mix,Total Mwh,BEV,PHEV,FCEV
2020,SUV,NMC 111,9.2721,0,0.018369789867085942,0
2020,SUV,NMC 111 + LMO,27.1032,0,0.053696583160837745,0
2020,SUV,NMC 111 + NCA,18.5627,0,0.03677623174531726,0
2020,SUV,NMC 622,231.99539999999996,0,0.4596269181879562,0
2020,SUV,NMC 811 + 111,59.10300000000001,0,0.11709426025543086,0
2021,Car,LFP,790.9,0.05726941776668808,0,0
2021,Car,NCA,10987.922999999999,0.79564034982324,0,0
2021,Car,NMC (unspecified),261.6663,0.01894737217115126,0,0
2021,Car,NMC 111,1.1814,8.554569496720861e-5,0,0
2021,Car,NMC 622,1715.3324000000002,0.12420797550175207,0,0
2021,Car,NMC 811,53.16,0.0038493390422014643,0,0
2021,Car,NiMH (unspecified),4.2064,0,0,0.5158442068085941
2021,Car,tba (unspecified),3.948,0,0,0.48415579319140584
2021,Car,LFP,2.772,0,0.006257264306889469,0
2021,Car,NMC (unspecified),47.8971,0,0.10811861985336062,0
2021,Car,NMC 111,291.97839999999997,0,0.6590858660543637,0
2021,Car,NMC 442,0.0784,0,0.00017697313191202539,0
2021,Car,NMC 532,52.608,0,0.11875258320953867,0
2021,Car,NMC 622,38.8962,0,0.08780079506985361,0
2021,Car,NMC 811 + 111,8.775,0,0.019807898374081926,0
2021,SUV,NCA,14932,0.6569682166326736,0,0
2021,SUV,NMC (unspecified),3581.0735000000004,0.15755769293634656,0,0
2021,SUV,NMC 622,2836.9775,0.12481945143329899,0,0
2021,SUV,NMC 721,1377.6439999999998,0.060612665539425584,0,0
2021,SUV,NMC 811,0.954,4.197345825526189e-5,0,0
2021,SUV,tba (unspecified),0.6708000000000001,0,0,1
2021,SUV,NCA (unspecified),23.0384,0,0.010809468663641996,0
2021,SUV,NMC (unspecified),952.7824,0,0.44703935586106736,0
2021,SUV,NMC 111,222.9227,0,0.10459389280785408,0
2021,SUV,NMC 111 + LMO,31.049999999999997,0,0.014568459702326722,0
2021,SUV,NMC 111 + NCA,17.0169,0,0.007984219707198828,0
2021,SUV,NMC 622,845.8016999999999,0,0.39684470153331514,0
2021,SUV,NMC 811 + 111,38.7045,0,0.018159901724595966,0
2022,Car,LFP,3644.52,0.16390135116708163,0,0
2022,Car,NCA,13870.48,0.6237832179096238,0,0
2022,Car,NMC (unspecified),2073.6909,0.093258025861535,0,0
2022,Car,NMC 622,1487.351,0.06688914824440804,0,0
2022,Car,NMC 811,1151.1364,0.05176890546288953,0,0
2022,Car,tba (unspecified),8.88,3.9935135446195517e-4,0,0
2022,Car,NiMH (unspecified),3.3504000000000005,0,0,0.5386148800720211
2022,Car,tba (unspecified),2.87,0,0,0.46138511992797887
2022,Car,NMC (unspecified),62.84040000000001,0,0.20971084515869376,0
2022,Car,NMC 111,148.6354,0,0.4960257311299818,0
2022,Car,NMC 532,79.05600000000001,0,0.26382550994051107,0
2022,Car,NMC 622,7.048800000000001,0,0.023523239911817883,0
2022,Car,tba (unspecified),2.072,0,0.006914673858995382,0
2022,SUV,NCA,22384.56,0.5831708056325011,0,0
2022,SUV,NMC (unspecified),11412.839,0.2973314871582925,0,0
2022,SUV,NMC 622,3309.9150000000004,0.0862311252544209,0,0
2022,SUV,NMC 721,1170.779,0.03050156592971289,0,0
2022,SUV,NMC 811,106.133,0.0027650160250723816,0,0
2022,SUV,tba (unspecified),0.63648,0,0,1
2022,SUV,NCA (unspecified),19.571200000000005,0,0.0068935411391929675,0
2022,SUV,NMC (unspecified),1343.59095,0,0.47325148626923025,0
2022,SUV,NMC 111,462.3373,0,0.16284853242179326,0
2022,SUV,NMC 111 + LMO,15.621600000000004,0,0.005502378099453118,0
2022,SUV,NMC 111 + NCA,4.4352,0,0.0015622053660761038,0
2022,SUV,NMC 622,993.5071,0,0.3499418567042542,0
2023,Car,LFP,6152.299999999999,0.26021143686003717,0,0
2023,Car,NCA,10172.2,0.43023304748267654,0,0
2023,Car,NMC (unspecified),4772.102599999999,0.20183600838540372,0,0
2023,Car,NMC 622,1314.9668000000001,0.055616501219258686,0,0
2023,Car,NMC 811,1229.4156,0.05199811448956403,0,0
2023,Car,tba (unspecified),2.48,1.0489156305981378e-4,0,0
2023,Car,NiMH (unspecified),4.3792,0,0,1
2023,Car,NMC (unspecified),159.9528,0,0.5928112287859201,0
2023,Car,NMC 111,55.84,0,0.20695216973635835,0
2023,Car,NMC 532,53.832,0,0.1995101934320853,0
2023,Car,tba (unspecified),0.196,0,7.264080456362149e-4,0
2023,SUV,LFP,1294.79,0.019686429789183408,0,0
2023,SUV,LFP (unspecified),610,0.00927464853096014,0,0
2023,SUV,NCA,32347.839999999997,0.49182761759956334,0,0
2023,SUV,NMC (unspecified),23800.060499999996,0.3618642559886679,0,0
2023,SUV,NMC 622,4814.306,0.07319835421392228,0,0
2023,SUV,NMC 721,806.25,0.01225850061981412,0,0
2023,SUV,NMC 811,2097.4399000000003,0.03189019325788883,0,0
2023,SUV,tba (unspecified),0.37596,0,0,1
2023,SUV,NCA (unspecified),7.726400000000001,0,0.0016546951799046798,0
2023,SUV,NMC (unspecified),3155.30195,0,0.6757432863699571,0
2023,SUV,NMC 111,187.38549999999998,0,0.040130705585269766,0
2023,SUV,NMC 622,1318.9658,0,0.2824713128648685,0
2024,Car,LFP,5666.375,0.3024898697823517,0,0
2024,Car,NCA,5799.59,0.3096013278138191,0,0
2024,Car,NMC (unspecified),5206.343499999999,0.2779318642619299,0,0
2024,Car,NMC 622,1246.9056,0.06656395183426532,0,0
2024,Car,NMC 811,812.1114,0.043353196997156625,0,0
2024,Car,tba (unspecified),1.12,5.9789310477374685e-5,0,0
2024,Car,NiMH (unspecified),0.7183999999999999,0,0,1
2024,Car,NMC (unspecified),383.47049999999996,0,0.9651172009196374,0
2024,Car,NMC 532,13.86,0,0.03488279908036257,0
2024,SUV,LFP,2229.4300000000003,0.02858936878271267,0,0
2024,SUV,LFP (unspecified),1136.773,0.014577547857179018,0,0
2024,SUV,NCA,31629.340000000004,0.40560271711325546,0,0
2024,SUV,NMC (unspecified),39345.324900000014,0.5045495949376063,0,0
2024,SUV,NMC 622,793.7260000000001,0.010178442618260002,0,0
2024,SUV,NMC 721,851.7,0.010921879310961268,0,0
2024,SUV,NMC 811,1994.7912000000001,0.02558044938002536,0,0
2024,SUV,NMC (unspecified),0.3186,0,0,0.7061170212765957
2024,SUV,tba (unspecified),0.13260000000000002,0,0,0.2938829787234043
2024,SUV,NCA (unspecified),0.0704,0,1.3161620057830364e-5,0
2024,SUV,NMC (unspecified),3564.172200000001,0,0.6663392090494514,0
2024,SUV,NMC 111,5.1313,0,9.59321321061718e-4,0
2024,SUV,NMC 622,1690.9933,0,0.3161393655530789,0
2024,SUV,tba (unspecified),88.5184,0,0.01654894245635016,0
2025,Car,LFP,429,0.3199545589944745,0,0
2025,Car,NCA,464.4,0.3463564037226899,0,0
2025,Car,NMC (unspecified),361.8276000000001,0.26985638738934536,0,0
2025,Car,NMC 622,71.13040000000001,0.05305010667389411,0,0
2025,Car,NMC 811,14.4574,0.010782543219596074,0,0
2025,Car,NiMH (unspecified),0.0272,0,0,1
2025,Car,NMC (unspecified),42.24870000000001,0,1,0
2025,SUV,LFP,160.58,0.02675411074545753,0,0
2025,SUV,LFP (unspecified),36.864000000000004,0.006141882790637355,0,0
2025,SUV,NCA,2340,0.38986560682756644,0,0
2025,SUV,NMC (unspecified),3350.5848,0.5582383659312907,0,0
2025,SUV,NMC 622,32.852,0.005473446545085133,0,0
2025,SUV,NMC 721,44.325,0.007384954283176018,0,0
2025,SUV,NMC 811,36.8625,0.006141632876786823,0,0
2025,SUV,NMC (unspecified),0.1416,0,0,1
2025,SUV,NMC (unspecified),280.84205,0,0.6876858147960826,0
2025,SUV,NMC 111,1.6684,0,0.004085339119999246,0
2025,SUV,NMC 622,98.52369999999999,0,0.2412507347501017,0
2025,SUV,tba (unspecified),27.353,0,0.06697811133381647,0
