State,Reg Year,Fraction_BEV,Fraction_PHEV,Fraction_FCEV
Washington,2016,0.053157331430610064,0.025196850393700787,0
West Virginia,2016,3.5676061362825543e-4,0.0011811023622047244,0
Wisconsin,2016,0.00927577595433464,0.010236220472440945,0
Wyoming,2016,3.5676061362825543e-4,3.937007874015748e-4,0
Alabama,2017,0.0021214531954388757,0.003192106790481718,0
Alaska,2017,0.0010607265977194379,8.705745792222867e-4,0
Arizona,2017,0.01909307875894988,0.016831108531630876,0
Arkansas,2017,7.955449482895784e-4,0.0017411491584445734,0
California,2017,0.5030495889684434,0.4631456761462565,1
Colorado,2017,0.021214531954388757,0.015089959373186303,0
Connecticut,2017,0.007955449482895784,0.011317469529889728,0
Delaware,2017,0.0010607265977194379,0.00261172373766686,0
District of Columbia,2017,0.0021214531954388757,0.0020313406848520023,0
Florida,2017,0.042163882259347654,0.038885664538595474,0
Georgia,2017,0.03818615751789976,0.015089959373186303,0
Hawaii,2017,0.014319809069212411,0.004933255948926291,0
Idaho,2017,0.0018562715460090163,0.0023215322112594312,0
Illinois,2017,0.022010076902678335,0.022344747533372025,0
Indiana,2017,0.00503845133916733,0.009286128845037725,0
Iowa,2017,0.0015910898965791568,0.004352872896111433,0
Kansas,2017,0.0026518164942985947,0.0037724898432965758,0
Kentucky,2017,0.0018562715460090163,0.003482298316889147,0
Louisiana,2017,0.0015910898965791568,0.0020313406848520023,0
Maine,2017,0.0013259082471492973,0.0037724898432965758,0
Maryland,2017,0.011667992574913817,0.01886244921648288,0
Massachusetts,2017,0.01485017236807213,0.022925130586186882,0
Michigan,2017,0.006629541235746487,0.034822983168891465,0
Minnesota,2017,0.006099177936886768,0.008995937318630296,0
Mississippi,2017,5.303632988597189e-4,8.705745792222867e-4,0
Missouri,2017,0.005568814638027049,0.009576320371445153,0
Montana,2017,7.955449482895784e-4,8.705745792222867e-4,0
Nebraska,2017,0.0013259082471492973,0.0023215322112594312,0
Nevada,2017,0.008220631132325643,0.005803830528148578,0
New Hampshire,2017,0.0015910898965791568,0.004352872896111433,0
New Jersey,2017,0.018297533810660304,0.023505513639001743,0
New Mexico,2017,0.0018562715460090163,0.002901915264074289,0
New York,2017,0.024927075046406788,0.04962275101567034,0
North Carolina,2017,0.011667992574913817,0.013929193267556587,0
North Dakota,2017,2.6518164942985947e-4,5.803830528148578e-4,0
Ohio,2017,0.0098117210289048,0.01625072547881602,0
Oklahoma,2017,0.0031821797931583136,0.00261172373766686,0
Oregon,2017,0.026518164942985947,0.017411491584445733,0
Pennsylvania,2017,0.011667992574913817,0.02176436448055717,0
Rhode Island,2017,0.0010607265977194379,0.0023215322112594312,0
South Carolina,2017,0.0031821797931583136,0.0046430644225188625,0
South Dakota,2017,2.6518164942985947e-4,5.803830528148578e-4,0
Tennessee,2017,0.0076902678334659245,0.006094022054556007,0
Texas,2017,0.042694245558207375,0.03163087637840975,0
Utah,2017,0.00954653937947494,0.007254788160185722,0
Vermont,2017,0.0018562715460090163,0.0046430644225188625,0
Virginia,2017,0.013524264120922832,0.017701683110853163,0
Washington,2017,0.05568814638027048,0.028438769587928032,0
West Virginia,2017,2.6518164942985947e-4,0.0011607661056297156,0
Wisconsin,2017,0.007425086184036065,0.010156703424260012,0
Wyoming,2017,2.6518164942985947e-4,2.901915264074289e-4,0
Alabama,2018,0.0022703457911281873,0.003251680034684587,0
Alaska,2018,8.732099196646874e-4,6.503360069369175e-4,0
Arizona,2018,0.022004889975550123,0.01669195751138088,0
Arkansas,2018,0.001047851903597625,0.0017342293518317797,0
California,2018,0.477645826056584,0.46607413830479083,1
Colorado,2018,0.021830247991617185,0.01604162150444396,0
Connecticut,2018,0.008732099196646874,0.011272490786906569,0
Delaware,2018,0.0013971358714634998,0.00260134402774767,0
District of Columbia,2018,0.0019210618232623122,0.0021677866897897246,0
Florida,2018,0.04785190359762487,0.03771948840234121,0
Georgia,2018,0.02776807544533706,0.015174506828528073,0
Hawaii,2018,0.011526370939573873,0.00520268805549534,0
Idaho,2018,0.0019210618232623122,0.002384565358768697,0
Illinois,2018,0.023751309814879495,0.021461088228918273,0
Indiana,2018,0.005937827453719874,0.008887925428137872,0
Iowa,2018,0.0019210618232623122,0.004335573379579449,0
Kansas,2018,0.002968913726859937,0.0039020160416215043,0
Kentucky,2018,0.00209570380719525,0.003251680034684587,0
Louisiana,2018,0.0015717778553964374,0.0019510080208107522,0
Maine,2018,0.0013971358714634998,0.0039020160416215043,0
Maryland,2018,0.014669926650366748,0.018209408194233688,0
Massachusetts,2018,0.01798812434509256,0.025146325601560805,0
Michigan,2018,0.007334963325183374,0.026663776284413614,0
Minnesota,2018,0.008557457212713936,0.01040537611099068,0
Mississippi,2018,5.239259517988125e-4,0.0010838933448948623,0
Missouri,2018,0.006112469437652812,0.009104704097116844,0
Montana,2018,8.732099196646874e-4,8.671146759158899e-4,0
Nebraska,2018,0.0015717778553964374,0.0021677866897897246,0
Nevada,2018,0.00890674118057981,0.006286581400390201,0
New Hampshire,2018,0.00209570380719525,0.004335573379579449,0
New Jersey,2018,0.023402025847013622,0.023412096249729026,0
New Mexico,2018,0.0022703457911281873,0.0028181226967266423,0
New York,2018,0.02706950750960531,0.05267721656189031,0
North Carolina,2018,0.012748864827104436,0.01409061348363321,0
North Dakota,2018,1.7464198393293747e-4,4.3355733795794494e-4,0
Ohio,2018,0.011177086971707998,0.015608064166486017,0
Oklahoma,2018,0.006461753405518687,0.0028181226967266423,0
Oregon,2018,0.024100593782745372,0.018209408194233688,0
Pennsylvania,2018,0.013971358714634998,0.020593973553002385,0
Rhode Island,2018,0.0012224938875305623,0.00260134402774767,0
South Carolina,2018,0.0034928396786587496,0.004769130717537394,0
South Dakota,2018,3.4928396786587494e-4,6.503360069369175e-4,0
Tennessee,2018,0.006811037373384562,0.006286581400390201,0
Texas,2018,0.042787286063569685,0.03186646433990895,0
Utah,2018,0.009779951100244499,0.007370474745285064,0
Vermont,2018,0.0019210618232623122,0.004335573379579449,0
Virginia,2018,0.01728955640936081,0.01755907218729677,0
Washington,2018,0.05274187914774712,0.02969867765011923,0
West Virginia,2018,3.4928396786587494e-4,0.0010838933448948623,0
