State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Arizona,2020,BEV,13,ACCII,US,0.013,AZ,BEV.ACCII
Arizona,2020,PHEV,6,ACCII,US,0.006,AZ,PHEV.ACCII
Arizona,2020,ICE,313531.065341536,ACCII,US,313.531065341536,AZ,ICE.ACCII
Arizona,2021,BEV,23,ACCII,US,0.023,AZ,BEV.ACCII
Arizona,2021,PHEV,10,ACCII,US,0.01,AZ,PHEV.ACCII
Arizona,2021,ICE,307156.042596282,ACCII,US,307.15604259628196,AZ,ICE.ACCII
Arizona,2022,BEV,38,ACCII,US,0.038,AZ,BEV.ACCII
Arizona,2022,PHEV,18,ACCII,US,0.018,AZ,PHEV.ACCII
Arizona,2022,ICE,301375.766586292,ACCII,US,301.375766586292,AZ,ICE.ACCII
Arizona,2023,BEV,67,ACCII,US,0.067,AZ,BEV.ACCII
Arizona,2023,PHEV,28,ACCII,US,0.028,AZ,PHEV.ACCII
Arizona,2023,ICE,296046.684075578,ACCII,US,296.046684075578,AZ,ICE.ACCII
Arizona,2024,BEV,107,ACCII,US,0.107,AZ,BEV.ACCII
Arizona,2024,PHEV,50,ACCII,US,0.05,AZ,PHEV.ACCII
Arizona,2024,ICE,291248.052084968,ACCII,US,291.24805208496804,AZ,ICE.ACCII
Arizona,2025,BEV,178,ACCII,US,0.178,AZ,BEV.ACCII
Arizona,2025,PHEV,74,ACCII,US,0.074,AZ,PHEV.ACCII
Arizona,2025,ICE,286937.347854201,ACCII,US,286.937347854201,AZ,ICE.ACCII
Arizona,2026,BEV,357,ACCII,US,0.357,AZ,BEV.ACCII
Arizona,2026,PHEV,172,ACCII,US,0.172,AZ,PHEV.ACCII
Arizona,2026,ICE,283384.441875186,ACCII,US,283.384441875186,AZ,ICE.ACCII
Arizona,2027,BEV,610,ACCII,US,0.61,AZ,BEV.ACCII
Arizona,2027,PHEV,282,ACCII,US,0.282,AZ,PHEV.ACCII
Arizona,2027,ICE,280379.297227324,ACCII,US,280.379297227324,AZ,ICE.ACCII
Arizona,2028,BEV,967,ACCII,US,0.967,AZ,BEV.ACCII
Arizona,2028,PHEV,467,ACCII,US,0.467,AZ,PHEV.ACCII
Arizona,2028,ICE,277886.775411932,ACCII,US,277.886775411932,AZ,ICE.ACCII
Arizona,2029,BEV,1467,ACCII,US,1.467,AZ,BEV.ACCII
Arizona,2029,PHEV,690,ACCII,US,0.69,AZ,PHEV.ACCII
Arizona,2029,ICE,275861.775878938,ACCII,US,275.861775878938,AZ,ICE.ACCII
Arizona,2030,BEV,2329,ACCII,US,2.329,AZ,BEV.ACCII
Arizona,2030,PHEV,969,ACCII,US,0.969,AZ,PHEV.ACCII
Arizona,2030,ICE,274204.853790875,ACCII,US,274.204853790875,AZ,ICE.ACCII
Arizona,2031,BEV,3385,ACCII,US,3.385,AZ,BEV.ACCII
Arizona,2031,PHEV,1216,ACCII,US,1.216,AZ,PHEV.ACCII
Arizona,2031,ICE,272812.619069276,ACCII,US,272.812619069276,AZ,ICE.ACCII
Arizona,2032,BEV,4758,ACCII,US,4.758,AZ,BEV.ACCII
Arizona,2032,PHEV,1480,ACCII,US,1.48,AZ,PHEV.ACCII
Arizona,2032,ICE,271551.438129095,ACCII,US,271.551438129095,AZ,ICE.ACCII
Arizona,2033,BEV,6780,ACCII,US,6.78,AZ,BEV.ACCII
Arizona,2033,PHEV,1910,ACCII,US,1.91,AZ,PHEV.ACCII
Arizona,2033,ICE,270320.89563595,ACCII,US,270.32089563594997,AZ,ICE.ACCII
Arizona,2034,BEV,9599,ACCII,US,9.599,AZ,BEV.ACCII
Arizona,2034,PHEV,2418,ACCII,US,2.418,AZ,PHEV.ACCII
Arizona,2034,ICE,268997.465969484,ACCII,US,268.997465969484,AZ,ICE.ACCII
Arizona,2035,BEV,13296,ACCII,US,13.296,AZ,BEV.ACCII
Arizona,2035,PHEV,3109,ACCII,US,3.109,AZ,PHEV.ACCII
Arizona,2035,ICE,267533.33316252,ACCII,US,267.53333316252,AZ,ICE.ACCII
Arizona,2036,BEV,17623,ACCII,US,17.623,AZ,BEV.ACCII
Arizona,2036,PHEV,3948,ACCII,US,3.948,AZ,PHEV.ACCII
Arizona,2036,ICE,265859.125887727,ACCII,US,265.85912588772703,AZ,ICE.ACCII
Arizona,2037,BEV,21891,ACCII,US,21.891,AZ,BEV.ACCII
Arizona,2037,PHEV,4762,ACCII,US,4.762,AZ,PHEV.ACCII
Arizona,2037,ICE,263906.519162854,ACCII,US,263.906519162854,AZ,ICE.ACCII
Arizona,2038,BEV,26757,ACCII,US,26.757,AZ,BEV.ACCII
Arizona,2038,PHEV,5691,ACCII,US,5.691,AZ,PHEV.ACCII
Arizona,2038,ICE,261606.29817089,ACCII,US,261.60629817089,AZ,ICE.ACCII
Arizona,2039,BEV,32318,ACCII,US,32.318,AZ,BEV.ACCII
Arizona,2039,PHEV,6828,ACCII,US,6.828,AZ,PHEV.ACCII
Arizona,2039,ICE,258887.057057434,ACCII,US,258.887057057434,AZ,ICE.ACCII
Arizona,2040,BEV,38756,ACCII,US,38.756,AZ,BEV.ACCII
Arizona,2040,PHEV,8032,ACCII,US,8.032,AZ,PHEV.ACCII
Arizona,2040,ICE,255676.322524028,ACCII,US,255.676322524028,AZ,ICE.ACCII
Arizona,2041,BEV,46266,ACCII,US,46.266,AZ,BEV.ACCII
Arizona,2041,PHEV,9503,ACCII,US,9.503,AZ,PHEV.ACCII
Arizona,2041,ICE,251963.007636532,ACCII,US,251.963007636532,AZ,ICE.ACCII
Arizona,2042,BEV,54991,ACCII,US,54.991,AZ,BEV.ACCII
Arizona,2042,PHEV,11164,ACCII,US,11.164,AZ,PHEV.ACCII
Arizona,2042,ICE,247614.536505165,ACCII,US,247.61453650516498,AZ,ICE.ACCII
Arizona,2043,BEV,64915,ACCII,US,64.915,AZ,BEV.ACCII
Arizona,2043,PHEV,13152,ACCII,US,13.152,AZ,PHEV.ACCII
Arizona,2043,ICE,242594.023092048,ACCII,US,242.59402309204802,AZ,ICE.ACCII
Arizona,2044,BEV,75817,ACCII,US,75.817,AZ,BEV.ACCII
Arizona,2044,PHEV,15434,ACCII,US,15.434,AZ,PHEV.ACCII
Arizona,2044,ICE,236892.273348437,ACCII,US,236.89227334843702,AZ,ICE.ACCII
Arizona,2045,BEV,87912,ACCII,US,87.912,AZ,BEV.ACCII
Arizona,2045,PHEV,17885,ACCII,US,17.885,AZ,PHEV.ACCII
Arizona,2045,ICE,230542.147305833,ACCII,US,230.542147305833,AZ,ICE.ACCII
Arizona,2046,BEV,100470,ACCII,US,100.47,AZ,BEV.ACCII
Arizona,2046,PHEV,20331,ACCII,US,20.331,AZ,PHEV.ACCII
Arizona,2046,ICE,223613.522617045,ACCII,US,223.613522617045,AZ,ICE.ACCII
Arizona,2047,BEV,113202,ACCII,US,113.202,AZ,BEV.ACCII
Arizona,2047,PHEV,22602,ACCII,US,22.602,AZ,PHEV.ACCII
Arizona,2047,ICE,216194.381855259,ACCII,US,216.194381855259,AZ,ICE.ACCII
Arizona,2048,BEV,125766,ACCII,US,125.766,AZ,BEV.ACCII
Arizona,2048,PHEV,24580,ACCII,US,24.58,AZ,PHEV.ACCII
Arizona,2048,ICE,208426.444750052,ACCII,US,208.426444750052,AZ,ICE.ACCII
Arizona,2049,BEV,137820,ACCII,US,137.82,AZ,BEV.ACCII
Arizona,2049,PHEV,26165,ACCII,US,26.165,AZ,PHEV.ACCII
Arizona,2049,ICE,200448.534827632,ACCII,US,200.448534827632,AZ,ICE.ACCII
Arizona,2050,BEV,149123,ACCII,US,149.123,AZ,BEV.ACCII
Arizona,2050,PHEV,27327,ACCII,US,27.327,AZ,PHEV.ACCII
Arizona,2050,ICE,192420.669746235,ACCII,US,192.420669746235,AZ,ICE.ACCII
Arkansas,2020,BEV,0,ACCII,US,0,AR,BEV.ACCII
Arkansas,2020,PHEV,0,ACCII,US,0,AR,PHEV.ACCII
Arkansas,2020,ICE,117284.33763822,ACCII,US,117.28433763822,AR,ICE.ACCII
Arkansas,2021,BEV,0,ACCII,US,0,AR,BEV.ACCII
Arkansas,2021,PHEV,0,ACCII,US,0,AR,PHEV.ACCII
Arkansas,2021,ICE,117176.202483626,ACCII,US,117.176202483626,AR,ICE.ACCII
Arkansas,2022,BEV,0,ACCII,US,0,AR,BEV.ACCII
Arkansas,2022,PHEV,1,ACCII,US,0.001,AR,PHEV.ACCII
Arkansas,2022,ICE,116889.315770925,ACCII,US,116.889315770925,AR,ICE.ACCII
Arkansas,2023,BEV,0,ACCII,US,0,AR,BEV.ACCII
Arkansas,2023,PHEV,1,ACCII,US,0.001,AR,PHEV.ACCII
Arkansas,2023,ICE,116398.613949543,ACCII,US,116.39861394954299,AR,ICE.ACCII
