Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2042,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2042,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2043,12.02240953510418,LIB demand,Increase LIB Capacity,Policy Baseline
2043,6.667471755398739,LIB demand,Decrease LIB Capacity,Policy Baseline
2043,11.625435745993013,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2043,6.429544753394109,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2043,7.339141629335326,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2043,4.058973838771893,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2043,3.4138835239709144,EoL batteries,Increase LIB Capacity,Policy Baseline
2043,2.4835000668320504,EoL batteries,Decrease LIB Capacity,Policy Baseline
2043,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2043,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2044,12.350321912707953,LIB demand,Increase LIB Capacity,Policy Baseline
2044,6.8469204428359625,LIB demand,Decrease LIB Capacity,Policy Baseline
2044,11.949472552229276,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2044,6.606694203683279,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2044,7.543706177800113,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2044,4.170808348345372,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2044,3.993810085924701,EoL batteries,Increase LIB Capacity,Policy Baseline
2044,2.8133875083971835,EoL batteries,Decrease LIB Capacity,Policy Baseline
2044,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2044,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2045,12.652316114922156,LIB demand,Increase LIB Capacity,Policy Baseline
2045,7.0112712463414235,LIB demand,Decrease LIB Capacity,Policy Baseline
2045,12.248284553089242,Pack Mfg.,Increase LIB Capacity,Policy Baseline
2045,6.769162275058484,Pack Mfg.,Decrease LIB Capacity,Policy Baseline
2045,7.732346297858596,Cell Mfg.,Increase LIB Capacity,Policy Baseline
2045,4.273374498304831,Cell Mfg.,Decrease LIB Capacity,Policy Baseline
2045,4.6212889972040605,EoL batteries,Increase LIB Capacity,Policy Baseline
2045,3.1559708877727037,EoL batteries,Decrease LIB Capacity,Policy Baseline
2045,0.91838736185,Preprocessing (black mass prod.),Installed,Policy Baseline
2045,1.402880881403,Materials recovery (refining),Installed,Policy Baseline
2046,12.934069023866998,LIB demand,Increase LIB Capacity,Policy Baseline
2046,7.163828617194425,LIB demand,Decrease LIB Capacity,Policy Baseline
2046,12.527042722147312,Pack Mfg.,Increase LIB Capacity,Policy Baseline
