Year,Scenario,Powertrain,Value,Value_thousands,Group,Flow
2034,Repeal,BEV,117137,117.137,BEV_Repeal,Retirements
2034,Repeal,PHEV,41589,41.589,PHEV_Repeal,Retirements
2034,Repeal,ICE,1598578.12801646,1598.57812801646,ICE_Repeal,Retirements
2035,Repeal,BEV,157253,157.253,BEV_Repeal,Retirements
2035,Repeal,PHEV,45228,45.228,PHEV_Repeal,Retirements
2035,Repeal,ICE,1579645.52708838,1579.64552708838,ICE_Repeal,Retirements
2036,Repeal,BEV,201678,201.678,BEV_Repeal,Retirements
2036,Repeal,PHEV,48951,48.951,PHEV_Repeal,Retirements
2036,Repeal,ICE,1557772.4462975,1557.7724462975,ICE_Repeal,Retirements
2037,Repeal,BEV,266965,266.965,BEV_Repeal,Retirements
2037,Repeal,PHEV,56124,56.124,PHEV_Repeal,Retirements
2037,Repeal,ICE,1533400.44113869,1533.4004411386902,ICE_Repeal,Retirements
2038,Repeal,BEV,303845,303.845,BEV_Repeal,Retirements
2038,Repeal,PHEV,59735,59.735,PHEV_Repeal,Retirements
2038,Repeal,ICE,1506983.34121657,1506.98334121657,ICE_Repeal,Retirements
2039,Repeal,BEV,335375,335.375,BEV_Repeal,Retirements
2039,Repeal,PHEV,63902,63.902,PHEV_Repeal,Retirements
2039,Repeal,ICE,1478791.522918,1478.7915229179998,ICE_Repeal,Retirements
2040,Repeal,BEV,360212,360.212,BEV_Repeal,Retirements
2040,Repeal,PHEV,67558,67.558,PHEV_Repeal,Retirements
2040,Repeal,ICE,1448977.9922394,1448.9779922394,ICE_Repeal,Retirements
2041,Repeal,BEV,380260,380.26,BEV_Repeal,Retirements
2041,Repeal,PHEV,71794,71.794,PHEV_Repeal,Retirements
2041,Repeal,ICE,1417621.12202377,1417.6211220237699,ICE_Repeal,Retirements
2042,Repeal,BEV,401373,401.373,BEV_Repeal,Retirements
2042,Repeal,PHEV,76667,76.667,PHEV_Repeal,Retirements
2042,Repeal,ICE,1384437.42099705,1384.43742099705,ICE_Repeal,Retirements
2043,Repeal,BEV,429210,429.21,BEV_Repeal,Retirements
2043,Repeal,PHEV,83469,83.469,PHEV_Repeal,Retirements
2043,Repeal,ICE,1349232.41843586,1349.23241843586,ICE_Repeal,Retirements
2044,Repeal,BEV,468062,468.062,BEV_Repeal,Retirements
2044,Repeal,PHEV,92784,92.784,PHEV_Repeal,Retirements
2044,Repeal,ICE,1311831.07871955,1311.83107871955,ICE_Repeal,Retirements
2045,Repeal,BEV,520425,520.425,BEV_Repeal,Retirements
2045,Repeal,PHEV,104125,104.125,PHEV_Repeal,Retirements
2045,Repeal,ICE,1272191.66251784,1272.19166251784,ICE_Repeal,Retirements
2046,Repeal,BEV,581312,581.312,BEV_Repeal,Retirements
2046,Repeal,PHEV,116314,116.314,PHEV_Repeal,Retirements
2046,Repeal,ICE,1230450.37919059,1230.45037919059,ICE_Repeal,Retirements
2047,Repeal,BEV,647439,647.439,BEV_Repeal,Retirements
2047,Repeal,PHEV,128236,128.236,PHEV_Repeal,Retirements
2047,Repeal,ICE,1186801.06143354,1186.8010614335399,ICE_Repeal,Retirements
2048,Repeal,BEV,715361,715.361,BEV_Repeal,Retirements
