Geography,Scope,Mineral,Scenario effect,Year,Reference maximum RCS (%),Change (percentage points),Resulting maximum RCS (%)
United States,US-origin / US network,Manganese,ΔChemistry,2040,11.133982957306712,4.411146650473961,15.545129607780673
United States,US-origin / US network,Manganese,ΔChemistry,2045,27.093344503114057,6.893533507417249,33.986878010531306
United States,US-origin / US network,Manganese,ΔChemistry,2050,47.25789062939012,6.0856561472226005,53.34354677661272
United States,US-origin / US network,Cobalt,ΔPolicy,2030,1.3513618100125429,0.4048839911550215,1.7562458011675643
United States,US-origin / US network,Cobalt,ΔPolicy,2035,3.9703461191063436,0.6034088684481942,4.573754987554538
United States,US-origin / US network,Cobalt,ΔPolicy,2040,14.916905591670815,0.2649227660304927,15.181828357701308
United States,US-origin / US network,Cobalt,ΔPolicy,2045,31.024442595642054,-2.6770302802263437,28.34741231541571
United States,US-origin / US network,Cobalt,ΔPolicy,2050,51.10717880441926,-3.3074413776036096,47.79973742681565
United States,US-origin / US network,Cobalt,ΔCapacity,2030,1.3513618100125429,0.48206337342070915,1.833425183433252
United States,US-origin / US network,Cobalt,ΔCapacity,2035,3.9703461191063436,2.5746681564404668,6.54501427554681
United States,US-origin / US network,Cobalt,ΔCapacity,2040,14.916905591670815,9.384751776374149,24.301657368044964
United States,US-origin / US network,Cobalt,ΔCapacity,2045,31.024442595642054,10.639518827185785,41.66396142282784
United States,US-origin / US network,Cobalt,ΔCapacity,2050,51.10717880441926,6.356498061363311,57.463676865782574
United States,US-origin / US network,Cobalt,ΔChemistry,2030,1.3513618100125429,0.25919509351526293,1.6105569035278058
United States,US-origin / US network,Cobalt,ΔChemistry,2035,3.9703461191063436,1.3144994206867917,5.284845539793135
United States,US-origin / US network,Cobalt,ΔChemistry,2040,14.916905591670815,6.244269298317622,21.161174889988438
United States,US-origin / US network,Cobalt,ΔChemistry,2045,31.024442595642054,8.2522490197297,39.27669161537175
United States,US-origin / US network,Cobalt,ΔChemistry,2050,51.10717880441926,6.804849871508232,57.912028675927495
United States,US-origin / US network,Lithium,ΔPolicy,2030,1.024504746476817,0.23460798877863298,1.25911273525545
United States,US-origin / US network,Lithium,ΔPolicy,2035,3.340213907203033,0.48152701306118306,3.821740920264216
United States,US-origin / US network,Lithium,ΔPolicy,2040,11.099604524407699,0.6898829894836158,11.789487513891315
United States,US-origin / US network,Lithium,ΔPolicy,2045,23.80372709881015,-1.2700444489512286,22.53368264985892
United States,US-origin / US network,Lithium,ΔPolicy,2050,39.901179275272796,-1.8680982009235763,38.03308107434922
United States,US-origin / US network,Lithium,ΔCapacity,2030,1.024504746476817,0.31064743909910275,1.3351521855759199
United States,US-origin / US network,Lithium,ΔCapacity,2035,3.340213907203033,1.7651785537258098,5.105392460928843
United States,US-origin / US network,Lithium,ΔCapacity,2040,11.099604524407699,5.657060445864317,16.756664970272016
United States,US-origin / US network,Lithium,ΔCapacity,2045,23.80372709881015,6.811083203700381,30.61481030251053
United States,US-origin / US network,Lithium,ΔCapacity,2050,39.901179275272796,4.411174766421908,44.312354041694704
United States,US-origin / US network,Lithium,ΔChemistry,2030,1.024504746476817,0.014563056502536753,1.0390678029793539
United States,US-origin / US network,Lithium,ΔChemistry,2035,3.340213907203033,0.06811166869949625,3.4083255759025293
United States,US-origin / US network,Lithium,ΔChemistry,2040,11.099604524407699,0.22443816138933137,11.32404268579703
United States,US-origin / US network,Lithium,ΔChemistry,2045,23.80372709881015,0.2874581715884865,24.091185270398636
United States,US-origin / US network,Lithium,ΔChemistry,2050,39.901179275272796,0.20328610967525407,40.10446538494805
United States,US-origin / US network,Graphite,ΔPolicy,2030,1.1400325177455704,0.24963333048236658,1.389665848227937
United States,US-origin / US network,Graphite,ΔPolicy,2035,3.7683204260639647,0.5398401849272512,4.308160610991216
United States,US-origin / US network,Graphite,ΔPolicy,2040,12.336997335799664,0.8337659450619466,13.17076328086161
United States,US-origin / US network,Graphite,ΔPolicy,2045,26.552226402251826,-1.307593910050386,25.24463249220144
United States,US-origin / US network,Graphite,ΔPolicy,2050,44.54201875659744,-1.9929074570877674,42.549111299509676
United States,US-origin / US network,Graphite,ΔCapacity,2030,1.1400325177455704,0.33658967717884636,1.4766221949244167
United States,US-origin / US network,Graphite,ΔCapacity,2035,3.7683204260639647,1.9339014915496575,5.702221917613622
United States,US-origin / US network,Graphite,ΔCapacity,2040,12.336997335799664,6.0987882661519155,18.43578560195158
United States,US-origin / US network,Graphite,ΔCapacity,2045,26.552226402251826,7.411454975323416,33.96368137757524
United States,US-origin / US network,Graphite,ΔCapacity,2050,44.54201875659744,4.8547459045648935,49.39676466116234
United States,US-origin / US network,Graphite,ΔChemistry,2030,1.1400325177455704,-0.007868792583222595,1.1321637251623478
United States,US-origin / US network,Graphite,ΔChemistry,2035,3.7683204260639647,-0.03896376095138354,3.729356665112581
United States,US-origin / US network,Graphite,ΔChemistry,2040,12.336997335799664,-0.13789750630790287,12.199099829491761
United States,US-origin / US network,Graphite,ΔChemistry,2045,26.552226402251826,-0.19318561989698324,26.359040782354842
United States,US-origin / US network,Graphite,ΔChemistry,2050,44.54201875659744,-0.1548560105640746,44.38716274603337
United States,US-origin / US network,Copper,ΔPolicy,2030,1.231870113757575,0.25361750798459615,1.485487621742171
United States,US-origin / US network,Copper,ΔPolicy,2035,4.111280052897484,0.589040793597194,4.700320846494678
United States,US-origin / US network,Copper,ΔPolicy,2040,13.189109044526589,1.027845841735859,14.216954886262448
United States,US-origin / US network,Copper,ΔPolicy,2045,28.3491895473567,-1.1745420884432534,27.174647458913448
United States,US-origin / US network,Copper,ΔPolicy,2050,47.07971986765946,-1.9097993521571155,45.16992051550235
United States,US-origin / US network,Copper,ΔCapacity,2030,1.231870113757575,0.3514767048553029,1.5833468186128778
United States,US-origin / US network,Copper,ΔCapacity,2035,4.111280052897484,2.022701325508315,6.1339813784057995
United States,US-origin / US network,Copper,ΔCapacity,2040,13.189109044526589,6.221451016401179,19.410560060927768
United States,US-origin / US network,Copper,ΔCapacity,2045,28.3491895473567,7.633980591150525,35.98317013850723
United States,US-origin / US network,Copper,ΔCapacity,2050,47.07971986765946,5.034763636868192,52.114483504527655
United States,US-origin / US network,Copper,ΔChemistry,2030,1.231870113757575,-0.05063080529194108,1.1812393084656339
United States,US-origin / US network,Copper,ΔChemistry,2035,4.111280052897484,-0.2528877194620245,3.85839233343546
United States,US-origin / US network,Copper,ΔChemistry,2040,13.189109044526589,-0.875412102448502,12.313696942078087
United States,US-origin / US network,Copper,ΔChemistry,2045,28.3491895473567,-1.2548913746838082,27.094298172672893
United States,US-origin / US network,Copper,ΔChemistry,2050,47.07971986765946,-1.0084829537543385,46.071236913905125
North America,North America-origin / NA network,Nickel,ΔPolicy,2030,1.076652122357384,0.3771011572450651,1.453753279602449
North America,North America-origin / NA network,Nickel,ΔPolicy,2035,3.5348991207763976,0.6533525545983525,4.18825167537475
North America,North America-origin / NA network,Nickel,ΔPolicy,2040,13.277809250762473,0.4860770366921532,13.763886287454627
North America,North America-origin / NA network,Nickel,ΔPolicy,2045,29.21600260998039,-2.149703346372636,27.066299263607753
North America,North America-origin / NA network,Nickel,ΔPolicy,2050,52.21724440087957,-3.253091286076419,48.96415311480315
North America,North America-origin / NA network,Nickel,ΔCapacity,2030,1.076652122357384,0.3714230967776282,1.4480752191350121
North America,North America-origin / NA network,Nickel,ΔCapacity,2035,3.5348991207763976,2.207348632571461,5.742247753347859
North America,North America-origin / NA network,Nickel,ΔCapacity,2040,13.277809250762473,8.019642620010849,21.297451870773322
North America,North America-origin / NA network,Nickel,ΔCapacity,2045,29.21600260998039,9.488719647178836,38.704722257159226
North America,North America-origin / NA network,Nickel,ΔCapacity,2050,52.21724440087957,6.176159328104866,58.39340372898444
North America,North America-origin / NA network,Nickel,ΔChemistry,2030,1.076652122357384,0.20098050718250748,1.2776326295398914
North America,North America-origin / NA network,Nickel,ΔChemistry,2035,3.5348991207763976,1.1321892647590182,4.667088385535416
North America,North America-origin / NA network,Nickel,ΔChemistry,2040,13.277809250762473,5.341662630818586,18.61947188158106
North America,North America-origin / NA network,Nickel,ΔChemistry,2045,29.21600260998039,7.394971449745864,36.61097405972625
North America,North America-origin / NA network,Nickel,ΔChemistry,2050,52.21724440087957,6.513550296964141,58.73079469784371
North America,North America-origin / NA network,Manganese,ΔPolicy,2030,1.0265464501395765,0.36052230824946796,1.3870687583890444
North America,North America-origin / NA network,Manganese,ΔPolicy,2035,2.9349833082488517,0.4861052277720854,3.421088536020937
North America,North America-origin / NA network,Manganese,ΔPolicy,2040,11.931778858800778,0.25498436248853373,12.186763221289311
North America,North America-origin / NA network,Manganese,ΔPolicy,2045,29.432699504103127,-2.2331287694504596,27.199570734652667
North America,North America-origin / NA network,Manganese,ΔPolicy,2050,52.36284729030647,-3.250984598467788,49.11186269183868
North America,North America-origin / NA network,Manganese,ΔCapacity,2030,1.0265464501395765,0.3524363148912557,1.3789827650308322
North America,North America-origin / NA network,Manganese,ΔCapacity,2035,2.9349833082488517,1.7433486819737367,4.678331990222588
North America,North America-origin / NA network,Manganese,ΔCapacity,2040,11.931778858800778,6.812731662807225,18.744510521608003
North America,North America-origin / NA network,Manganese,ΔCapacity,2045,29.432699504103127,9.35626710399147,38.7889666080946
North America,North America-origin / NA network,Manganese,ΔCapacity,2050,52.36284729030647,6.189010634187184,58.55185792449365
North America,North America-origin / NA network,Manganese,ΔChemistry,2030,1.0265464501395765,0.1910336337107288,1.2175800838503053
North America,North America-origin / NA network,Manganese,ΔChemistry,2035,2.9349833082488517,0.9119305425028812,3.846913850751733
North America,North America-origin / NA network,Manganese,ΔChemistry,2040,11.931778858800778,4.63237837883351,16.564157237634287
North America,North America-origin / NA network,Manganese,ΔChemistry,2045,29.432699504103127,7.3233304953005955,36.75602999940372
North America,North America-origin / NA network,Manganese,ΔChemistry,2050,52.36284729030647,6.497158283478036,58.860005573784505
North America,North America-origin / NA network,Cobalt,ΔPolicy,2030,1.3159097155278527,0.4782160572581,1.7941257727859528
North America,North America-origin / NA network,Cobalt,ΔPolicy,2035,4.079076900334414,0.7780129691970137,4.8570898695314275
North America,North America-origin / NA network,Cobalt,ΔPolicy,2040,15.865112886110397,0.5305300080212891,16.395642894131687
North America,North America-origin / NA network,Cobalt,ΔPolicy,2045,33.703587877126566,-2.567843159081221,31.135744718045345
North America,North America-origin / NA network,Cobalt,ΔPolicy,2050,56.671652828026865,-3.604239640538175,53.06741318748869
North America,North America-origin / NA network,Cobalt,ΔCapacity,2030,1.3159097155278527,0.46562080289971863,1.7815305184275714
North America,North America-origin / NA network,Cobalt,ΔCapacity,2035,4.079076900334414,2.6155181743224754,6.694595074656889
North America,North America-origin / NA network,Cobalt,ΔCapacity,2040,15.865112886110397,9.80959619105142,25.67470907716182
North America,North America-origin / NA network,Cobalt,ΔCapacity,2045,33.703587877126566,11.397194920800295,45.10078279792686
North America,North America-origin / NA network,Cobalt,ΔCapacity,2050,56.671652828026865,7.0294299908060225,63.70108281883289
North America,North America-origin / NA network,Cobalt,ΔChemistry,2030,1.3159097155278527,0.2504222544932415,1.5663319700210943
North America,North America-origin / NA network,Cobalt,ΔChemistry,2035,4.079076900334414,1.333993742124278,5.413070642458692
North America,North America-origin / NA network,Cobalt,ΔChemistry,2040,15.865112886110397,6.5213958864847985,22.386508772595196
