Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand,Capacity key,Chemistry key,Percent
2047,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0375331450498987,Increasing Batt Cap,High LFP Chemistry,3.75331450498987
2047,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5133444919693831,Increasing Batt Cap,High LFP Chemistry,51.334449196938316
2048,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.035719665288807,Increasing Batt Cap,High LFP Chemistry,3.5719665288807
2048,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.5578520183231029,Increasing Batt Cap,High LFP Chemistry,55.78520183231029
2049,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0341215035965414,Increasing Batt Cap,High LFP Chemistry,3.41215035965414
2049,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6012659906278108,Increasing Batt Cap,High LFP Chemistry,60.12659906278108
2050,Increasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0326941894956366,Increasing Batt Cap,High LFP Chemistry,3.26941894956366
2050,Increasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.6401432888296602,Increasing Batt Cap,High LFP Chemistry,64.01432888296603
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0050712916045319,Decreasing Batt Cap,Benchmark Chemistry,0.50712916045319
2026,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0050712916045319,Decreasing Batt Cap,Benchmark Chemistry,0.50712916045319
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0065937176734029,Decreasing Batt Cap,Benchmark Chemistry,0.65937176734029
2027,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0065937176734029,Decreasing Batt Cap,Benchmark Chemistry,0.65937176734029
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0095002576642681,Decreasing Batt Cap,Benchmark Chemistry,0.95002576642681
2028,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.0095002576642681,Decreasing Batt Cap,Benchmark Chemistry,0.95002576642681
2029,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0133047770321177,Decreasing Batt Cap,Benchmark Chemistry,1.3304777032117698
