State,Year,Powertrain,Value,Scenario,Country,Value_thousands,code,Group
Arizona,2042,BEV,208327.806262059,ACCII,US,208.327806262059,AZ,BEV.ACCII
Arizona,2042,PHEV,28383.4066890607,ACCII,US,28.3834066890607,AZ,PHEV.ACCII
Arizona,2042,ICE,116537.524601399,ACCII,US,116.537524601399,AZ,ICE.ACCII
Arizona,2043,BEV,215551.553017087,ACCII,US,215.551553017087,AZ,BEV.ACCII
Arizona,2043,PHEV,28420.6239173615,ACCII,US,28.4206239173615,AZ,PHEV.ACCII
Arizona,2043,ICE,116168.047204952,ACCII,US,116.168047204952,AZ,ICE.ACCII
Arizona,2044,BEV,222912.474165655,ACCII,US,222.912474165655,AZ,BEV.ACCII
Arizona,2044,PHEV,28497.6441289807,ACCII,US,28.4976441289807,AZ,PHEV.ACCII
Arizona,2044,ICE,116212.356101155,ACCII,US,116.21235610115501,AZ,ICE.ACCII
Arizona,2045,BEV,230455.171029432,ACCII,US,230.455171029432,AZ,BEV.ACCII
Arizona,2045,PHEV,28641.428715092,ACCII,US,28.641428715091998,AZ,PHEV.ACCII
Arizona,2045,ICE,116721.748608663,ACCII,US,116.72174860866299,AZ,ICE.ACCII
Arizona,2046,BEV,238046.316496109,ACCII,US,238.046316496109,AZ,BEV.ACCII
Arizona,2046,PHEV,28756.9858780853,ACCII,US,28.7569858780853,AZ,PHEV.ACCII
Arizona,2046,ICE,117090.421290202,ACCII,US,117.09042129020199,AZ,ICE.ACCII
Arizona,2047,BEV,245409.504352429,ACCII,US,245.409504352429,AZ,BEV.ACCII
Arizona,2047,PHEV,28873.136977314,ACCII,US,28.873136977314,AZ,PHEV.ACCII
Arizona,2047,ICE,117194.941572869,ACCII,US,117.194941572869,AZ,ICE.ACCII
Arizona,2048,BEV,252060.243679394,ACCII,US,252.060243679394,AZ,BEV.ACCII
Arizona,2048,PHEV,28920.8399698245,ACCII,US,28.920839969824502,AZ,PHEV.ACCII
Arizona,2048,ICE,117270.562148187,ACCII,US,117.270562148187,AZ,ICE.ACCII
Arizona,2049,BEV,257946.965825287,ACCII,US,257.946965825287,AZ,BEV.ACCII
Arizona,2049,PHEV,28917.514720687,ACCII,US,28.917514720687,AZ,PHEV.ACCII
Arizona,2049,ICE,117048.255329011,ACCII,US,117.048255329011,AZ,ICE.ACCII
Arizona,2050,BEV,263045.062781198,ACCII,US,263.045062781198,AZ,BEV.ACCII
Arizona,2050,PHEV,28801.0734962712,ACCII,US,28.8010734962712,AZ,PHEV.ACCII
Arizona,2050,ICE,116503.734516119,ACCII,US,116.503734516119,AZ,ICE.ACCII
Arkansas,2020,BEV,365.171664420485,ACCII,US,0.365171664420485,AR,BEV.ACCII
Arkansas,2020,PHEV,150.675585284281,ACCII,US,0.150675585284281,AR,PHEV.ACCII
Arkansas,2020,ICE,95486,ACCII,US,95.486,AR,ICE.ACCII
Arkansas,2021,BEV,870.901380006732,ACCII,US,0.870901380006732,AR,BEV.ACCII
Arkansas,2021,PHEV,480.013997879109,ACCII,US,0.48001399787910903,AR,PHEV.ACCII
Arkansas,2021,ICE,102050,ACCII,US,102.05,AR,ICE.ACCII
Arkansas,2022,BEV,1751.09943458764,ACCII,US,1.75109943458764,AR,BEV.ACCII
Arkansas,2022,PHEV,560.740058344849,ACCII,US,0.560740058344849,AR,PHEV.ACCII
Arkansas,2022,ICE,96204,ACCII,US,96.204,AR,ICE.ACCII
Arkansas,2023,BEV,2422.28482581655,ACCII,US,2.42228482581655,AR,BEV.ACCII
Arkansas,2023,PHEV,803.797880646961,ACCII,US,0.8037978806469609,AR,PHEV.ACCII
Arkansas,2023,ICE,102762,ACCII,US,102.762,AR,ICE.ACCII
Arkansas,2024,BEV,2733.39346757709,ACCII,US,2.7333934675770903,AR,BEV.ACCII
Arkansas,2024,PHEV,925.322922476297,ACCII,US,0.925322922476297,AR,PHEV.ACCII
Arkansas,2024,ICE,100907,ACCII,US,100.907,AR,ICE.ACCII
Arkansas,2025,BEV,9456.86655903938,ACCII,US,9.45686655903938,AR,BEV.ACCII
