"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2029,"NY",106.372323393706,106.372323393706,2021.07414448042,2021.07414448042,123.908453436033,123.908453436033,1353.45501108037,1353.45501108037
2030,"NY",6914.2010205909,6914.2010205909,131369.819391227,131369.819391227,114.052459460667,114.052459460667,1363.31100505574,1363.31100505574
2031,"NY",6914.2010205909,6914.2010205909,131369.819391227,131369.819391227,114.052459460667,114.052459460667,1363.31100505574,1363.31100505574
2032,"NY",6914.2010205909,6914.2010205909,131369.819391227,131369.819391227,130.162632204707,114.052459460667,1587.55710479043,1363.31100505574
2033,"NY",7275.01753263758,6914.2010205909,138602.784275119,131369.819391227,145.638992310433,114.052459460667,1885.49355505391,1363.31100505574
2034,"NY",7950.5255246371,6914.2010205909,154531.544981081,131369.819391227,153.932018250432,120.600583137404,2096.30433392772,1446.35071695075
2035,"NY",8536.80774737702,6914.2010205909,171652.868469733,131369.819391227,161.330311315964,128.458504236257,2328.56438566173,1560.40710172874
2036,"NY",8810.4870182931,6914.2010205909,181014.890679987,131369.819391227,164.783868960498,132.498838230613,2455.56530146882,1626.35024899093
2037,"NY",9027.98802883547,6914.2010205909,189216.458616597,131369.819391227,167.528513358074,135.508133459118,2566.82402480989,1679.20487045255
2038,"NY",9211.97175923524,6914.2010205909,196757.512587554,131369.819391227,169.850203329205,138.028695441642,2669.12251748098,1726.1932964081
2039,"NY",9372.97235562977,6914.2010205909,203867.506259865,131369.819391227,171.881869222613,140.230269776191,2765.5734430916,1769.44061397708
2040,"NY",9511.0605592581,7013.43603738234,210388.11572184,133282.739606223,173.624403721716,142.106889692142,2854.02905179378,1808.0527487672
2041,"NY",9591.46868872166,7135.2157702462,214380.841931879,135707.763468937,174.639073591531,143.643627662737,2908.19255128714,1840.94951449816
2042,"NY",9711.2970345162,7308.01281466366,220620.396574558,139304.159269446,176.151187016364,145.824152887404,2992.83549872437,1889.73657673875
2043,"NY",9827.62018983415,7476.85758466042,227034.957930461,143007.318224319,177.619068456343,147.954804376682,3079.85250727281,1939.97193915148
2044,"NY",9940.71827860057,7640.53434410982,233639.71834648,146790.0387947,179.046252794178,150.020240761166,3169.44966936908,1991.28659808857
2045,"NY",10043.8553606489,7788.95537822232,240006.905974212,150397.443673187,180.34773922737,151.893165207556,3255.82402756616,2040.22300445098
2046,"NY",10146.630426838,7936.48592717625,246706.595208392,154163.318304978,181.644657383855,153.754852625229,3346.70895063672,2091.30913908206
2047,"NY",10234.5008541485,8063.85815930922,252738.540109795,157569.680780122,182.753493960885,155.36216232213,3428.53555918045,2137.51829605675
2048,"NY",10315.264005997,8184.278907008,258548.719182871,160931.524298261,183.772643856781,156.881751264265,3507.35379382165,2183.12352920138
