"Year","State_Province","Add_LIB_proj_tonnes","Add_LIB_15_tonnes","Add_LIB_proj_LFP_tonnes","Add_LIB_15_LFP_tonnes","Country","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid","Cumulative_black_mass_cap","Cumulative_refining_cap","Recycle_Batt_15","Recycle_Batt_15_LFP","Recycle_Batt_Proj","Recycle_Batt_Proj_LFP"
2050,"SD",30284.9246291041,18916.3438048255,31993.5019002043,19824.2373517218,"US",0,0,0,0,0,0,0,0,0,0,11525.9676882224,11915.6165694369,16660.0632340815,17346.7135739204
2050,"SK",37801.9756833464,20670.8031196428,40350.7873990409,22013.0745239035,"CA",0,0,0,0,0,0,0,0,0,0,11279.778312102,11873.3356364519,19248.715001304,20305.1079812888
2050,"TN",228661.643756056,145089.760659258,241458.859371664,152001.048415359,"US",58541.3059908291,46961.5559244328,1503856.38945168,934065.70062869,32356.5527572886,27807.0123894492,635165.766364759,394510.114620169,0,0,89628.455831892,92631.351985299,127674.396312596,132878.080915435
2050,"TX",1154370.41248666,730018.909860396,1219145.08876689,764906.712242638,"US",33736.7570199619,27063.4652692944,866657.085029785,538292.527804679,3370.47424555089,2896.56379056762,66163.1006629958,41094.8036062676,49000,363403.181704,429458.811494468,444133.10736325,616745.678511209,642259.301645391
2050,"UT",139899.598361845,88377.0223882445,147788.604458757,92637.3180375853,"US",0,0,0,0,0,0,0,0,0,0,50199.2145003063,51926.4049162084,72134.5791732663,75132.8708216818
2050,"VA",307439.386318131,192959.945865974,325066.203878846,202524.031046738,"US",642.604895618321,515.494576557989,16507.7540005673,10253.1910058034,0,0,0,0,0,0,120110.40050288,124360.473385896,173337.088085794,180667.040830913
2050,"VT",19805.5185793882,12339.4999923317,20937.7295403863,12945.8828258213,"US",0,0,0,0,0,0,0,0,0,0,8310.20845471238,8607.51722475176,12158.326091746,12678.3912915317
2050,"WA",308717.644225539,194718.316225838,326225.216808488,204196.970519831,"US",0,0,0,0,0,0,0,0,0,0,114939.037370402,118939.412814838,165374.585657225,172292.205673103
2050,"WI",166931.477812523,105759.738596667,176225.01077228,110744.975144723,"US",0,0,0,0,0,0,0,0,0,0,69411.3541911735,71708.6792471232,99034.4514053273,103045.012624296
2050,"WV",38264.4665416538,24515.9514380008,40337.9343600969,25621.1178962639,"US",0,0,0,0,5055.71136832634,4344.84568585144,99244.6509944936,61642.2054094015,0,0,17668.6281239114,18224.6060291389,24929.0046720833,25903.8796707047
2050,"WY",16456.330731795,10239.930038185,17382.3686338226,10728.1498048238,"US",0,0,0,0,0,0,0,0,0,0,6731.21995812779,6958.41927679108,9774.66947917418,10177.5763510142
2050,"YT",1558.76758560338,847.88015654873,1664.36625497665,903.41136341432,"CA",0,0,0,0,0,0,0,0,0,0,458.101779307694,483.252535415467,796.620498296298,841.436253106944
