"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2045,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",17.169103237743,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2045,"Increasing Batt Cap - Benchmark Chemistry","Refining",12.5517199139395,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2046,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",21.4138356222724,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2046,"Increasing Batt Cap - Benchmark Chemistry","Refining",16.3119587789159,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2047,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",26.2812157545623,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2047,"Increasing Batt Cap - Benchmark Chemistry","Refining",20.6948453916528,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2048,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",31.7778545331348,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2048,"Increasing Batt Cap - Benchmark Chemistry","Refining",25.7069906506723,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2049,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",37.8805180869671,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2049,"Increasing Batt Cap - Benchmark Chemistry","Refining",31.3251606849516,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2050,"Increasing Batt Cap - Benchmark Chemistry","Black Mass",44.5473307782161,"Increasing Batt Cap - Benchmark Chemistry - Black Mass"
2050,"Increasing Batt Cap - Benchmark Chemistry","Refining",37.5074798566476,"Increasing Batt Cap - Benchmark Chemistry - Refining"
2025,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2025,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2026,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2026,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2027,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2027,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2028,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2028,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2029,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2029,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2030,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2030,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2031,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2031,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2032,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2032,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2033,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2033,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2034,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2034,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2035,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0.0474261440742651,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2035,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2036,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0.285712867862682,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2036,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2037,"Increasing Batt Cap - High LFP Chemistry","Black Mass",0.750429182956998,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2037,"Increasing Batt Cap - High LFP Chemistry","Refining",0,"Increasing Batt Cap - High LFP Chemistry - Refining"
2038,"Increasing Batt Cap - High LFP Chemistry","Black Mass",1.51488135118014,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2038,"Increasing Batt Cap - High LFP Chemistry","Refining",0.279958648670145,"Increasing Batt Cap - High LFP Chemistry - Refining"
2039,"Increasing Batt Cap - High LFP Chemistry","Black Mass",2.57728112270623,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2039,"Increasing Batt Cap - High LFP Chemistry","Refining",0.857864900643228,"Increasing Batt Cap - High LFP Chemistry - Refining"
2040,"Increasing Batt Cap - High LFP Chemistry","Black Mass",3.97467003230946,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2040,"Increasing Batt Cap - High LFP Chemistry","Refining",1.77076029069346,"Increasing Batt Cap - High LFP Chemistry - Refining"
2041,"Increasing Batt Cap - High LFP Chemistry","Black Mass",5.74574484439381,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2041,"Increasing Batt Cap - High LFP Chemistry","Refining",3.05734158322481,"Increasing Batt Cap - High LFP Chemistry - Refining"
2042,"Increasing Batt Cap - High LFP Chemistry","Black Mass",7.93689859701295,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2042,"Increasing Batt Cap - High LFP Chemistry","Refining",4.76400181629095,"Increasing Batt Cap - High LFP Chemistry - Refining"
2043,"Increasing Batt Cap - High LFP Chemistry","Black Mass",10.5982428697493,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2043,"Increasing Batt Cap - High LFP Chemistry","Refining",6.94085256947426,"Increasing Batt Cap - High LFP Chemistry - Refining"
2044,"Increasing Batt Cap - High LFP Chemistry","Black Mass",13.7819326586734,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2044,"Increasing Batt Cap - High LFP Chemistry","Refining",9.6400488388454,"Increasing Batt Cap - High LFP Chemistry - Refining"
2045,"Increasing Batt Cap - High LFP Chemistry","Black Mass",17.5389916214638,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2045,"Increasing Batt Cap - High LFP Chemistry","Refining",12.9126142820828,"Increasing Batt Cap - High LFP Chemistry - Refining"
2046,"Increasing Batt Cap - High LFP Chemistry","Black Mass",21.9263963352314,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2046,"Increasing Batt Cap - High LFP Chemistry","Refining",16.8155254762974,"Increasing Batt Cap - High LFP Chemistry - Refining"
2047,"Increasing Batt Cap - High LFP Chemistry","Black Mass",26.97328017379,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2047,"Increasing Batt Cap - High LFP Chemistry","Refining",21.377915795303,"Increasing Batt Cap - High LFP Chemistry - Refining"
2048,"Increasing Batt Cap - High LFP Chemistry","Black Mass",32.6898972059394,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2048,"Increasing Batt Cap - High LFP Chemistry","Refining",26.6100393078994,"Increasing Batt Cap - High LFP Chemistry - Refining"
2049,"Increasing Batt Cap - High LFP Chemistry","Black Mass",39.0546538797667,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2049,"Increasing Batt Cap - High LFP Chemistry","Refining",32.4903024621737,"Increasing Batt Cap - High LFP Chemistry - Refining"
2050,"Increasing Batt Cap - High LFP Chemistry","Black Mass",46.0256128555862,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2050,"Increasing Batt Cap - High LFP Chemistry","Refining",38.9767679184402,"Increasing Batt Cap - High LFP Chemistry - Refining"
