State,Sale Year,Propulsion,Global Segment,Sales
Kansas,2015,BEV,Car,123.13164466642883
Kansas,2015,BEV,SUV,30.348911880128433
Kansas,2015,PHEV,Car,122.66141732283464
Kansas,2015,PHEV,SUV,50.75590551181102
Kentucky,2015,BEV,Car,102.60970388869069
Kentucky,2015,BEV,SUV,25.290759900107027
Kentucky,2015,PHEV,Car,110.39527559055118
Kentucky,2015,PHEV,SUV,45.68031496062992
Louisiana,2015,BEV,Car,82.08776311095255
Louisiana,2015,BEV,SUV,20.232607920085623
Louisiana,2015,PHEV,Car,61.33070866141732
Louisiana,2015,PHEV,SUV,25.37795275590551
Maine,2015,BEV,Car,61.56582233321441
Maine,2015,BEV,SUV,15.174455940064217
Maine,2015,PHEV,Car,122.66141732283464
Maine,2015,PHEV,SUV,50.75590551181102
Maryland,2015,BEV,Car,656.7021048876204
Maryland,2015,BEV,SUV,161.860863360685
Maryland,2015,PHEV,Car,613.3070866141733
Maryland,2015,PHEV,SUV,253.7795275590551
Massachusetts,2015,BEV,Car,738.789867998573
Massachusetts,2015,BEV,SUV,182.09347128077061
Massachusetts,2015,PHEV,Car,637.8393700787401
Massachusetts,2015,PHEV,SUV,263.9307086614173
Michigan,2015,BEV,Car,328.3510524438102
Michigan,2015,BEV,SUV,80.9304316803425
Michigan,2015,PHEV,Car,1422.8724409448819
Michigan,2015,PHEV,SUV,588.7685039370078
Minnesota,2015,BEV,Car,328.3510524438102
Minnesota,2015,BEV,SUV,80.9304316803425
Minnesota,2015,PHEV,Car,294.38740157480316
Minnesota,2015,PHEV,SUV,121.81417322834646
Mississippi,2015,BEV,Car,20.521940777738138
Mississippi,2015,BEV,SUV,5.058151980021406
Mississippi,2015,PHEV,Car,24.53228346456693
Mississippi,2015,PHEV,SUV,10.151181102362205
Missouri,2015,BEV,Car,287.30717088833393
Missouri,2015,BEV,SUV,70.81412772029968
Missouri,2015,PHEV,Car,257.58897637795275
Missouri,2015,PHEV,SUV,106.58740157480315
Montana,2015,BEV,Car,41.043881555476275
Montana,2015,BEV,SUV,10.116303960042812
Montana,2015,PHEV,Car,24.53228346456693
Montana,2015,PHEV,SUV,10.151181102362205
Nebraska,2015,BEV,Car,61.56582233321441
Nebraska,2015,BEV,SUV,15.174455940064217
Nebraska,2015,PHEV,Car,73.59685039370079
Nebraska,2015,PHEV,SUV,30.453543307086615
