Policy,Battery Capacity,Chemistry,Scenario,Scope,Year,Mineral,Maximum RCS (%)
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2030,Copper,1.1812393084656339
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2035,Nickel,4.57097651044442
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2035,Manganese,3.732155274260174
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2035,Cobalt,5.284845539793135
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2035,Lithium,3.4083255759025293
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2035,Graphite,3.729356665112581
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2035,Copper,3.85839233343546
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2040,Nickel,17.66348881444998
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2040,Manganese,15.545129607780673
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2040,Cobalt,21.161174889988438
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2040,Lithium,11.32404268579703
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2040,Graphite,12.199099829491761
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2040,Copper,12.313696942078087
Baseline Policy,Increasing Batt Cap,High LFP Chemistry,Increasing Batt Cap - High LFP Chemistry,US-origin / US network,2045,Nickel,33.870535041265114
