State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Yukon,Car,2025,531.8887735731629,1,0,1,0,48.77566784658336,9.70880434588605,473.40430138069354,531.8887735731629
Yukon,SUV,2025,1135.0408980038994,3,0,3,0,104.17808431813144,20.736664046411565,1011.1261496393565,1136.0408980038994
Alberta,Car,2026,54544.634846698296,664,307,971,8203.422069558683,7596.655372462229,1525.7866219530376,54035.61492184171,63158.05691625698
Alberta,SUV,2026,97923.0500954783,891,328,1219,18797.450446195075,14098.32752043451,2831.6460952761577,100282.52692596271,117212.50054167338
British Columbia,Car,2026,68962.12608172695,2503,915,3418,0,8482.526391556576,1703.7136284366768,60336.8860617337,70523.12608172695
British Columbia,SUV,2026,84595.3757511705,1150,433,1583,0,10256.567142837583,2060.0293374414864,72955.77927089143,85272.3757511705
Manitoba,Car,2026,15405.202251847375,181,90,271,0,1866.6507001496775,374.9163976125613,13277.635154085136,15519.202251847375
Manitoba,SUV,2026,24344.476682977067,214,72,286,0,2941.987515507693,590.8975691310803,20926.591598338295,24459.476682977067
New Brunswick,Car,2026,13129.076604341823,131,72,203,1032.6628745543626,1713.598791456304,344.1759541806728,12188.964733259209,14246.739478896185
New Brunswick,SUV,2026,14903.233897619511,129,45,174,1498.0320308651574,1981.2852638606093,397.9407254447283,14093.039939179333,16472.26592848467
Newfoundland and Labrador,Car,2026,7107.436894412435,72,33,105,0,860.1753150321978,172.76602976725235,6118.495549612985,7151.436894412435
Newfoundland and Labrador,SUV,2026,10602.00325134655,91,30,121,0,1281.1033939618806,257.30934523256053,9112.59051215211,10651.00325134655
Northwest Territories,Car,2026,222.19574581362633,1,0,1,0,26.725719387020227,5.367855076143794,190.1021713504623,222.19574581362633
Northwest Territories,SUV,2026,849.2529107529524,7,2,9,0,102.62931801614701,20.613076778083045,730.0105159587224,853.2529107529524
Nova Scotia,Car,2026,15874.98341953549,159,84,243,943.2275383409801,2035.0438423302799,408.73812453980537,14475.428991006387,16919.210957876472
Nova Scotia,SUV,2026,15483.308545409245,136,45,181,1175.4921188334738,2012.2615593566231,404.1623078317365,14313.376797054361,16729.80066424272
Nunavut,Car,2026,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2026,0,0,0,0,0,0,0,0,0
Ontario,Car,2026,217644.6262436867,3990,2457,6447,0,26523.033090777826,5327.145576489392,188660.4475764195,220510.6262436867
Ontario,SUV,2026,233970.60759138537,2435,1059,3494,0,28316.76749943192,5687.416752404825,201419.42333954864,235423.60759138537
Prince Edward Island,Car,2026,2554.6129251558677,27,13,40,303.61321185125166,345.8323949025221,69.46036323999003,2459.933378864607,2875.226137007119
Prince Edward Island,SUV,2026,2590.7672878630024,22,6,28,393.1623547601358,360.35062075023546,72.37634582533062,2563.202676047572,2995.929642623138
Quebec,Car,2026,161209.5692365844,4184,3192,7376,0,19795.401197753752,3975.902136249763,140806.26590258087,164577.5692365844
Quebec,SUV,2026,125343.96845608609,1509,677,2186,0,15187.399535712188,3050.3859787882784,108029.18294158563,126266.96845608609
Saskatchewan,Car,2026,12741.869495373181,131,62,193,355.2963795870791,1585.0706858501658,318.36111140266604,11274.734077707428,13178.16587496026
Saskatchewan,SUV,2026,26138.085278199716,227,75,302,931.1243349853817,3270.3199776217107,656.8430745784465,23262.04656098494,27189.2096131851
Yukon,Car,2026,527.6392165574259,4,1,5,37.11290527521177,68.04870361196224,13.667567702064474,484.035850518611,565.7521218326377
Yukon,SUV,2026,1141.4190357529,8,2,10,102.34781659315341,150.08148168686074,30.143833797014924,1067.5415368621777,1247.7668523460534
Alberta,Car,2027,54140.265686572806,1207,469,1676,10937.89609274491,10447.551969595112,2317.582973315007,53047.0268364076,65812.16177931771
Alberta,SUV,2027,98574.22914567428,1797,610,2407,25063.26726159343,19789.29250240497,4389.863528891495,100479.34037597124,124658.49640726771
British Columbia,Car,2027,68412.34195321528,3223,1109,4332,2124.0710409787675,11528.666030731738,2557.4067662565017,58536.340197205805,72622.41299419405
British Columbia,SUV,2027,85109.17549262251,1931,692,2623,3257.5126571476553,14212.821643131176,3152.833653160605,72165.03285347839,89530.68814977017
Manitoba,Car,2027,15280.903897520446,332,132,464,544.3188442342919,2544.6077609218846,564.4709533525614,12920.144027480292,16029.222741754738
Manitoba,SUV,2027,24492.000940119426,436,142,578,1098.0580911634659,4100.788849877751,909.6789796591004,20821.59120174604,25832.05903128289
New Brunswick,Car,2027,13027.556116710657,265,112,377,1486.0270633831071,2330.037623992397,516.8728081241992,11830.672747977169,14677.583180093765
New Brunswick,SUV,2027,14998.14033956505,267,88,355,2155.7046297815677,2747.110294739655,609.392139272003,13948.34253533496,17304.844969346617
Newfoundland and Labrador,Car,2027,7050.02747786619,141,58,199,0,1132.8304057456942,251.29604213986008,5751.901029980635,7136.02747786619
Newfoundland and Labrador,SUV,2027,10666.24332023726,188,59,247,0,1709.7550630638154,379.2753780242156,8681.212879149229,10770.24332023726
Northwest Territories,Car,2027,220.3937843680829,3,0,3,0,35.14583027506287,7.79640800692389,178.45154608609613,221.3937843680829
Northwest Territories,SUV,2027,854.3978299866267,14,4,18,0,136.9039688661742,30.369440434167984,695.1244206862845,862.3978299866267
Nova Scotia,Car,2027,15750.892706749857,318,129,447,1668.787183218657,2795.9784863367913,620.2325820007707,14196.468821630951,17612.679889968513
Nova Scotia,SUV,2027,15580.731278116775,278,89,367,2079.7168256284535,2828.1675437076424,627.3730883611937,14359.907471676392,17815.448103745228
Nunavut,Car,2027,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2027,0,0,0,0,0,0,0,0,0
Ontario,Car,2027,215896.56163753106,6169,3078,9247,5341.384460440369,35800.69163185148,7941.676059649744,181776.57840647022,225518.94609797143
Ontario,SUV,2027,235389.9245683231,4590,1755,6345,7292.261782820788,38961.87957650023,8642.923143874637,197827.383630769,245432.18635114387
Prince Edward Island,Car,2027,2535.297534763976,52,23,75,443.7423865518294,477.99669863387646,106.03412294847753,2427.009099733451,3011.0399213158053
Prince Edward Island,SUV,2027,2607.6690879876596,46,14,60,574.6219031109678,509.3099201859133,112.9803424379656,2586.0007284747485,3208.2909910986273
Quebec,Car,2027,159922.6153201618,5836,3596,9432,0,26106.05480790099,5791.112434692628,132552.44807756817,164449.6153201618
Quebec,SUV,2027,126104.91027198109,2669,1073,3742,0,20280.842147582167,4498.904105240583,102975.16401915834,127754.91027198109
Saskatchewan,Car,2027,12640.518158347844,261,99,360,862.8626361400493,2168.2412385939315,480.98147692674087,11009.15807896722,13658.380794487894
Saskatchewan,SUV,2027,26299.323769972274,471,151,622,2261.3019563930698,4575.694211932063,1015.0273506685173,23232.90416376476,28823.625726365342
Yukon,Car,2027,523.5259042236112,10,3,13,74.22581055042355,95.68565588196947,21.225972123221275,485.840086768844,602.7517147740348
Yukon,SUV,2027,1148.6432995367359,19,5,24,204.69563318630682,216.42738920441505,48.010139948469785,1098.9014035701578,1363.3389327230427
Alberta,Car,2028,53724.55917219919,1895,634,2529,13945.81751824976,13624.325860036452,2542.1602889189,52658.890541493594,68825.37669044895
Alberta,SUV,2028,99305.33728949376,3034,957,3991,31955.665758531624,26338.108248705856,4914.422450178257,101798.47234914127,133051.0030480254
British Columbia,Car,2028,67834.97528973337,3563,1142,4705,10539.43821285655,15976.038273988246,2980.965846795498,61748.409381806174,80705.41350258992
British Columbia,SUV,2028,85676.93468979534,2874,937,3811,16163.467565465984,20507.621381094814,3826.5130495832045,79263.2678245833,103597.40225526132
