State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Alberta,Car,2027,52194.66390448333,47,32,79,10937.89609274491,22581.653344746646,4598.6269822764825,36031.27967020511,63211.559997228236
Alberta,SUV,2027,103441.99772349517,35,16,51,25063.26726159343,45925.34990935133,9352.439789921917,73278.47528581535,128556.2649850886
British Columbia,Car,2027,65951.52408979305,469,143,612,2124.0710409787675,24537.90829391665,4997.0073247662385,39152.67951208894,68687.59513077182
British Columbia,SUV,2027,89324.57028723281,161,47,208,3257.5126571476553,33148.26413036107,6750.457972155909,52891.36084186349,92790.08294438047
Manitoba,Car,2027,14733.843762589102,14,8,22,544.3188442342919,5465.819355204823,1113.0834391690532,8721.259812449518,15300.162606823395
Manitoba,SUV,2027,25705.68643438429,6,0,6,1098.0580911634659,9577.494324830539,1950.4029732619981,15281.84722745522,26809.744525547754
New Brunswick,Car,2027,12560.393402980953,2,7,9,1486.0270633831071,5021.1485462470455,1022.5287242823479,8011.743195834669,14055.420466364061
New Brunswick,SUV,2027,15740.029748731167,2,0,2,2155.7046297815677,6393.774072490081,1302.0562099441158,10201.904096078539,17897.734378512734
Newfoundland and Labrador,Car,2027,6797.775445577291,2,1,3,0,2429.5042488150157,494.7549066311043,3876.5162901311714,6800.775445577291
Newfoundland and Labrador,SUV,2027,11194.819417683684,2,0,2,0,3999.9439131853073,814.5661314496151,6382.309373048763,11196.819417683684
Northwest Territories,Car,2027,212.52189214071566,0,0,0,0,75.92117164489713,15.460920558923107,121.13979993689544,212.52189214071566
Northwest Territories,SUV,2027,896.7454652952644,0,0,0,0,320.35272087351007,65.2380338837027,511.15471053805163,896.7454652952644
Nova Scotia,Car,2027,15186.357201775054,5,7,12,1668.787183218657,6025.606826258035,1227.0810162917435,9614.456542443932,16867.14438499371
Nova Scotia,SUV,2027,16351.80328364854,4,0,4,2079.7168256284535,6585.892269642663,1341.1800026852575,10508.447836949073,18435.520109276993
Nunavut,Car,2027,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2027,0,0,0,0,0,0,0,0,0
Ontario,Car,2027,208153.01924925146,480,341,821,5341.384460440369,76561.88445948655,15591.398128128494,122162.1211220768,214315.40370969183
Ontario,SUV,2027,247051.62570151212,179,81,260,7292.261782820788,90954.51413710069,18522.376394907493,145126.99695232473,254603.8874843329
Prince Edward Island,Car,2027,2444.3425696931113,0,0,0,443.7423865518294,1031.737443514458,210.10754057449537,1646.2399721559877,2888.0849562449407
Prince Edward Island,SUV,2027,2736.5540217181656,0,0,0,574.6219031109678,1182.8821642946484,240.8873147831065,1887.4064457513784,3311.1759248291332
Quebec,Car,2027,154172.88103219276,662,541,1203,0,55506.37072961691,11303.560914189638,88565.94938838622,155375.88103219276
Quebec,SUV,2027,132351.56417520685,196,81,277,0,47380.13521494061,9648.698653591815,75599.73030667444,132628.56417520685
Saskatchewan,Car,2027,12187.838794543819,3,5,8,862.8626361400493,4665.0813372297835,950.017635307032,7443.602458147054,13058.701430683868
Saskatchewan,SUV,2027,27601.751931537117,4,0,4,2261.3019563930698,10669.685376467229,2172.8215518832953,17024.546959579664,29867.053887930186
Yukon,Car,2027,504.7706759615819,0,0,0,74.22581055042355,206.8402986228104,42.121866089590924,330.03432179960424,578.9964865120055
Yukon,SUV,2027,1205.4831206884305,0,0,0,204.69563318630682,503.7712686654538,102.59019185234078,803.8172933569429,1410.1787538747374
Alberta,Car,2028,51220.10680364913,79,54,133,13945.81751824976,28465.404638581727,4836.256388380799,31997.26329493636,65298.924321898885
Alberta,SUV,2028,105158.85264162437,66,27,93,31955.665758531624,59812.12663569512,10162.046990628496,67233.34477383239,137207.518400156
British Columbia,Car,2028,64678.255057092996,744,241,985,10539.43821285655,33218.62528371529,5643.825927696369,37340.24205853788,76202.69326994954
British Columbia,SUV,2028,90761.48741195766,263,79,342,16163.467565465984,46760.29979803041,7944.548882832727,52562.106296560494,107266.95497742364
Manitoba,Car,2028,14449.13275187721,21,14,35,1649.966496585197,7033.250062780888,1194.9452670383148,7905.903918643206,16134.099248462408
Manitoba,SUV,2028,26119.38603352849,11,4,15,3328.4885888392555,12843.590559121023,2182.118880091606,14437.165183155119,29462.874622367748
New Brunswick,Car,2028,12321.603944408758,9,10,19,2014.9519503499757,6257.939339730327,1063.2204071622236,7034.396147866184,14355.555894758734
