State,Segment,Propulsion,Year,BESS_retire_vector,BESS_retire_total
Alberta,SUV,PHEV,2032,0|0|0|0|0|1|1|2|4|5|4|5|3|6|7|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0,43
Alberta,SUV,PHEV,2033,0|0|0|0|0|1|2|3|4|9|9|7|9|4|7|7|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0,66
Alberta,SUV,PHEV,2034,0|0|0|0|1|1|2|4|6|8|17|16|12|12|5|7|7|3|1|0|0|0|0|0|0|0|0|0|0|0|0,102
Alberta,SUV,PHEV,2035,0|0|0|0|1|1|3|5|9|12|15|30|26|16|14|5|7|7|2|1|0|0|0|0|0|0|0|0|0|0|0,154
Alberta,SUV,PHEV,2036,0|0|0|0|1|2|3|6|10|19|24|27|48|34|19|16|5|7|6|2|1|0|0|0|0|0|0|0|0|0|0,230
Alberta,SUV,PHEV,2037,0|0|0|0|1|2|4|7|14|22|37|42|44|63|41|21|16|5|6|4|1|0|0|0|0|0|0|0|0|0|0,330
Alberta,SUV,PHEV,2038,0|0|0|0|1|2|5|9|16|28|42|66|69|57|76|45|21|14|4|4|3|1|0|0|0|0|0|0|0|0|0,463
Alberta,SUV,PHEV,2039,0|0|0|0|1|3|6|11|20|33|55|75|107|90|69|84|45|19|12|3|3|2|1|0|0|0|0|0|0|0|0,639
Alberta,SUV,PHEV,2040,0|0|0|0|1|3|6|13|25|42|64|98|122|140|109|76|84|41|16|9|2|2|1|0|0|0|0|0|0|0|0,854
Alberta,SUV,PHEV,2041,0|0|0|0|1|3|7|14|28|51|81|114|159|158|169|121|76|76|34|12|6|2|1|1|0|0|0|0|0|0|0,1114
Alberta,SUV,PHEV,2042,0|0|0|1|1|3|7|15|31|58|99|145|186|208|192|187|121|69|63|26|9|4|1|1|1|0|0|0|0|0|0,1428
Alberta,SUV,PHEV,2043,0|0|0|1|1|3|7|16|33|63|113|176|236|243|251|212|187|109|57|48|19|6|3|1|1|0|0|0|0|0|0,1786
Alberta,SUV,PHEV,2044,0|0|0|1|1|3|8|17|34|67|121|200|286|307|294|278|212|169|90|44|35|13|4|2|0|0|0|0|0|0|0,2186
