State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
British Columbia,2026,155208.3159179786,355,110,465,0,18724.397004254886,3760.7911709136424,133188.12774281006,155673.3159179786
British Columbia,2027,155502.7004121407,617,189,806,5381.583698126423,25668.016374923092,5693.942263452359,130328.32547189169,161690.28411026712
British Columbia,2028,155885.427831024,978,317,1295,26702.905778322536,36400.621076022304,6791.9847442052205,140690.727789119,183883.33360934653
British Columbia,2029,156388.49664572053,1539,510,2049,26959.171668709503,43756.98097689713,8852.286313376026,132787.4010241569,185396.66831443005
British Columbia,2030,156917.42336147273,2442,847,3289,25831.601751006827,51157.51666397701,9969.317815628321,124911.19063287423,186038.02511247958
British Columbia,2031,157435.69771633006,3795,1243,5038,26190.373997548588,59821.16775182797,12507.949958922547,116334.95400312816,188664.07171387866
British Columbia,2032,157907.0370446907,5499,1635,7134,26600.399422167742,68180.35103428416,14987.263963910373,108473.8214686639,191641.43646685843
British Columbia,2033,158307.36511223204,7976,2221,10197,27061.678024864297,81493.77046946285,16842.914887456587,97229.35778017691,195566.04313709633
British Columbia,2034,158603.16735732576,11515,2834,14349,27471.70344948345,90120.27556912397,17783.79187197255,92519.80336571268,200423.87080680922
British Columbia,2035,158800.84558526278,16129,3669,19798,27266.690737173874,98360.42949171911,18389.74402911091,89115.36280160662,205865.53632243664
British Columbia,2036,158885.07075127654,21511,4735,26246,27215.437559096477,106661.65071749159,18939.39039260245,86745.46720027897,212346.508310373
British Columbia,2037,158825.99120603187,24575,5268,29843,27164.184381019084,113081.29936732049,19062.30228835401,83689.57393137645,215833.17558705097
British Columbia,2038,158566.01390144142,26918,5676,32594,27215.437559096477,118500.0094462582,18992.76937046393,80882.67264381575,218375.45146053788
British Columbia,2039,158752.71415891757,28636,6019,34655,27317.943915251264,123289.40955552146,18851.330563004056,78584.9179556433,220725.65807416884
British Columbia,2040,157040.45312824118,30222,6277,36499,27522.956627560845,126432.79788346271,18510.777302738472,76118.83456960085,221062.40975580204
British Columbia,2041,155661.46463641565,32185,6632,38817,27727.969339870426,129642.98899944616,18248.876965314972,74314.56801152494,222206.4339762861
British Columbia,2042,153723.8696058232,35212,7168,42380,28086.741586412187,133109.08928631296,18069.5829571547,73011.93894876774,224190.6111922354
British Columbia,2043,151168.22018340716,39690,8039,47729,28343.00747679916,136991.5044511262,17993.727218512206,72254.99599056788,227240.22766020632
British Columbia,2044,147963.33430216796,45502,9243,54745,28753.032901418315,141346.47587853612,18006.84295047004,72108.04837458015,231461.36720358627
British Columbia,2045,144147.08685049234,52649,10673,63322,29060.551969882683,146176.38485008056,18094.79574686159,72258.45822343287,236529.63882037502
British Columbia,2046,139845.3989094464,60554,12196,72750,29470.577394501837,152621.67700300802,18210.413311915818,71233.88598902439,242065.9763039482
British Columbia,2047,135112.48915636571,68900,13688,82588,29778.096462966205,157724.47818216906,18330.039536098804,71424.06790106406,247478.58561933192
British Columbia,2048,130133.94274770739,77442,15046,92488,30085.615531430572,162713.13527296222,18437.39236457967,71557.03064159608,252707.55827913797
British Columbia,2049,125016.71270023822,85836,16195,102031,30444.387777972333,167405.03230832098,18525.950452804547,71561.117717085,257492.10047821052
British Columbia,2050,119891.33251142947,93853,17091,110944,30444.387777972333,171306.11280651257,18514.682626507383,71458.92485638184,261279.7202894018
Manitoba,2020,39854.38384975268,0,0,0,0,170.4323585308149,81.9641554733632,54048,54300.396514004184
Manitoba,2021,39879.893873672074,0,0,0,0,334.8565723750102,206.1474869655892,56632,57173.0040593406
Manitoba,2022,39933.52769015583,0,0,0,0,661.8482774190641,232.13610649196602,50857,51750.984383911025
Manitoba,2023,39987.46578047288,0,0,0,0,1076.242571357082,452.947975284123,56528,58057.190546641206
Manitoba,2024,40084.787138128355,0,0,0,0,1473.752986969308,773.501799262075,59480,61727.25478623139
Manitoba,2025,40227.91739687017,0,0,0,0,3689.0110011687116,734.2982192026934,35804.60817649877,40227.91739687017
Manitoba,2026,40346.46619441869,6,5,11,0,4854.198772949883,974.9647950223119,34528.30262644649,40357.46619441869
Manitoba,2027,40496.94695549036,17,8,25,1642.3769353977577,6693.503954330389,1484.8215966303505,33985.99833992738,42164.32389088812
Manitoba,2028,40681.600855661876,25,15,40,4978.455085424453,9046.553522890621,1687.9946467612149,34965.507771434495,45700.05594108633
Manitoba,2029,40902.51231540765,39,27,66,4978.455085424453,10844.318815344315,2193.8674214668335,32908.781164020955,45946.9674008321
Manitoba,2030,41141.28090326734,65,48,113,5183.752202349173,12769.725173155108,2488.4993832989526,31179.80854916245,46438.03310561651
Manitoba,2031,41388.38149798835,104,71,175,5286.400760811533,14855.020662813957,3106.0218660402147,28888.739729945715,46849.78225879988
Manitoba,2032,41630.05095698469,158,92,250,5389.049319273892,16816.946842638743,3696.666525975187,26755.486907644656,47269.100276258585
Manitoba,2033,41855.09544281022,240,123,363,5594.346436198612,19923.78687818007,4117.795074296595,23770.85992653216,47812.441879008824
Manitoba,2034,42048.76386666247,371,161,532,5645.670715429792,21684.939806615228,4279.175289264449,22262.319486212586,48226.43458209226
Manitoba,2035,42204.55650409567,570,221,791,5748.319273892152,23289.320992050638,4354.2373073072795,21100.317478629906,48743.87577798782
Manitoba,2036,42310.91765690627,858,316,1174,5799.643553123333,24755.63500137959,4395.737667230881,20133.188541419127,49284.5612100296
Manitoba,2037,42352.6262094716,1358,418,1776,5850.967832354511,26185.76787710465,4414.178345303769,19379.647819417696,49979.59404182611
Manitoba,2038,42310.19113729083,2032,551,2583,5953.616390816871,27591.687307772605,4422.299677673395,18832.820542661706,50846.8075281077
Manitoba,2039,42356.148868741,2945,734,3679,5953.616390816871,29039.053403649632,4440.160731748845,18509.5511241594,51988.76525955788
Manitoba,2040,41855.65314007459,4123,939,5062,6107.589228510411,30326.864519909508,4440.096595313839,18258.28125336165,53025.24236858499
Manitoba,2041,41414.08318785313,5511,1197,6708,6158.913507741592,31669.42797991604,4457.869254849255,18153.69946082943,54280.996695594724
Manitoba,2042,40794.51275527135,7088,1478,8566,6261.562066203951,33024.59315458684,4483.094496646447,18114.387170242022,55622.074821475304
Manitoba,2043,39986.4149421845,8819,1811,10630,6364.210624666312,34350.70322426077,4511.938065487349,18117.984277102696,56980.62556685081
Manitoba,2044,38987.47362201818,10653,2180,12833,6466.85918312867,35594.31614832025,4534.5400854773725,18158.476571349223,58287.33280514684
Manitoba,2045,37814.8947885386,12634,2565,15199,6518.183462359852,36791.09317854682,4554.274050848444,18186.711021503186,59532.078250898456
Manitoba,2046,36509.59759636874,14650,2955,17605,6620.83202082221,38293.45727643531,4569.07365873285,17872.898682022787,60735.429617190945
Manitoba,2047,35091.652261776966,16669,3323,19992,6672.156300053391,39358.5677554953,4574.078236665313,17823.162569669737,61755.80856183035
Manitoba,2048,33616.71094368852,18647,3630,22277,6774.80485851575,40350.95253390225,4572.2574450061,17745.305823295916,62668.515802204274
Manitoba,2049,32117.02464071882,20554,3887,24441,6826.12913774693,41208.35665021713,4560.34064816745,17615.45648008117,63384.153778465756
Manitoba,2050,30630.847761120636,22345,4076,26421,6826.12913774693,41881.12228675359,4526.491638141409,17470.36297397256,63877.976898867564
New Brunswick,2020,28322.672535660524,0,0,0,0,79.9850870728774,54.0681331516449,34924,35058.05322022452
New Brunswick,2021,28282.104297803744,0,0,0,0,178.76958226679722,132.6860896767466,36379,36690.45567194354
New Brunswick,2022,28261.718883253023,0,0,0,0,415.268623289836,159.1852662716949,32378,32952.453889561526
New Brunswick,2023,28241.050199446472,0,0,0,0,769.930739233121,361.350511695906,35665,36796.28125092902
New Brunswick,2024,28245.80597172048,0,0,0,0,1117.006591225098,735.347001989057,37395,39247.35359321415
New Brunswick,2025,28276.009871192982,0,0,0,0,2592.988109598276,516.1346904871143,25166.887071107594,28276.009871192982
New Brunswick,2026,28298.188577720823,0,4,4,2530.69490541952,3708.5813179982374,744.8677719327209,26379.434393209383,30832.883483140344
New Brunswick,2027,28344.105706838884,2,7,9,3641.7316931646747,5079.117862989426,1126.7019406059567,25789.01759640818,31994.837400003562
New Brunswick,2028,28405.685980627633,12,11,23,4937.941278867355,6605.089931848064,1232.4424343618325,25529.094893285088,33366.627259494984
New Brunswick,2029,28480.137220445824,22,20,42,4505.871416966462,7795.20990744556,1577.0153340790835,23655.78339588764,33028.008637412284
New Brunswick,2030,28555.548931457914,35,32,67,4197.250087037252,9024.926028869222,1758.7318875407507,22036.141102085196,32819.79901849516
New Brunswick,2031,28626.176958795666,55,54,109,3765.180225136359,10305.138129547235,2154.691339007216,20040.527715377575,32500.35718393202
New Brunswick,2032,28684.76204540321,92,69,161,3394.8346292213073,11470.250063643287,2521.366681574267,18248.97992940696,32240.596674624518
New Brunswick,2033,28727.646276229065,140,93,233,3024.489033306256,13328.43490381765,2754.685338214,15902.015067503675,31985.135309535322
New Brunswick,2034,28749.55759196973,235,115,350,2592.4191714053613,14250.247077598124,2812.0578477127438,14629.671838064221,31691.97676337509
New Brunswick,2035,28751.77975920344,376,161,537,2530.69490541952,15203.016736668249,2842.3989982796456,13774.058929675066,31819.47466462296
New Brunswick,2036,28732.508752114594,591,238,829,2530.69490541952,16119.913835697847,2862.3346739497656,13109.9551478865,32092.20365753411
