State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Quebec,2040,236351.66334946716,77434,18813,96247,17069.092967015975,305240.40141594555,44410.80126095722,16.55363958033062,349667.75631648314
Quebec,2041,227204.04265785328,92945,20436,113381,17479.689705054163,314085.7059764578,43961.30987448584,17.716511963787728,358064.73236290744
Quebec,2042,216826.02010694146,110447,22480,132927,17831.62976622975,323829.8238269291,43735.86971378245,18.95633245963571,367584.64987317123
Quebec,2043,205179.28153536102,129296,25225,154521,18242.226504267936,334230.95297122234,43691.281333356565,20.27373505011454,377942.50803962897
Quebec,2044,192301.438394512,148635,28539,177174,18594.16656544352,344390.75124425854,43657.249353690946,21.604362006006795,388069.6049599555
Quebec,2045,178359.97189862205,167934,32185,200119,18946.106626619112,353823.4593953013,43578.70959430682,22.90953563310142,397425.0785252412
Quebec,2046,163687.99418834777,186898,35833,222731,19239.390010932097,362572.0416578059,43062.68278796893,23.659753505017754,405658.3841992799
Quebec,2047,148524.58904087392,205454,39247,244701,19474.016718382492,369864.5224417511,42810.26661790443,24.81669960096127,412699.60575925646
Quebec,2048,133298.12045516807,222740,42075,264815,19649.986748970285,375361.9520759862,42375.78799974799,25.36712840418557,417763.10720413836
Quebec,2049,118312.26084808985,238549,44167,282716,19767.30010269548,378990.6877424037,41779.082149574024,25.791058807617688,420795.5609507853
Quebec,2050,103880.77874689699,252792,45490,298282,19767.30010269548,380893.31717352406,41010.688195300056,26.073480768325197,421930.0788495925
Saskatchewan,2020,38760.199855856205,0,0,0,0,105.97180312609089,47.485925637531594,56145,56298.45772876363
Saskatchewan,2021,38845.297025637614,0,0,0,0,207.9878365727674,121.5814598540146,59047,59376.56929642678
Saskatchewan,2022,38957.534441441225,0,0,0,0,415.713712918229,136.3200775459385,53328,53880.03379046417
Saskatchewan,2023,39070.59269050213,0,0,0,0,644.959007439323,280.424597263599,59603,60528.38360470292
Saskatchewan,2024,39231.3827015616,0,0,0,0,821.71488337182,479.61526158891803,62852,64153.33014496074
Saskatchewan,2025,39444.022431341444,0,0,0,0,7393.435242155509,1283.9721799839258,30766.61500920201,39444.022431341444
Saskatchewan,2026,39605.432389263406,2,1,3,1286.4207145724608,12168.818484058662,2143.981877727643,26582.052742049564,40894.85310383586
Saskatchewan,2027,39789.59072608093,7,5,12,3124.164592533119,15334.766713697012,3122.8391871903273,24468.149417726716,42925.75531861406
Saskatchewan,2028,40002.48909992824,21,11,32,5268.199116820553,19748.55427860075,3355.2683688787547,22198.865569269292,45302.68821674879
Saskatchewan,2029,40237.5950008441,39,18,57,5390.715375351264,22790.765059150268,4162.974227012519,18731.571090032576,45685.31037619536
Saskatchewan,2030,40478.896771346874,67,31,98,5574.48976314733,26652.619488013654,4729.611468889874,14769.155577590673,46151.3865344942
Saskatchewan,2031,40707.62924523321,119,50,169,5819.522280208751,29760.394363967356,5727.82891889489,11207.928242579721,46696.151525441965
Saskatchewan,2032,40904.6899000838,186,70,256,6125.812926535527,32200.986061953517,6573.06690755866,8512.449857107154,47286.50282661933
Saskatchewan,2033,41050.734768241484,294,97,391,6309.587314331594,34857.90054451086,7162.233002687499,5731.188535374715,47751.32208257308
Saskatchewan,2034,41121.68344684622,468,136,604,6615.87796065837,37994.54744545606,7445.254763382489,2901.75919866604,48341.561407504596
Saskatchewan,2035,41091.912628635095,739,197,936,6615.87796065837,41027.71148005486,7614.518526831573,1.5605824070282706,48643.790589293465
Saskatchewan,2036,40933.54196813022,1132,295,1427,6677.136089923725,41689.4824565195,7346.441960200042,1.7536413344010322,49037.67805805395
Saskatchewan,2037,40627.58430603083,2091,472,2563,6799.652348454435,42824.23446625238,7164.097299164035,1.904889068851802,49990.23665448527
